TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
C259,0,A,25.71,I,13.6,0.058,22/02/2023,1,5440.0,,,,,,
C269,0,A,26.71,I,11.45,0.022,08/02/2023,2,9150.0,,,,,,
C274,0,A,27.21,I,,,,,,,,,,,
C279,0,A,27.71,I,10.9,0.063,14/02/2023,1,10900.0,,,,,,
C284,0,A,28.21,I,,,,,,,,,,,
C289,0,A,28.71,I,10.25,0.037,17/02/2023,1,4100.0,,,,,,
C292,0,E,28.96,I,9.33,-0.066,16/02/2023,2,94830.0,,,,,,
C294,0,A,29.21,I,10.06,0.108,17/02/2023,4,10024.0,,,,,,
C299,0,A,29.71,I,9.2,0.004,17/02/2023,2,2760.0,,,,,,
C304,0,A,30.21,I,7.93,-0.07,16/02/2023,2,1583.0,,,,,,
C307,0,E,30.46,I,7.1,0.0,08/02/2023,2,32602.0,,,,,,
C309,0,A,30.71,I,8.2,0.108,17/02/2023,2,2460.0,,,,,,
C31,0,E,30.96,I,7.19,-0.076,16/02/2023,1,22289.0,0.336,0.6109,0.0493,-0.0179,-0.0025,8.869
C314,0,A,31.21,I,7.77,0.009,14/02/2023,3,172494.0,,,,,,
C319,0,A,31.71,I,7.31,0.094,17/02/2023,1,2924.0,,,,,,
C321,0,E,31.96,I,6.7,,16/02/2023,4,17455.0,,,,,,
C324,0,A,32.21,I,6.7,0.015,15/02/2023,1,670.0,,,,,,
C326,0,E,32.46,I,5.9,-0.08,16/02/2023,1,23600.0,,,,,,
C329,0,A,32.71,I,6.26,0.03,13/02/2023,1,5634.0,,,,,,
C331,0,E,32.96,I,6.3,0.084,17/02/2023,1,5040.0,,,,,,
C334,0,A,33.21,I,5.8,-0.01,16/02/2023,4,7465.0,,,,,,
C336,0,E,33.46,I,4.85,-0.151,16/02/2023,5,37915.0,,,,,,
C339,0,A,33.71,I,5.84,0.143,17/02/2023,1,1752.0,,,,,,
C344,0,A,34.21,I,3.45,-0.216,07/02/2023,1,26910.0,,,,,,
C349,0,A,34.71,I,4.4,0.073,17/02/2023,4,5033.0,,,,,,
C352,0,E,34.96,I,4.0,-0.083,16/02/2023,3,3581.0,,,,,,
C354,0,A,35.21,I,3.96,0.237,17/02/2023,1,1584.0,,,,,,
C359,0,A,35.71,I,3.7,0.028,17/02/2023,1,1110.0,,,,,,
C364,0,A,36.21,I,3.05,0.225,22/02/2023,1,915.0,,,,,,
C369,0,A,36.71,I,2.51,-0.218,22/02/2023,2,1002.0,0.343,0.691,0.0764,-0.039,-0.0155,4.7311
C374,0,A,37.21,I,2.0,-0.145,16/02/2023,3,15403.0,0.344,0.6813,0.0909,-0.0449,-0.0224,4.0725
C379,0,A,37.71,A,2.44,0.196,17/02/2023,70,257348.0,0.275,0.772,0.1038,-0.0398,-0.0163,3.196
C384,1,A,38.21,A,1.45,-0.289,22/02/2023,32,42770.0,0.271,0.6937,0.1313,-0.0431,-0.0298,3.4592
C389,1,A,38.71,A,1.18,-0.31,22/02/2023,47,43225.0,0.268,0.6251,0.1434,-0.0439,-0.0372,3.7376
C392,0,E,38.96,A,1.05,-0.3,22/02/2023,13,8193.0,0.269,0.6231,0.1333,-0.0427,-0.0406,4.0187
C397,1,A,39.21,O,0.92,-0.333,22/02/2023,34,21410.0,0.264,0.5517,0.152,-0.0433,-0.0471,3.8994
C399,1,A,39.71,O,0.73,-0.336,22/02/2023,41,165532.0,0.261,0.4752,0.155,-0.0416,-0.057,3.9249
C404,0,A,40.21,O,0.57,-0.36,22/02/2023,83,63693.0,0.258,0.3989,0.152,-0.0388,-0.068,3.8055
C41,0,A,40.71,O,0.4,-0.385,22/02/2023,44,38592.0,0.256,0.3236,0.1424,-0.035,-0.0874,3.5398
