TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
L650,0,E,6.5,I,3.0,-0.016,14/12/2022,1,6000.0,,,,,,
L680,0,A,6.8,I,,,,,,,,,,,
L750,0,E,7.5,I,,,,,,,,,,,
L780,0,A,7.8,I,4.33,-0.12,17/11/2022,1,4330.0,,,,,,
L850,0,E,8.5,I,,,,,,,,,,,
L880,0,A,8.8,I,1.11,-0.61,12/12/2022,2,207.0,,,,,,
L950,0,E,9.5,I,0.44,,14/12/2022,7,1856.0,0.609,0.7795,0.5534,-0.0437,-0.0992,0.261
L980,0,A,9.8,A,0.13,-0.458,14/12/2022,12,4797.0,0.66,0.6372,0.9086,-0.0808,-0.6212,0.2347
L100,0,A,10.0,A,0.09,-0.308,15/12/2022,22,13035.0,0.564,0.3162,1.0203,-0.0637,-0.7078,0.2201
L105,0,A,10.5,O,0.04,0.0,15/12/2022,1,16.0,0.622,0.231,0.394,-0.0306,-0.7645,0.3781
L110,0,A,11.0,O,0.03,0.5,15/12/2022,1,450.0,0.942,0.0466,0.1221,-0.0197,-0.6568,0.0826
L115,0,A,11.5,O,0.01,-0.5,14/12/2022,1,5.0,1.105,0.0407,0.0922,-0.0209,-2.0925,0.075
L120,0,A,12.0,O,0.02,0.0,12/12/2022,1,6.0,0.583,0.1673,0.2243,-0.0184,-0.9208,0.4798
L125,0,A,12.5,O,0.01,0.0,15/12/2022,3,11.0,,,,,,
L130,0,A,13.0,O,0.01,-0.5,12/12/2022,2,102.0,0.777,0.0575,0.0902,-0.0126,-1.2576,0.1893
L135,0,A,13.5,O,0.01,0.0,15/12/2022,1,1.0,0.639,0.1311,0.1391,-0.0156,-1.556,0.509
L140,0,A,14.0,O,0.01,-0.5,13/12/2022,2,49.0,0.885,0.0358,0.0534,-0.0099,-0.9889,0.1314
L145,0,A,14.5,O,0.06,-0.4,29/11/2022,3,124.0,0.656,0.1234,0.1008,-0.0122,-0.2031,0.6292
L150,0,A,15.0,O,0.01,0.0,14/12/2022,1,7.0,0.897,0.0302,0.0377,-0.0071,-0.7063,0.1383
L155,0,A,15.5,O,0.04,0.0,28/11/2022,1,68.0,0.619,0.151,0.1027,-0.0131,-0.327,0.8629
L160,0,A,16.0,O,0.01,0.0,12/12/2022,1,3.0,0.854,0.0286,0.0339,-0.0065,-0.6477,0.1478
L165,0,A,16.5,O,0.03,0.5,01/12/2022,7,4004.0,0.761,0.0968,0.0617,-0.0101,-0.3355,0.6251
L170,0,A,17.0,O,0.03,0.0,23/11/2022,1,9.0,0.816,0.0509,0.041,-0.0073,-0.2434,0.3265
L175,0,A,17.5,O,0.02,-0.6,01/12/2022,2,346.0,0.666,0.0642,0.05,-0.0073,-0.3626,0.473
L180,0,A,18.0,O,0.01,0.0,07/12/2022,1,4.0,0.727,0.087,0.0553,-0.01,-0.9994,0.6238
L185,0,A,18.5,O,0.05,0.25,21/11/2022,1,25.0,0.602,0.1985,0.0922,-0.0165,-0.3302,1.3994
L190,0,A,19.0,O,0.06,0.0,14/11/2022,1,12.0,1.016,0.0216,0.0191,-0.0051,-0.0853,0.1376
L200,0,A,20.0,O,0.02,-0.714,22/11/2022,1,2.0,0.646,0.0698,0.0449,-0.0079,-0.3947,0.6185
L210,0,A,21.0,O,0.09,-0.679,07/11/2022,6,6925.0,1.587,0.0189,0.0143,-0.0083,-0.0924,0.0932
L220,0,A,22.0,O,0.07,-0.667,07/11/2022,4,222.0,0.636,0.0492,0.0322,-0.0061,-0.0874,0.5061
L230,0,A,23.0,O,0.1,0.111,04/11/2022,2,22.0,,,,,,
L240,0,A,24.0,O,,,,,,,,,,,
L250,0,A,25.0,O,0.17,-0.056,28/10/2022,1,85.0,,,,,,
L260,0,A,26.0,O,,,,,,,,,,,
L270,0,A,27.0,O,,,,,,,,,,,
L280,0,A,28.0,O,0.04,,27/10/2022,1,4.0,,,,,,
