TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U827,0,E,8.27,O,,,,,,,,,,,
U867,0,E,8.67,O,,,,,,,,,,,
U967,0,E,9.67,O,,,,,,,,,,,
U997,0,E,9.97,O,,,,,,,,,,,
U102,0,E,10.22,O,,,,,,,,,,,
U107,0,E,10.72,O,0.02,,12/08/2022,1,240.0,,,,,,
U112,0,E,11.22,O,,,,,,,,,,,
U117,0,E,11.72,O,0.01,0.0,31/08/2022,1,1.0,0.53812,-0.0183,0.0209,-0.0027,-0.27,0.1797
U119,0,E,11.97,O,0.02,0.0,23/08/2022,1,2.0,0.5125,-0.0184,0.0211,-0.0025,-0.125,0.1884
U124,0,E,12.47,O,,,,,,0.44125,-0.022,0.0297,-0.0025,,0.211
U127,0,E,12.72,O,0.01,0.0,02/09/2022,1,10.0,0.47875,-0.0229,0.032,-0.0033,-0.33,0.1926
U129,0,E,12.97,O,0.01,-0.5,01/09/2022,5,700.0,0.50125,-0.0262,0.0416,-0.0047,-0.47,0.1775
U130,0,E,13.22,O,0.02,0.0,02/09/2022,1,8.0,0.45,-0.0288,0.0502,-0.0045,-0.225,0.1914
U140,0,E,13.47,O,0.02,1.0,02/09/2022,5,91.0,0.44625,-0.0286,0.0494,-0.0046,-0.23,0.1938
U137,0,E,13.72,O,0.02,0.0,02/09/2022,3,234.0,0.405,-0.0403,0.0729,-0.0054,-0.27,0.2552
U139,0,E,13.97,O,0.03,0.5,02/09/2022,26,362.0,0.37187,-0.062,0.1126,-0.0068,-0.2267,0.357
U142,0,E,14.22,O,0.03,-0.25,02/09/2022,18,1465.0,0.32219,-0.0703,0.1432,-0.0064,-0.2133,0.3933
U144,0,E,14.47,O,0.05,0.0,02/09/2022,143,14861.0,0.30875,-0.0926,0.183,-0.0075,-0.15,0.4867
U147,0,E,14.72,O,0.08,-0.1111,02/09/2022,46,15461.0,0.29688,-0.1422,0.2582,-0.0096,-0.12,0.6603
U149,1,E,14.97,O,0.12,-0.0769,02/09/2022,157,25196.0,0.27812,-0.2357,0.3791,-0.0118,-0.0983,0.8987
U152,0,E,15.22,A,0.17,-0.1905,02/09/2022,56,127332.0,0.27062,-0.2921,0.4317,-0.0126,-0.0741,1.0096
U154,1,E,15.47,A,0.29,-0.0938,02/09/2022,146,125265.0,0.25844,-0.4088,0.5115,-0.0128,-0.0441,1.1416
U155,0,E,15.72,A,0.42,-0.087,02/09/2022,50,75330.0,0.25156,-0.5458,0.5364,-0.0114,-0.0271,1.1639
U159,1,E,15.97,I,0.6,-0.0323,02/09/2022,143,240557.0,0.25031,-0.6735,0.4905,-0.0087,-0.0145,1.059
U160,0,E,16.22,I,0.6,-0.2771,02/09/2022,2,17280.0,0.24859,-0.7456,0.4368,-0.0064,-0.0107,0.9473
U17,0,E,16.47,I,0.93,-0.1468,02/09/2022,1,2790.0,0.28219,-0.8703,0.2448,-0.0012,-0.0013,0.6459
U167,0,E,16.72,I,1.5,0.1111,01/09/2022,1,600.0,0.24969,-0.8938,0.248,0.0007,0.0005,0.543
U169,0,E,16.97,I,1.38,-0.098,02/09/2022,6,18456.0,0.2925,-0.9252,0.1641,0.0018,0.0013,0.4156
U1,0,E,17.22,I,,,,,,,,,,,
U174,0,E,17.47,I,1.87,-0.0508,02/09/2022,1,2805.0,,,,,,
U179,0,E,17.97,I,2.73,0.1471,01/09/2022,1,546.0,,,,,,
U184,0,E,18.47,I,2.73,0.0187,29/08/2022,1,2457.0,,,,,,
U189,0,E,18.97,I,3.32,0.0885,02/09/2022,6,763602.0,,,,,,
U20,0,E,19.47,I,3.74,-0.0311,02/09/2022,5,449199.0,,,,,,
U199,0,E,19.97,I,4.17,0.0477,24/08/2022,2,16681.0,,,,,,
U207,0,E,20.22,I,4.14,-0.1464,18/08/2022,1,4140.0,,,,,,
U212,0,E,20.72,I,5.1,-0.0039,02/09/2022,6,1273346.0,,,,,,
U217,0,E,21.22,I,5.41,0.0484,26/08/2022,4,541504.0,,,,,,
U219,0,E,21.97,I,6.5,-0.0714,10/08/2022,1,20800.0,,,,,,
U24,0,E,23.47,I,7.66,0.0351,29/08/2022,19,697873.0,,,,,,
U250,0,E,24.47,I,8.71,0.0247,29/08/2022,2,1737.0,,,,,,
