TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N750,0,E,7.5,O,,,,,,,,,,,
N850,0,E,8.5,O,,,,,,,,,,,
N950,0,E,9.5,O,,,,,,,,,,,
N105,0,E,10.5,O,,,,,,,,,,,
N115,1,E,11.5,O,0.3,0.0,08/02/2023,1,900.0,0.71875,-0.3199,0.2481,-0.0345,-0.1151,0.7169
N120,1,E,12.0,O,0.22,0.2222,03/02/2023,1,66.0,0.70203,-0.4412,0.2792,-0.0367,-0.1666,0.7945
N125,1,E,12.5,A,0.54,-0.1692,08/02/2023,4,1688.0,0.68844,-0.5086,0.2817,-0.0366,-0.0677,0.8203
N130,1,E,13.0,I,1.04,0.4054,08/02/2023,1,1040.0,0.66734,-0.6091,0.2766,-0.0335,-0.0322,0.7986
N135,0,E,13.5,I,1.5,0.1811,08/02/2023,1,1500.0,0.60938,-0.745,0.2254,-0.0197,-0.0131,0.7507
N140,0,E,14.0,I,1.4,1.5,03/02/2023,1,140.0,0.56359,-0.5985,0.2447,-0.0229,-0.0164,1.0843
N145,0,E,14.5,I,2.31,0.8047,06/02/2023,1,1155.0,0.52766,-0.6985,0.1826,-0.0117,-0.005,1.2602
N150,0,E,15.0,I,2.98,1.7091,08/02/2023,2,2986.0,0.54453,-0.6592,0.1573,-0.0113,-0.0038,1.5698
N155,0,E,15.5,I,2.22,0.5205,23/01/2023,6,26709.0,0.52625,-0.5863,0.1587,-0.013,-0.0058,1.817
N160,0,E,16.0,I,1.95,0.5,18/01/2023,1,1950.0,,,,,,
N165,0,E,16.5,I,2.5,1.0492,13/01/2023,1,5000.0,,,,,,
N170,0,E,17.0,I,3.25,0.087,19/01/2023,2,1630.0,,,,,,
N175,0,E,17.5,I,3.78,0.0648,19/01/2023,1,3780.0,,,,,,
N180,0,E,18.0,I,4.4,0.0233,20/01/2023,1,4400.0,,,,,,
N185,0,E,18.5,I,4.3,-0.0549,18/01/2023,1,4300.0,,,,,,
N190,0,E,19.0,I,5.2,,19/01/2023,1,2080.0,,,,,,
N195,0,E,19.5,I,,,,,,,,,,,
N200,0,E,20.0,I,,,,,,,,,,,
N205,0,E,20.5,I,,,,,,,,,,,
N210,0,E,21.0,I,,,,,,,,,,,
N215,0,E,21.5,I,,,,,,,,,,,
N220,0,E,22.0,I,,,,,,,,,,,
N225,0,E,22.5,I,,,,,,,,,,,
N230,0,E,23.0,I,,,,,,,,,,,
N400,0,E,40.0,I,24.95,,15/12/2022,89,221609.0,,,,,,
