TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M141,0,E,14.12,O,0.13,-0.35,19/12/2022,1,13.0,0.425,-0.1297,0.0942,-0.0075,-0.0581,1.1146
M171,0,E,17.12,O,0.44,-0.5,23/12/2022,12,525.0,0.36555,-0.357,0.2125,-0.0136,-0.0309,1.7915
M181,0,E,18.12,I,,,,,,,,,,,
M191,0,E,19.12,I,,,,,,,,,,,
M205,0,E,20.12,I,3.17,0.0,22/12/2022,1,951.0,0.34008,-0.1607,0.0694,-0.0059,-0.0019,2.5221
M211,0,E,21.12,I,,,,,,,,,,,
M223,0,E,22.37,I,,,,,,,,,,,
M283,0,E,28.37,I,,,,,,,,,,,
M313,0,E,31.37,I,,,,,,,,,,,
M316,0,E,31.62,I,,,,,,,,,,,
M318,0,E,31.87,I,,,,,,,,,,,
