TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T370,0,E,3.7,O,0.26,0.04,05/07/2022,1,520.0,0.64625,-0.4019,0.4411,-0.0042,-0.0162,0.5249
T390,0,E,3.9,O,0.35,0.0606,05/07/2022,6,72100.0,0.58562,-0.4266,0.4819,-0.004,-0.0114,0.545
T410,0,E,4.1,O,,,,,,0.6275,-0.516,0.4393,-0.0039,,0.5764
T430,0,E,4.3,O,,,,,,0.67531,-0.4732,0.3707,-0.0045,,0.633
T450,0,E,4.5,O,,,,,,0.65656,-0.5059,0.3722,-0.0044,,0.6511
T470,0,E,4.7,O,,,,,,0.66375,-0.6124,0.3629,-0.0038,,0.609
T490,0,E,4.9,O,,,,,,,,,,,
T510,0,E,5.1,A,,,,,,,,,,,
T530,0,E,5.3,I,,,,,,,,,,,
T550,0,E,5.5,I,,,,,,,,,,,
T580,0,E,5.8,I,,,,,,,,,,,
