TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X700,0,E,7.0,O,,,,,,,,,,,
X800,0,E,8.0,O,0.03,,21/11/2022,4,12.0,,,,,,
X900,0,E,9.0,O,,,,,,,,,,,
X100,0,E,10.0,A,0.23,0.9167,15/12/2022,11,752.0,0.6525,-0.2361,0.3552,-0.032,-0.139,0.4095
X105,0,E,10.5,I,0.34,0.0968,13/12/2022,1,170.0,0.63625,-0.4388,0.5373,-0.0455,-0.134,0.4547
X110,0,E,11.0,I,1.04,0.284,15/12/2022,12,9258.0,0.59125,-0.7331,0.3803,-0.0239,-0.023,0.4806
X115,0,E,11.5,I,1.25,0.0,15/12/2022,1,12500.0,0.70562,-0.8274,0.2474,-0.0211,-0.0168,0.3739
X120,0,E,12.0,I,1.8,0.0286,15/12/2022,3,2345.0,0.9375,-0.961,0.098,-0.0118,-0.0066,0.0775
X125,0,E,12.5,I,2.44,0.1193,15/12/2022,4,4945.0,0.6275,-0.8433,0.1847,-0.0114,-0.0047,0.4972
X130,0,E,13.0,I,2.88,0.0323,15/12/2022,6,50979.0,0.61375,-0.7793,0.2077,-0.0154,-0.0054,0.6901
X135,0,E,13.5,I,2.88,-0.0857,13/12/2022,4,4234.0,0.53703,-0.6701,0.2276,-0.0154,-0.0053,1.0728
X140,0,E,14.0,I,3.6,0.0315,14/12/2022,1,180000.0,0.61828,-0.7467,0.1708,-0.014,-0.0039,0.9696
X145,0,E,14.5,I,4.65,0.1071,15/12/2022,2,224650.0,0.63391,-0.6677,0.1494,-0.0143,-0.0031,1.3928
X150,0,E,15.0,I,4.7,-0.0269,15/12/2022,3,10355.0,,,,,,
X155,0,E,15.5,I,5.5,0.0784,15/12/2022,3,11050.0,0.67094,-0.8152,0.102,-0.0067,-0.0012,1.0394
X160,0,E,16.0,I,4.44,0.2,07/12/2022,2,5294.0,0.67359,-0.8029,0.1016,-0.0078,-0.0018,1.1258
X165,0,E,16.5,I,6.36,0.8171,15/12/2022,1,12720.0,0.59156,-0.5925,0.1315,-0.0153,-0.0024,1.9377
X170,0,E,17.0,I,6.8,-0.0029,15/12/2022,2,16324.0,0.59805,-0.6831,0.1215,-0.0125,-0.0018,1.7451
X175,0,E,17.5,I,7.53,0.0606,15/12/2022,3,45892.0,0.60086,-0.7326,0.1118,-0.0105,-0.0014,1.6123
X180,0,E,18.0,I,8.0,0.071,15/12/2022,1,1600.0,0.61812,-0.7233,0.1058,-0.0113,-0.0014,1.7137
X185,0,E,18.5,I,7.26,0.4816,07/12/2022,1,39930.0,0.62664,-0.7562,0.0973,-0.0099,-0.0014,1.6114
X190,0,E,19.0,I,8.8,0.1139,15/12/2022,1,88000.0,0.62984,-0.7929,0.0883,-0.0079,-0.0009,1.4691
X200,0,E,20.0,I,10.02,0.0547,15/12/2022,1,350700.0,,,,,,
X210,0,E,21.0,I,10.5,-0.0094,13/12/2022,2,115500.0,,,,,,
X220,0,E,22.0,I,11.9,0.2796,14/12/2022,1,16660.0,,,,,,
X230,0,E,23.0,I,6.35,0.1219,05/10/2022,4,160010.0,,,,,,
X240,0,E,24.0,I,14.14,0.0321,15/12/2022,2,41445.0,,,,,,
X250,0,E,25.0,I,14.9,0.0276,15/12/2022,1,78970.0,0.63813,-0.914,0.0366,0.0044,0.0003,1.0535
X260,0,E,26.0,I,14.65,0.1815,05/12/2022,1,11720.0,,,,,,
X285,0,E,28.5,I,18.2,0.1131,14/12/2022,1,10920.0,,,,,,
X29,0,E,29.0,I,16.85,0.6094,30/11/2022,1,1685.0,,,,,,
X302,0,E,30.25,I,20.0,0.2531,13/12/2022,1,104000.0,,,,,,
X305,0,E,30.5,I,14.76,,21/06/2022,1,101844.0,,,,,,
X330,0,E,33.0,I,22.56,0.4144,14/12/2022,1,13536.0,,,,,,
X350,0,E,35.0,I,25.01,0.0855,12/12/2022,1,15006.0,,,,,,
X380,0,E,38.0,I,28.0,0.037,15/12/2022,1,5600.0,,,,,,
X420,0,E,42.0,I,32.15,0.0452,15/12/2022,2,112025.0,,,,,,
X560,0,E,43.0,I,31.85,0.2589,06/12/2022,1,15925.0,,,,,,
X292,0,E,44.0,I,30.25,0.1445,21/11/2022,2,1700160.0,,,,,,
X570,0,E,46.0,I,,,,,,,,,,,
