TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X132,0,E,9.84,O,0.01,0.0,31/10/2022,10,12.0,1.28875,-0.0031,0.0004,-0.0022,-0.2173,0.1645
X134,0,E,10.09,O,0.01,-0.5,28/11/2022,1,10.0,1.125,-0.0028,0.0004,-0.0015,-0.15,0.1553
X137,0,E,10.34,O,0.01,-0.5,08/11/2022,3,662.0,1.10625,-0.0029,0.0004,-0.0015,-0.15,0.158
X142,0,E,10.84,O,0.01,-0.5,08/11/2022,2,262.0,1.06875,-0.003,0.0005,-0.0015,-0.15,0.1625
X144,0,E,11.09,O,0.01,0.0,21/11/2022,1,2.0,1.0725,-0.0034,0.0005,-0.0017,-0.17,0.1968
X149,0,E,11.59,O,0.01,-0.5,11/11/2022,3,300.0,1.38,-0.0038,0.0006,-0.0034,-0.3388,0.1514
X15,0,E,12.09,O,0.01,0.0,18/11/2022,3,122.0,1.245,-0.0033,0.0006,-0.0025,-0.2541,0.139
X158,0,E,12.59,O,0.01,0.0,22/11/2022,1,5.0,1.35875,-0.0046,0.0007,-0.0041,-0.4057,0.1781
X174,0,E,14.09,O,0.01,0.0,29/11/2022,1,1.0,1.11875,-0.0048,0.001,-0.0032,-0.3181,0.1824
X264,0,E,23.09,O,0.01,0.0,25/11/2022,10,2300.0,0.735,-0.0091,0.004,-0.0049,-0.4883,0.2068
X243,0,E,23.59,O,0.02,-0.6,24/11/2022,1,100.0,0.70875,-0.009,0.0039,-0.0046,-0.2286,0.2147
X245,0,E,23.84,O,0.03,-0.5,23/11/2022,3,129.0,0.6925,-0.0092,0.004,-0.0046,-0.1519,0.2193
X248,0,E,24.09,O,0.03,-0.4,21/11/2022,1,3.0,0.655,-0.0102,0.005,-0.0047,-0.158,0.2263
X259,0,E,24.34,O,0.01,-0.5,30/11/2022,1,1.0,0.74375,-0.0076,0.0036,-0.0048,-0.4838,0.1611
X299,0,E,24.59,O,0.01,0.0,02/12/2022,2,6.0,,,,,,
X26,0,E,24.84,O,0.05,0.0,21/11/2022,2,55.0,0.65812,-0.0128,0.0062,-0.006,-0.1207,0.2675
X258,0,E,25.09,O,0.03,-0.4,25/11/2022,1,138.0,0.65375,-0.0152,0.0072,-0.0069,-0.2311,0.3099
X269,0,E,25.34,O,0.04,-0.2,24/11/2022,1,40.0,0.66625,-0.0146,0.0067,-0.007,-0.1743,0.3055
X263,0,E,25.59,O,0.03,0.0,28/11/2022,2,300.0,0.65,-0.0107,0.0054,-0.0055,-0.1817,0.2267
X274,0,E,25.84,O,0.03,-0.25,25/11/2022,2,450.0,0.60625,-0.0093,0.0054,-0.0046,-0.153,0.189
X268,0,E,26.09,O,0.02,0.0,01/12/2022,2,134.0,0.7525,-0.0103,0.005,-0.0072,-0.3618,0.1981
X279,0,E,26.34,O,0.01,-0.6667,02/12/2022,3,600.0,0.72125,-0.0108,0.0055,-0.0072,-0.7153,0.2045
X273,0,E,26.59,O,0.02,-0.3333,01/12/2022,38,4282.0,0.72375,-0.0131,0.0065,-0.0085,-0.4246,0.2422
X284,0,E,26.84,O,0.02,-0.3333,02/12/2022,34,8840.0,0.705,-0.0135,0.0068,-0.0085,-0.4237,0.2483
X27,0,E,27.09,O,0.03,-0.25,02/12/2022,17,2272.0,0.66375,-0.0117,0.0064,-0.007,-0.2349,0.2196
X297,0,E,27.34,O,0.03,0.5,02/12/2022,9,858.0,0.66375,-0.0142,0.0076,-0.0083,-0.2776,0.2598
X309,0,E,27.59,O,0.03,0.0,02/12/2022,16,2305.0,0.645,-0.0146,0.008,-0.0083,-0.276,0.2661
X294,0,E,27.84,O,0.03,0.0,02/12/2022,4,600.0,0.66062,-0.0168,0.0087,-0.0096,-0.3202,0.3014
X314,0,E,28.09,O,0.03,0.0,02/12/2022,1,3.0,0.64437,-0.0171,0.0091,-0.0095,-0.3182,0.3073
X298,0,E,28.34,O,0.03,0.0,02/12/2022,4,177.0,0.63375,-0.0173,0.0093,-0.0095,-0.3168,0.3114
X319,0,E,28.59,O,0.02,-0.6,02/12/2022,2,41.0,0.60125,-0.0211,0.0117,-0.0105,-0.5242,0.3631
X304,0,E,28.84,O,0.04,-0.3333,02/12/2022,2,12.0,0.58687,-0.0215,0.0122,-0.0104,-0.2606,0.3704
X324,0,E,29.09,O,0.04,-0.3333,02/12/2022,3,74.0,0.58125,-0.0244,0.0137,-0.0115,-0.287,0.4124
X30,0,E,29.34,O,0.05,0.25,02/12/2022,4,46.0,0.55719,-0.0254,0.0148,-0.0113,-0.2266,0.4254
X350,0,E,29.59,O,0.05,0.0,02/12/2022,7,804.0,0.54969,-0.0285,0.0165,-0.0123,-0.2457,0.4684
X313,0,E,29.84,O,0.05,-0.2857,02/12/2022,2,100.0,0.55531,-0.0308,0.0173,-0.0133,-0.2665,0.5029
X334,0,E,30.09,O,0.05,-0.1667,02/12/2022,2,40.0,0.52094,-0.0328,0.0196,-0.013,-0.2607,0.5263
X318,0,E,30.34,O,0.06,-0.25,02/12/2022,10,231.0,0.51719,-0.0388,0.0227,-0.0148,-0.2466,0.6029
X359,0,E,30.59,O,0.06,-0.3333,02/12/2022,4,530.0,0.49781,-0.0401,0.0242,-0.0146,-0.2433,0.6194
X32,0,E,30.84,O,0.07,-0.2222,02/12/2022,9,3258.0,0.49375,-0.0462,0.0273,-0.0162,-0.2314,0.6943
X344,0,E,31.09,O,0.08,-0.1111,02/12/2022,15,504.0,0.47969,-0.0503,0.0301,-0.0168,-0.2099,0.7429
X337,0,E,31.34,O,0.08,-0.2727,02/12/2022,9,2235.0,0.46562,-0.0545,0.0331,-0.0173,-0.2166,0.7922
X349,0,E,31.59,O,0.08,-0.3333,02/12/2022,15,2104.0,0.46406,-0.0603,0.0358,-0.0187,-0.2342,0.8608
X336,0,E,31.84,O,0.1,-0.1667,02/12/2022,8,721.0,0.45406,-0.0672,0.0398,-0.0199,-0.1987,0.936
X354,0,E,32.09,O,0.11,-0.2143,02/12/2022,62,3036.0,0.44594,-0.0798,0.0464,-0.0221,-0.201,1.0648
X339,0,E,32.34,O,0.14,-0.0667,02/12/2022,55,7942.0,0.44391,-0.0911,0.0514,-0.0242,-0.1732,1.1767
X35,0,E,32.59,O,0.13,-0.2353,02/12/2022,81,10852.0,0.42875,-0.0994,0.0568,-0.0249,-0.1913,1.2548
X343,0,E,32.84,O,0.15,-0.2857,02/12/2022,38,16042.0,0.42078,-0.1119,0.063,-0.0265,-0.1764,1.367
