TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U600,0,E,60.0,O,0.01,0.0,26/08/2022,2,500.0,0.74875,-0.002,0.0003,-0.0033,-0.33,0.2043
U650,0,E,65.0,O,0.01,0.0,30/08/2022,2,11.0,0.69063,-0.0024,0.0004,-0.004,-0.4,0.2158
U700,0,E,70.0,O,0.01,0.0,01/09/2022,3,13.0,0.66125,-0.0026,0.0004,-0.0044,-0.44,0.2233
U750,0,E,75.0,O,0.02,1.0,06/09/2022,2,100.0,0.6175,-0.0031,0.0006,-0.0053,-0.265,0.2328
U770,0,E,77.0,O,0.01,0.0,05/09/2022,1,100.0,0.59812,-0.0035,0.0008,-0.0062,-0.62,0.2363
U810,0,E,81.0,O,0.01,0.0,08/09/2022,3,200.0,0.62563,-0.0042,0.0011,-0.0096,-0.96,0.2197
U815,0,E,81.5,O,0.01,0.0,08/09/2022,2,60.0,,,,,,
U820,0,E,82.0,O,0.01,0.0,09/09/2022,1,10.0,0.65125,-0.0044,0.0012,-0.0112,-1.12,0.2112
U830,0,E,83.0,O,0.01,-0.5,26/08/2022,5,102.0,0.55312,-0.0041,0.0011,-0.0074,-0.74,0.2501
U840,0,E,84.0,O,0.01,-0.5,02/09/2022,3,20.0,0.46812,-0.0047,0.0014,-0.0065,-0.65,0.2885
U850,0,E,85.0,O,0.01,0.0,09/09/2022,1,2.15,0.79125,-0.0037,0.0009,-0.0139,-1.39,0.1786
U860,0,E,86.0,O,0.01,-0.5,09/09/2022,3,844.85,0.63125,-0.0049,0.0015,-0.0132,-1.32,0.214
U880,0,E,88.0,O,0.01,-0.5,09/09/2022,1,20.0,0.50375,-0.0073,0.0025,-0.0134,-1.34,0.3288
U890,0,E,89.0,O,0.01,-0.5,09/09/2022,1,0.01,0.56125,-0.0054,0.0018,-0.0128,-1.28,0.2344
U889,0,E,90.0,O,0.01,-0.6667,09/09/2022,4,42.0,0.53625,-0.0056,0.002,-0.0128,-1.28,0.2441
U910,0,E,91.0,O,0.01,-0.5,09/09/2022,11,1149.21,0.5075,-0.0059,0.0022,-0.0127,-1.27,0.2568
U920,0,E,92.0,O,0.01,-0.75,09/09/2022,17,1073.01,0.45562,-0.0045,0.0019,-0.0089,-0.89,0.2008
U925,0,E,92.5,O,0.01,-0.8,09/09/2022,3,17.01,0.48188,-0.008,0.003,-0.0157,-1.57,0.3362
U930,0,E,93.0,O,0.01,-0.75,09/09/2022,12,1200.01,0.4675,-0.0083,0.0032,-0.0156,-1.56,0.3449
U940,0,E,94.0,O,0.01,-0.8333,09/09/2022,7,1644.03,0.43656,-0.0088,0.0036,-0.0154,-1.54,0.3639
U950,0,E,95.0,O,0.02,-0.7143,09/09/2022,68,38184.06,0.4225,-0.0111,0.0045,-0.0182,-0.91,0.4459
