TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M147,0,E,14.56,O,,,,,,,,,,,
M157,0,E,15.56,O,0.02,-0.7143,20/12/2022,1,4.0,,,,,,
M167,0,E,16.56,O,0.08,0.0,20/12/2022,2,16.0,0.62281,-0.0462,0.0233,-0.0081,-0.1017,0.6453
M177,0,E,17.56,O,0.05,0.0,23/12/2022,1,75.0,0.66406,-0.0251,0.0131,-0.0065,-0.1302,0.3929
M187,0,E,18.56,O,0.08,-0.2,22/12/2022,2,30.0,0.56516,-0.0627,0.0325,-0.0103,-0.1284,0.8272
M197,0,E,19.56,O,0.09,-0.1818,23/12/2022,55,6808.0,0.56187,-0.0504,0.0273,-0.0097,-0.1074,0.7024
M207,0,E,20.56,O,0.15,-0.4,23/12/2022,11,1164.0,0.47297,-0.1502,0.0757,-0.016,-0.1063,1.5211
M212,0,E,21.06,O,0.18,-0.5,23/12/2022,6,1059.0,0.4607,-0.1586,0.0793,-0.0163,-0.0904,1.603
M217,0,E,21.56,O,0.22,-0.4054,23/12/2022,9,11209.0,0.48148,-0.1379,0.0682,-0.0168,-0.0762,1.4778
M222,0,E,22.06,O,0.33,-0.3125,23/12/2022,6,2230.0,0.48852,-0.1567,0.0722,-0.0187,-0.0567,1.6324
M227,0,E,22.56,O,0.39,-0.5125,23/12/2022,14,7150.0,0.46219,-0.217,0.0946,-0.0209,-0.0535,1.9731
M232,0,E,23.06,O,0.51,-0.4796,23/12/2022,99,95256.0,0.46484,-0.2412,0.0986,-0.0224,-0.0439,2.1195
M237,0,E,23.56,O,0.64,-0.4711,23/12/2022,19,23180.0,0.45297,-0.2884,0.1107,-0.0235,-0.0367,2.3251
M242,0,E,24.06,O,0.8,-0.4521,23/12/2022,20,33642.0,0.43891,-0.3492,0.124,-0.0239,-0.0299,2.517
M247,0,E,24.56,A,0.98,-0.4869,23/12/2022,63,226373.0,0.43375,-0.411,0.1317,-0.0242,-0.0246,2.6478
M252,0,E,25.06,A,1.38,-0.3065,23/12/2022,3,959.0,0.42523,-0.4797,0.1377,-0.0232,-0.0168,2.711
M254,0,E,25.31,I,4.0,0.105,14/12/2022,7,152240.0,0.43562,-0.7894,0.0914,-0.0055,-0.0014,2.0938
M257,0,E,25.56,I,1.5,-0.4,23/12/2022,1,1500.0,0.40906,-0.6184,0.1108,-0.0119,-0.0079,3.2065
M262,0,E,26.06,I,3.0,-0.0881,22/12/2022,1,300.0,0.41297,-0.6183,0.1048,-0.0116,-0.0039,3.3602
M270,0,E,26.56,I,2.2,-0.4211,23/12/2022,1,220.0,0.44344,-0.6034,0.0897,-0.0117,-0.0053,3.7334
M272,0,E,27.06,I,5.05,-0.1984,15/12/2022,1,10100.0,0.44121,-0.6456,0.0871,-0.0101,-0.002,3.6022
M274,0,E,27.31,I,5.72,2.575,15/12/2022,1,28600.0,0.39207,-0.5486,0.0913,-0.0097,-0.0017,4.38
M277,0,E,27.56,I,5.73,1.2038,12/12/2022,1,1146.0,0.39043,-0.5705,0.0909,-0.0091,-0.0016,4.3437
M282,0,E,28.06,I,4.88,-0.2781,22/12/2022,1,488.0,0.40133,-0.5647,0.0862,-0.0096,-0.002,4.4799
M284,0,E,28.31,I,3.6,-0.5135,23/12/2022,2,9000.0,0.40102,-0.5848,0.0854,-0.0091,-0.0025,4.4369
M287,0,E,28.56,I,2.85,-0.05,14/11/2022,3,8550.0,0.39969,-0.6049,0.0847,-0.0084,-0.0029,4.3819
M289,0,E,28.81,I,,,,,,,,,,,
M292,0,E,29.06,I,7.17,1.0369,15/12/2022,3,154944.0,0.41813,-0.65,0.0771,-0.007,-0.001,4.2562
M297,0,E,29.56,I,5.05,0.1298,25/11/2022,16,69691.0,0.3877,-0.5336,0.0819,-0.0098,-0.0019,4.974
M299,0,E,29.81,I,8.12,,15/12/2022,3,479080.0,0.38145,-0.5017,0.081,-0.0102,-0.0013,5.1526
M302,0,E,30.06,I,,,,,,0.3843,-0.5187,0.0802,-0.01,,5.1505
M307,0,E,30.56,I,2.87,,08/11/2022,1,574.0,0.38125,-0.559,0.0801,-0.0088,-0.0031,5.0962
M312,0,E,31.06,I,,,,,,0.39414,-0.5825,0.0758,-0.0086,,5.1036
M317,0,E,31.56,I,,,,,,,,,,,
M327,0,E,32.56,I,,,,,,,,,,,
M332,0,E,33.06,I,,,,,,,,,,,
M334,0,E,33.31,I,9.0,-0.2418,23/12/2022,1,2700.0,,,,,,
M344,0,E,34.31,I,,,,,,,,,,,
M347,0,E,34.56,I,,,,,,,,,,,
M357,0,E,35.56,I,14.4,0.0435,16/12/2022,1,1440.0,,,,,,
M367,0,E,36.56,I,,,,,,,,,,,
M369,0,E,36.81,I,9.85,,19/08/2022,1,155630.0,,,,,,
