TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U151,0,E,15.17,O,,,,,,,,,,,
U161,0,E,16.17,O,,,,,,,,,,,
U171,0,E,17.17,O,,,,,,0.54312,-0.0234,0.0169,-0.0047,,0.3312
U181,0,E,18.17,O,0.03,-0.4,25/08/2022,1,600.0,0.56,-0.0239,0.0176,-0.0057,-0.19,0.3209
U186,0,E,18.67,O,0.09,-0.3571,23/08/2022,3,32.0,0.60875,-0.0482,0.0267,-0.0104,-0.1156,0.6182
U191,0,E,19.17,O,0.1,0.25,23/08/2022,1,20.0,0.45531,-0.0671,0.0472,-0.0091,-0.091,0.7852
U196,0,E,19.67,O,0.05,-0.4444,25/08/2022,1,5.0,0.47687,-0.0628,0.0442,-0.0099,-0.198,0.7241
U201,0,E,20.17,O,0.08,-0.2,25/08/2022,1,56.0,0.40594,-0.1156,0.0794,-0.0118,-0.1475,1.1772
U206,0,E,20.67,O,0.16,0.2308,24/08/2022,1,32.0,0.43031,-0.1231,0.0813,-0.0143,-0.0894,1.1852
U211,0,E,21.17,O,0.14,-0.3333,26/08/2022,1,140.0,0.42055,-0.1648,0.1011,-0.0168,-0.12,1.4461
U216,0,E,21.67,O,0.25,0.0417,26/08/2022,1,25.0,0.41859,-0.2129,0.1272,-0.0209,-0.0836,1.5853
U221,1,E,22.17,O,0.39,-0.025,26/08/2022,11,3313.0,0.40453,-0.2759,0.1512,-0.0227,-0.0582,1.826
U226,1,E,22.67,A,0.58,0.2889,26/08/2022,11,6971.0,0.39656,-0.3674,0.1743,-0.0241,-0.0416,2.0528
U231,1,E,23.17,A,0.81,0.2857,26/08/2022,12,29237.0,0.39062,-0.458,0.1864,-0.024,-0.0296,2.1619
U234,1,E,23.42,A,0.94,0.2533,26/08/2022,5,10748.0,0.38672,-0.5048,0.1893,-0.0232,-0.0247,2.1739
U236,0,E,23.67,I,1.03,-0.0283,26/08/2022,1,1545.0,0.3868,-0.5511,0.1877,-0.0223,-0.0217,2.1561
U241,0,E,24.17,I,1.34,0.2072,26/08/2022,23,45011.0,0.38531,-0.6404,0.1781,-0.0192,-0.0143,2.038
U246,0,E,24.67,I,1.41,-0.0537,25/08/2022,1,1833.0,0.37352,-0.67,0.1698,-0.0164,-0.0116,2.0684
U251,0,E,25.17,I,2.0,0.087,25/08/2022,2,8080.0,0.34016,-0.632,0.1568,-0.0115,-0.0058,2.6638
U255,0,E,25.67,I,,,,,,,,,,,
U259,0,E,25.92,I,,,,,,,,,,,
U261,0,E,26.17,I,2.75,0.0827,18/08/2022,1,2750.0,0.37789,-0.4965,0.095,-0.0095,-0.0035,4.4312
U271,0,E,27.17,I,4.0,-0.0521,26/08/2022,2,822.0,0.3925,-0.5538,0.0851,-0.008,-0.002,4.6761
U281,0,E,28.17,I,4.5,-0.1194,24/08/2022,1,450.0,0.37359,-0.5471,0.0846,-0.0074,-0.0016,4.9646
U305,0,E,28.92,I,5.41,0.0671,17/08/2022,1,1082.0,,,,,,
U291,0,E,29.17,I,5.03,0.0162,16/08/2022,6,9558.0,,,,,,
U301,0,E,30.17,I,7.11,0.193,19/08/2022,2,7820.0,,,,,,
U311,0,E,31.17,I,7.25,0.0357,12/08/2022,2,7245.0,,,,,,
U335,0,E,31.92,I,4.0,0.3333,20/04/2022,1,112800.0,,,,,,
U321,0,E,32.17,I,,,,,,,,,,,
U329,0,E,32.92,I,,,,,,,,,,,
U331,0,E,33.17,I,9.18,0.0,12/08/2022,1,18360.0,,,,,,
U341,0,E,34.17,I,,,,,,,,,,,
U346,0,E,34.67,I,,,,,,,,,,,
U351,0,E,35.17,I,,,,,,,,,,,
U375,0,E,35.92,I,,,,,,,,,,,
U361,0,E,36.17,I,,,,,,,,,,,
U366,0,E,36.67,I,,,,,,,,,,,
U371,0,E,37.17,I,14.4,,04/08/2022,1,27360.0,,,,,,
U381,0,E,38.17,I,,,,,,,,,,,
