TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X160,0,E,16.0,O,0.01,0.0,07/12/2022,1,1.0,,,,,,
X170,0,E,17.0,O,,,,,,,,,,,
X180,0,E,18.0,O,,,,,,,,,,,
X190,0,E,19.0,O,,,,,,,,,,,
X200,0,E,20.0,O,0.05,-0.7059,16/11/2022,2,2000.0,,,,,,
X210,0,E,21.0,O,0.13,,25/10/2022,2,351.0,,,,,,
X220,0,E,22.0,O,0.03,,28/11/2022,1,1500.0,,,,,,
X230,0,E,23.0,O,0.02,-0.8333,15/12/2022,13,2519.0,0.73062,-0.1388,0.1991,-0.121,-6.0512,0.3364
X240,0,E,24.0,A,0.31,0.7222,15/12/2022,85,10260.0,0.47469,-0.2402,0.1858,-0.0486,-0.1569,1.0967
X245,0,E,24.5,I,0.57,0.7813,15/12/2022,2,1350.0,,,,,,
X250,0,E,25.0,I,1.01,1.8056,15/12/2022,16,19296.0,0.55375,-0.1119,0.0487,-0.0229,-0.0227,1.3449
X255,0,E,25.5,I,,,,,,0.49656,-0.5694,0.2241,-0.0606,,1.3869
X260,0,E,26.0,I,1.95,1.3494,15/12/2022,15,33009.0,0.48953,-0.652,0.2129,-0.0546,-0.028,1.311
X265,0,E,26.5,I,0.94,,07/12/2022,1,1692.0,0.46578,-0.7738,0.1677,-0.0335,-0.0356,1.1585
X270,0,E,27.0,I,3.0,0.7544,15/12/2022,1,600.0,0.4675,-0.8432,0.1334,-0.0234,-0.0078,0.9248
X275,0,E,27.5,I,1.71,0.2667,07/12/2022,36,39986.0,0.4675,-0.7314,0.1626,-0.0365,-0.0213,1.4307
X280,0,E,28.0,I,4.08,0.4836,15/12/2022,11,218277.0,0.44594,-0.9042,0.0971,-0.0109,-0.0027,0.668
X285,0,E,28.5,I,4.3,0.2079,15/12/2022,2,2558.0,0.46477,-0.7259,0.1415,-0.0319,-0.0074,1.6873
X290,0,E,29.0,I,4.74,0.1153,15/12/2022,2,6147.0,0.46687,-0.6154,0.1405,-0.037,-0.0078,2.2259
X295,0,E,29.5,I,5.3,0.2184,15/12/2022,15,84225.0,0.48992,-0.653,0.1346,-0.0396,-0.0075,2.0668
X300,0,E,30.0,I,4.92,0.1182,14/12/2022,6,13787.0,0.48,-0.692,0.13,-0.0358,-0.0073,1.984
X305,0,E,30.5,I,5.35,0.0288,14/12/2022,5,50815.0,0.51711,-0.5685,0.0974,-0.0338,-0.0063,3.0684
X310,0,E,31.0,I,6.48,0.0031,15/12/2022,1,64800.0,0.52586,-0.6238,0.0906,-0.0305,-0.0047,3.0236
X315,0,E,31.5,I,7.1,0.0411,15/12/2022,7,804452.0,0.5207,-0.6671,0.0876,-0.0275,-0.0039,2.8948
X320,0,E,32.0,I,7.75,0.1297,15/12/2022,2,3100.0,0.51227,-0.7117,0.0837,-0.0235,-0.003,2.7174
X325,0,E,32.5,I,7.5,0.0714,14/12/2022,5,41068.0,0.51195,-0.7475,0.0784,-0.0204,-0.0027,2.544
X330,0,E,33.0,I,8.65,0.0397,15/12/2022,4,34680.0,1.3925,-0.9512,0.0263,-0.0475,-0.0055,0.2793
