TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T846,0,E,8.14,O,0.02,-0.6,22/07/2022,1,4.0,0.30812,-0.1438,0.2201,-0.0026,-0.13,0.7578
T856,0,E,8.24,O,0.01,-0.8889,20/07/2022,1,70.0,0.30078,-0.1577,0.2466,-0.0028,-0.28,0.7832
T896,0,E,8.64,O,0.03,0.5,15/08/2022,1,3.0,0.645,-0.037,0.0626,-0.0056,-0.1867,0.1623
T906,0,E,8.74,O,0.01,-0.5,28/07/2022,1,2.0,,,,,,
T914,0,E,9.14,O,0.01,-0.5,08/08/2022,1,5.0,0.835,-0.0321,0.062,-0.0102,-1.02,0.0998
T954,0,E,9.54,O,0.07,6.0,15/08/2022,5,86.0,0.25094,-0.1537,0.4322,-0.0046,-0.0657,0.5175
T994,0,E,9.94,O,0.06,0.0,05/08/2022,1,900.0,0.25062,-0.257,0.6031,-0.0064,-0.1067,0.6878
T110,0,E,10.64,O,0.05,-0.6154,15/08/2022,14,146.0,0.265,-0.1949,0.7559,-0.0114,-0.228,0.3792
T116,0,E,11.64,I,,,,,,,,,,,
T126,0,E,12.64,I,2.47,-0.0818,29/07/2022,2,498.0,,,,,,
