TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
V800,0,E,8.0,O,,,,,,,,,,,
V820,0,E,8.2,O,,,,,,,,,,,
V840,0,E,8.4,O,,,,,,,,,,,
V860,0,E,8.6,O,,,,,,,,,,,
V880,0,E,8.8,O,,,,,,,,,,,
V900,0,E,9.0,O,,,,,,,,,,,
V920,0,E,9.2,O,,,,,,,,,,,
V940,0,E,9.4,O,,,,,,,,,,,
V960,0,E,9.6,O,,,,,,,,,,,
V980,0,E,9.8,O,,,,,,,,,,,
V100,0,E,10.0,O,,,,,,,,,,,
V105,0,E,10.5,O,0.17,,28/07/2022,1,1020.0,,,,,,
V110,0,E,11.0,O,0.01,,09/08/2022,3,1001.0,,,,,,
V115,0,E,11.5,O,0.1,0.0,06/09/2022,1,200.0,,,,,,
V120,0,E,12.0,O,0.08,-0.4286,16/09/2022,1,240.0,,,,,,
V125,0,E,12.5,O,0.13,-0.2353,16/09/2022,14,771.0,0.38031,-0.2364,0.1971,-0.0082,-0.0631,1.2682
V130,1,E,13.0,O,0.31,0.0333,16/09/2022,3,376.0,0.34156,-0.3111,0.2494,-0.008,-0.0258,1.4655
V135,1,E,13.5,A,0.44,-0.0833,16/09/2022,11,36758.0,0.33422,-0.4433,0.2847,-0.0079,-0.018,1.6392
V140,1,E,14.0,I,0.78,0.2188,16/09/2022,20,161687.0,0.33141,-0.5871,0.2833,-0.0064,-0.0082,1.6151
V145,1,E,14.5,I,0.98,0.0208,15/09/2022,4,49610.0,0.34203,-0.7062,0.2428,-0.0044,-0.0045,1.4284
V150,0,E,15.0,I,1.23,,17/08/2022,2,16728.0,0.37781,-0.5909,0.1821,-0.0049,-0.004,2.1942
V155,0,E,15.5,I,,,,,,,,,,,
V160,0,E,16.0,I,1.77,,05/09/2022,1,177.0,,,,,,
V165,0,E,16.5,I,,,,,,,,,,,
V170,0,E,17.0,I,,,,,,,,,,,
V175,0,E,17.5,I,,,,,,,,,,,
V180,0,E,18.0,I,,,,,,,,,,,
V185,0,E,18.5,I,,,,,,,,,,,
V190,0,E,19.0,I,,,,,,,,,,,
V195,0,E,19.5,I,,,,,,,,,,,
