TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T110,0,E,1.1,O,,,,,,,,,,,
T130,0,E,1.3,O,0.01,0.0,26/07/2022,1,1.0,0.82,-0.054,0.1874,-0.0009,-0.09,0.0781
T149,0,E,1.5,O,0.01,0.0,20/07/2022,1,1.0,0.7975,-0.0514,0.1682,-0.001,-0.1,0.0828
T170,0,E,1.7,O,0.01,-0.5,28/07/2022,9,815.0,0.84,-0.0653,0.2649,-0.0018,-0.18,0.0728
T190,0,E,1.9,O,0.02,-0.3333,28/07/2022,2,133.0,0.625,-0.1086,0.5235,-0.0019,-0.095,0.1061
T200,0,E,2.0,O,0.04,-0.2,28/07/2022,9,4061.0,0.6175,-0.1721,0.7222,-0.0026,-0.065,0.1459
T210,1,E,2.1,O,0.06,-0.25,28/07/2022,20,8452.0,0.62437,-0.2563,0.8975,-0.0033,-0.055,0.185
T220,1,E,2.2,O,0.09,-0.1818,28/07/2022,17,15875.0,0.61875,-0.359,1.0515,-0.0037,-0.0411,0.2147
T230,1,E,2.3,A,0.13,-0.1875,28/07/2022,27,59271.0,0.56687,-0.4847,1.2295,-0.0034,-0.0262,0.228
T240,0,E,2.4,I,0.2,-0.0909,28/07/2022,25,52273.0,0.545,-0.6573,1.2001,-0.0026,-0.013,0.2065
T250,0,E,2.5,I,0.26,-0.1034,28/07/2022,5,12683.0,0.51875,-0.7506,1.0791,-0.0019,-0.0073,0.1799
T260,0,E,2.6,I,0.32,-0.2,28/07/2022,4,1184.0,0.6275,-0.7992,0.796,-0.002,-0.0063,0.1577
T270,0,E,2.7,I,0.32,-0.3846,28/07/2022,2,110.0,0.5575,-0.721,0.7952,-0.0016,-0.005,0.2547
T280,0,E,2.8,I,0.55,-0.1538,27/07/2022,2,1537.0,0.54375,-0.853,0.6318,-0.0007,-0.0013,0.1541
T299,0,E,3.0,I,0.85,0.0897,26/07/2022,2,2125.0,,,,,,
T305,0,E,3.05,I,0.82,0.025,28/07/2022,2,482.0,0.53312,-0.8398,0.4692,-0.0,-0.0,0.2371
T325,0,E,3.25,I,1.09,0.172,26/07/2022,2,2935.0,0.8675,-0.9458,0.2196,0.0001,0.0001,0.0635
T340,0,E,3.4,I,1.14,-0.05,28/07/2022,1,1140.0,,,,,,
T360,0,E,3.6,I,1.23,0.0082,19/07/2022,1,1722.0,,,,,,
T375,0,E,3.75,I,1.35,0.0976,15/07/2022,1,810.0,,,,,,
T380,0,E,3.8,I,1.32,-0.0504,15/07/2022,2,42904.0,,,,,,
T390,0,E,3.9,I,1.55,-0.0313,22/07/2022,1,930.0,,,,,,
T399,0,E,4.0,I,1.83,0.0457,26/07/2022,2,36500.0,,,,,,
T420,0,E,4.2,I,1.9,0.0215,27/07/2022,2,2854.0,1.0775,-0.9234,0.1759,-0.0003,-0.0002,0.1092
T440,0,E,4.4,I,1.98,-0.01,14/07/2022,6,81806.0,,,,,,
T460,0,E,4.6,I,2.23,0.0,22/07/2022,1,892.0,,,,,,
T470,0,E,4.7,I,2.45,0.0889,25/07/2022,1,24500.0,,,,,,
T495,0,E,5.0,I,2.66,0.031,21/07/2022,1,1862.0,,,,,,
T540,0,E,5.4,I,2.94,-0.02,14/07/2022,8,320730.0,,,,,,
T580,0,E,5.8,I,3.55,0.0534,06/07/2022,1,17750.0,,,,,,
T60,0,E,6.0,I,3.8,0.0215,26/07/2022,17,73045.0,1.16,-0.9879,0.0353,0.0025,0.0007,0.024
T620,0,E,6.2,I,3.92,-0.02,27/07/2022,1,13720.0,,,,,,
T800,0,E,8.0,I,5.65,0.031,27/07/2022,3,9703.0,1.575,-0.8889,0.1042,0.0004,0.0001,0.2185
T840,0,E,8.4,I,5.93,,14/07/2022,1,136983.0,,,,,,
T860,0,E,8.6,I,6.22,0.0032,21/07/2022,1,24258.0,,,,,,
T99,0,E,10.0,I,7.77,0.0117,26/07/2022,1,21756.0,,,,,,
