TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
O440,0,E,4.4,O,,,,,,,,,,,
O480,0,E,4.8,O,,,,,,,,,,,
O490,0,E,4.9,O,,,,,,,,,,,
O500,0,E,5.0,O,,,,,,,,,,,
O520,0,E,5.2,O,,,,,,,,,,,
O540,0,E,5.4,O,,,,,,,,,,,
O560,0,E,5.6,O,,,,,,,,,,,
O580,0,E,5.8,O,,,,,,,,,,,
O600,0,E,6.0,O,,,,,,,,,,,
O620,0,E,6.2,O,0.01,,17/02/2023,1,450.0,,,,,,
O640,0,E,6.4,O,,,,,,,,,,,
O660,0,E,6.6,O,,,,,,,,,,,
O680,0,E,6.8,O,0.07,0.0,17/02/2023,2,32.0,0.31125,-0.1847,0.4309,-0.0036,-0.0511,0.5301
O700,0,E,7.0,O,0.05,-0.375,17/02/2023,6,4642.0,0.29406,-0.1567,0.4083,-0.0033,-0.065,0.4798
O720,1,E,7.2,O,0.09,-0.1818,17/02/2023,11,2118.0,0.28219,-0.2559,0.571,-0.0039,-0.0438,0.6422
O740,1,E,7.4,A,0.16,-0.1579,17/02/2023,16,3491.0,0.2725,-0.3889,0.7056,-0.0041,-0.0257,0.7644
O760,1,E,7.6,A,0.25,-0.1935,17/02/2023,12,10200.0,0.28938,-0.516,0.6891,-0.0042,-0.0166,0.7969
O780,0,E,7.8,I,0.5,0.0,17/02/2023,1,200.0,0.29188,-0.6579,0.5316,-0.002,-0.004,0.8695
O800,0,E,8.0,I,0.63,-0.0597,16/02/2023,1,3150.0,0.305,-0.6339,0.481,-0.0022,-0.0035,0.965
O820,0,E,8.2,I,0.8,0.2308,14/02/2023,1,80.0,,,,,,
O840,0,E,8.4,I,,,,,,,,,,,
O860,0,E,8.6,I,,,,,,,,,,,
O880,0,E,8.8,I,,,,,,,,,,,
O900,0,E,9.0,I,,,,,,,,,,,
O920,0,E,9.2,I,,,,,,,,,,,
O940,0,E,9.4,I,,,,,,,,,,,
O960,0,E,9.6,I,2.06,,09/01/2023,1,618.0,,,,,,
O980,0,E,9.8,I,,,,,,,,,,,
O100,0,E,10.0,I,,,,,,,,,,,
O105,0,E,10.5,I,,,,,,,,,,,
O110,0,E,11.0,I,3.19,,27/01/2023,2,7985.0,,,,,,
O115,0,E,11.5,I,,,,,,,,,,,
O120,0,E,12.0,I,,,,,,,,,,,
O125,0,E,12.5,I,,,,,,,,,,,
O130,0,E,13.0,I,,,,,,,,,,,
O135,0,E,13.5,I,,,,,,,,,,,
O140,0,E,14.0,I,,,,,,,,,,,
O145,0,E,14.5,I,,,,,,,,,,,
O150,0,E,15.0,I,7.4,,08/02/2023,8,47416.0,,,,,,
