TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N104,0,E,10.44,O,,,,,,,,,,,
N114,0,E,11.44,O,,,,,,,,,,,
N124,0,E,12.44,O,,,,,,,,,,,
N135,0,E,13.44,O,0.09,-0.7,24/01/2023,1,9.0,0.38719,-0.2892,0.1754,-0.008,-0.0886,1.7206
N140,1,E,13.94,O,0.18,0.125,08/02/2023,6,12780.0,0.45812,-0.3002,0.1891,-0.0142,-0.0791,1.3961
N145,1,E,14.44,A,0.34,0.0625,08/02/2023,4,3934.0,0.49609,-0.3903,0.3164,-0.0299,-0.088,0.9383
N150,1,E,14.94,I,0.58,0.0741,08/02/2023,3,5187.0,0.44375,-0.5845,0.3609,-0.0251,-0.0433,0.9496
N155,1,E,15.44,I,0.7,-0.0789,08/02/2023,1,70.0,0.44281,-0.7454,0.2976,-0.0183,-0.0261,0.7813
N160,0,E,15.94,I,0.9,0.3846,07/02/2023,1,9000.0,0.4575,-0.8542,0.2054,-0.0107,-0.0118,0.5572
N165,0,E,16.44,I,1.48,1.2769,07/02/2023,1,148.0,0.48219,-0.7767,0.2156,-0.0158,-0.0107,0.8578
N170,0,E,16.94,I,,,,,,0.41406,-0.634,0.2562,-0.0169,,1.334
N175,0,E,17.44,I,2.9,,12/01/2023,1,580.0,,,,,,
N180,0,E,17.94,I,,,,,,,,,,,
N185,0,E,18.44,I,4.0,,11/01/2023,1,4000.0,,,,,,
N190,0,E,18.94,I,4.4,,12/01/2023,1,440.0,,,,,,
N195,0,E,19.44,I,,,,,,,,,,,
N200,0,E,19.94,I,,,,,,,,,,,
N205,0,E,20.44,I,,,,,,,,,,,
N210,0,E,20.94,I,,,,,,,,,,,
N215,0,E,21.44,I,,,,,,,,,,,
N220,0,E,21.94,I,,,,,,,,,,,
N225,0,E,22.44,I,,,,,,,,,,,
N230,0,E,22.94,I,,,,,,,,,,,
N235,0,E,23.44,I,,,,,,,,,,,
N240,0,E,23.94,I,,,,,,,,,,,
