TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N108,0,E,10.87,O,,,,,,,,,,,
N113,0,E,11.37,O,,,,,,,,,,,
N118,0,E,11.87,O,,,,,,,,,,,
N123,0,E,12.37,O,,,,,,,,,,,
N128,0,E,12.87,O,0.04,,24/01/2023,1,64.0,,,,,,
N133,0,E,13.37,O,,,,,,,,,,,
N136,0,E,13.62,O,,,,,,,,,,,
N138,0,E,13.87,O,0.21,1.625,10/02/2023,4,1173.0,0.32063,-0.2119,0.3765,-0.0142,-0.0677,0.6953
N141,0,E,14.12,O,0.22,0.0,09/02/2023,1,110.0,0.28828,-0.3562,0.4533,-0.0124,-0.0565,1.0633
N143,0,E,14.37,A,0.17,-0.1053,16/02/2023,1,187.0,0.30141,-0.4787,0.4884,-0.0141,-0.0832,1.0781
N146,0,E,14.62,A,0.8,0.9512,13/02/2023,1,80.0,,,,,,
N148,0,E,14.87,I,0.38,-0.1556,15/02/2023,2,498.0,,,,,,
N151,0,E,15.12,I,1.0,0.4085,10/02/2023,1,100.0,,,,,,
N153,0,E,15.37,I,,,,,,,,,,,
N156,0,E,15.62,I,,,,,,,,,,,
N160,0,E,15.87,I,,,,,,,,,,,
N161,0,E,16.12,I,1.71,0.0427,16/02/2023,1,1710.0,,,,,,
N166,0,E,16.62,I,,,,,,,,,,,
N171,0,E,17.12,I,,,,,,,,,,,
N173,0,E,17.37,I,,,,,,,,,,,
N178,0,E,17.87,I,,,,,,,,,,,
N183,0,E,18.37,I,,,,,,,,,,,
N188,0,E,18.87,I,,,,,,,,,,,
