TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M750,0,E,5.87,O,0.04,,08/12/2022,1,160.0,,,,,,
M770,0,E,6.07,O,,,,,,,,,,,
M790,0,E,6.27,O,,,,,,,,,,,
M810,0,E,6.47,O,0.02,-0.5,20/12/2022,2,150.0,,,,,,
M830,0,E,6.67,O,0.01,-0.8,19/12/2022,1,10.0,,,,,,
M850,0,E,6.87,O,0.02,-0.5,20/12/2022,2,4.0,0.9875,-0.0129,0.0083,-0.0028,-0.14,0.1354
M870,0,E,7.07,O,,,,,,0.7425,-0.0222,0.0121,-0.0027,,0.3109
M890,0,E,7.27,O,0.02,0.0,20/12/2022,1,2.0,0.90375,-0.0142,0.0099,-0.0028,-0.1377,0.146
M910,0,E,7.47,O,0.02,0.0,07/12/2022,1,1300.0,0.79937,-0.0307,0.0169,-0.0035,-0.1747,0.3561
M930,0,E,7.67,O,0.01,-0.5,27/12/2022,1,1.0,1.0225,-0.0106,0.0074,-0.003,-0.3049,0.1044
M950,0,E,7.87,O,0.01,-0.5,28/12/2022,1,1.0,0.7675,-0.0117,0.0089,-0.0019,-0.1924,0.1369
M970,0,E,8.07,O,,,,,,0.755,-0.0128,0.0106,-0.0021,,0.1361
M990,0,E,8.27,O,0.01,0.0,29/12/2022,4,55.0,1.075,-0.0106,0.0074,-0.0035,-0.3471,0.0995
M102,0,E,8.62,O,0.03,0.0,15/12/2022,1,66.0,0.72375,-0.021,0.0169,-0.0031,-0.1035,0.2082
M107,0,E,9.12,O,0.05,-0.1667,15/12/2022,1,500.0,,,,,,
M110,0,E,9.37,O,0.01,0.0,29/12/2022,1,43.0,0.66875,-0.0158,0.0158,-0.0026,-0.2638,0.149
M112,0,E,9.62,O,0.03,0.5,28/12/2022,2,12.0,0.67125,-0.0159,0.0159,-0.0028,-0.0926,0.1475
M115,0,E,9.87,O,0.02,0.0,29/12/2022,1,200.0,0.78,-0.0143,0.0131,-0.0032,-0.1622,0.1295
M117,0,E,10.12,O,0.02,-0.3333,29/12/2022,2,172.0,0.72625,-0.0154,0.0151,-0.0032,-0.1596,0.1372
M120,0,E,10.37,O,0.02,-0.5,29/12/2022,1,20.0,0.77625,-0.02,0.0189,-0.0046,-0.2308,0.1603
M122,0,E,10.62,O,0.06,0.2,26/12/2022,16,165.0,0.7175,-0.0215,0.0219,-0.0045,-0.0749,0.1694
M125,0,E,10.87,O,0.02,-0.3333,02/01/2023,2,35.0,0.71,-0.0264,0.026,-0.0053,-0.2648,0.2021
M127,0,E,11.12,O,0.03,-0.25,03/01/2023,1,3.0,0.67937,-0.0323,0.0323,-0.006,-0.1987,0.2386
M130,0,E,11.37,O,0.05,0.25,03/01/2023,2,54.0,0.66938,-0.0421,0.0407,-0.0073,-0.1454,0.2961
M132,0,E,11.62,O,0.06,0.2,03/01/2023,1,18.0,0.65,-0.0524,0.05,-0.0084,-0.1396,0.3528
M13,0,E,11.87,O,0.05,-0.1667,03/01/2023,7,10060.0,0.62,-0.064,0.0615,-0.0093,-0.1854,0.4112
M137,0,E,12.12,O,0.07,0.0,03/01/2023,8,3129.0,0.61937,-0.0815,0.0739,-0.0111,-0.1591,0.4964
M140,0,E,12.37,O,0.11,0.1,03/01/2023,40,3514.0,0.60656,-0.0996,0.0875,-0.0126,-0.1148,0.5773
M142,0,E,12.62,O,0.1,-0.2308,03/01/2023,10,3042.0,0.59344,-0.1261,0.106,-0.0145,-0.1449,0.6815
M145,0,E,12.87,O,0.13,-0.1875,03/01/2023,7,2363.0,0.5825,-0.1511,0.122,-0.016,-0.1233,0.7728
M147,0,E,13.12,O,0.16,-0.1111,03/01/2023,9,3313.0,0.5575,-0.1874,0.147,-0.0174,-0.1085,0.8838
M150,0,E,13.37,O,0.24,0.0909,03/01/2023,19,19037.0,0.55359,-0.2272,0.1658,-0.0192,-0.0799,0.9911
M152,0,E,13.62,O,0.32,0.1852,03/01/2023,22,15078.0,0.55344,-0.2758,0.1838,-0.021,-0.0656,1.0974
M155,1,E,13.87,O,0.39,0.1471,03/01/2023,34,46369.0,0.53844,-0.3208,0.2023,-0.0216,-0.0554,1.1765
M157,0,E,14.12,O,0.46,0.1795,03/01/2023,23,24794.0,0.53234,-0.3739,0.2165,-0.0223,-0.0484,1.2451
M160,1,E,14.37,A,0.58,0.0741,03/01/2023,89,178178.0,0.52719,-0.4297,0.2267,-0.0225,-0.0387,1.2908
M162,0,E,14.62,A,0.66,0.0154,03/01/2023,8,9819.0,0.52297,-0.4871,0.232,-0.0221,-0.0335,1.3105
M153,1,E,14.87,I,0.85,0.0897,03/01/2023,23,74661.0,0.52328,-0.5439,0.2306,-0.0215,-0.0253,1.3032
M167,0,E,15.12,I,0.97,0.0778,03/01/2023,19,8958.0,0.52453,-0.5986,0.2243,-0.0204,-0.021,1.2709
M172,0,E,15.62,I,1.32,0.1186,03/01/2023,26,23171.0,0.51219,-0.7048,0.205,-0.0161,-0.0122,1.1343
M177,0,E,16.12,I,2.03,-0.0856,28/12/2022,5,1018.0,0.5075,-0.7539,0.1861,-0.0136,-0.0067,1.0515
M182,0,E,16.62,I,2.0,-0.0476,03/01/2023,1,4000.0,0.495,-0.7934,0.1643,-0.0103,-0.0051,1.0018
M187,0,E,17.12,I,2.41,-0.0512,02/01/2023,3,740.0,0.58969,-0.8444,0.1212,-0.01,-0.0041,0.798
M192,0,E,17.62,I,2.87,-0.2427,02/01/2023,1,287.0,0.50125,-0.9005,0.0992,-0.0022,-0.0008,0.6151
M197,0,E,18.12,I,3.2,-0.1398,02/01/2023,4,2288.0,,,,,,
M202,0,E,18.62,I,4.36,-0.1156,28/12/2022,1,2616.0,,,,,,
M207,0,E,19.12,I,4.46,-0.0511,29/12/2022,2,50598.0,,,,,,
M212,0,E,19.62,I,5.56,0.0,14/12/2022,1,33360.0,,,,,,
M217,0,E,20.12,I,6.35,0.0763,16/12/2022,1,6350.0,,,,,,
M222,0,E,20.62,I,5.75,-0.0052,02/01/2023,2,182400.0,,,,,,
M227,0,E,21.12,I,6.27,0.0,02/01/2023,27,1870600.0,,,,,,
M245,0,E,22.87,I,8.99,0.0124,15/12/2022,9,148458.0,,,,,,
M270,0,E,26.62,I,11.62,-0.0908,02/01/2023,1,2324.0,,,,,,
M248,0,E,26.87,I,12.99,,16/12/2022,1,7794.0,,,,,,
M287,0,E,27.12,I,12.7,-0.0305,28/12/2022,1,1270.0,,,,,,
M24,0,E,27.62,I,,,,,,,,,,,
M243,0,E,28.12,I,13.7,,15/12/2022,1,5480.0,,,,,,
M315,0,E,29.87,I,15.17,-0.0117,29/12/2022,1,21238.0,,,,,,
M265,0,E,30.12,I,16.41,0.013,19/12/2022,1,39384.0,,,,,,
M352,0,E,33.62,I,18.93,-0.0115,13/12/2022,1,1893.0,,,,,,
M290,0,E,41.37,I,27.24,-0.0442,24/11/2022,2,5482.0,,,,,,
