TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M104,0,E,10.44,O,0.01,-0.5,09/01/2023,2,5.0,0.74375,-0.0202,0.0254,-0.0051,-0.5078,0.1268
M109,0,E,10.94,O,0.04,1.0,09/01/2023,5,96.0,0.68,-0.0281,0.0363,-0.0061,-0.1531,0.168
M114,0,E,11.44,O,0.05,0.0,09/01/2023,13,992.0,0.63,-0.0552,0.0685,-0.0097,-0.193,0.2881
M119,0,E,11.94,O,0.08,-0.1111,09/01/2023,11,497.0,0.60125,-0.0919,0.1057,-0.0136,-0.1695,0.4278
M124,1,E,12.44,O,0.14,-0.1765,09/01/2023,26,3365.0,0.56813,-0.221,0.2202,-0.0233,-0.1665,0.7045
M129,1,E,12.94,O,0.27,-0.1,09/01/2023,31,10211.0,0.54469,-0.2874,0.244,-0.0242,-0.0896,0.8741
M134,1,E,13.44,A,0.44,0.2571,09/01/2023,14,8368.0,0.54156,-0.4998,0.3104,-0.0281,-0.0639,0.9468
M139,1,E,13.94,I,0.7,0.0769,09/01/2023,12,10259.0,0.53047,-0.651,0.2939,-0.0239,-0.0342,0.8782
M144,0,E,14.44,I,0.95,-0.1204,09/01/2023,5,4798.0,0.53562,-0.7192,0.247,-0.0197,-0.0207,0.8587
M149,0,E,14.94,I,1.4,-0.2965,09/01/2023,1,140.0,0.49922,-0.6226,0.1562,-0.0089,-0.0064,1.8509
M154,0,E,15.44,I,1.87,0.0054,09/01/2023,2,9125.0,0.50531,-0.6527,0.1495,-0.0088,-0.0047,1.8059
M159,0,E,15.94,I,2.5,0.0965,09/01/2023,3,7750.0,0.49375,-0.6148,0.1392,-0.0084,-0.0033,2.1271
M164,0,E,16.44,I,2.65,-0.0468,09/01/2023,3,6625.0,0.53969,-0.7429,0.1109,-0.0049,-0.0019,1.738
M169,0,E,16.94,I,4.4,-0.1075,16/12/2022,1,5720.0,,,,,,
M18,0,E,17.44,I,3.6,-0.2174,09/01/2023,1,3600.0,,,,,,
M185,0,E,17.94,I,4.24,-0.0162,09/01/2023,3,12750.0,,,,,,
M19,0,E,18.44,I,4.7,-0.1376,23/12/2022,1,470.0,,,,,,
M195,0,E,18.94,I,6.4,0.0774,19/12/2022,1,640.0,,,,,,
M20,0,E,19.44,I,6.46,-0.1329,15/12/2022,3,15470.0,,,,,,
M199,0,E,19.94,I,7.31,-0.0747,16/12/2022,2,1462.0,,,,,,
M204,0,E,20.44,I,6.56,0.0413,06/01/2023,1,8528.0,,,,,,
M209,0,E,20.94,I,8.1,0.0125,15/12/2022,1,810.0,,,,,,
M214,0,E,21.44,I,8.61,0.0899,04/01/2023,1,1722.0,,,,,,
M219,0,E,21.94,I,,,,,,,,,,,
M224,0,E,22.44,I,9.44,0.0151,05/01/2023,1,6608.0,,,,,,
M229,0,E,22.94,I,9.28,-0.0739,06/01/2023,1,928.0,0.7175,-0.9933,0.0066,0.0112,0.0012,0.0749
M234,0,E,23.44,I,9.5,-0.0686,06/01/2023,2,19200.0,,,,,,
M239,0,E,23.94,I,10.91,,15/12/2022,2,3231.0,,,,,,
M244,0,E,24.44,I,,,,,,,,,,,
M249,0,E,24.94,I,,,,,,,,,,,
M251,0,E,25.19,I,5.32,-0.0952,18/10/2022,1,7980.0,,,,,,
M254,0,E,25.44,I,12.19,-0.0616,22/12/2022,1,2438.0,,,,,,
M259,0,E,25.94,I,,,,,,,,,,,
M264,0,E,26.44,I,,,,,,,,,,,
M269,0,E,26.94,I,,,,,,,,,,,
M274,0,E,27.44,I,,,,,,,,,,,
M279,0,E,27.94,I,,,,,,,,,,,
M284,0,E,28.44,I,,,,,,,,,,,
M289,0,E,28.94,I,,,,,,,,,,,
M294,0,E,29.44,I,,,,,,,,,,,
M299,0,E,29.94,I,,,,,,,,,,,
M276,0,E,33.19,I,17.2,,16/11/2022,1,1790520.0,,,,,,
