TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T490,0,E,4.9,O,,,,,,0.45125,-0.2248,0.4854,-0.0048,,0.4103
T500,0,E,5.0,O,0.01,-0.6667,15/08/2022,1,1.0,,,,,,
T520,0,E,5.2,O,0.02,1.0,15/08/2022,1,2.0,0.4575,-0.2389,0.5396,-0.0061,-0.305,0.3895
T540,0,E,5.4,O,0.05,0.0,05/08/2022,1,350.0,0.44531,-0.2457,0.5675,-0.0065,-0.13,0.3923
T560,0,E,5.6,O,0.06,-0.1429,16/08/2022,1,150.0,0.47937,-0.2321,0.5112,-0.0075,-0.125,0.38
T580,0,E,5.8,O,0.05,-0.2857,10/08/2022,1,50.0,0.48,-0.1323,0.3711,-0.0064,-0.128,0.2574
T600,0,E,6.0,O,0.04,-0.5556,12/08/2022,1,400.0,0.62125,-0.1331,0.3739,-0.0119,-0.2975,0.1989
T620,0,E,6.2,O,0.06,-0.5714,16/08/2022,2,63.0,0.49937,-0.1904,0.5889,-0.0118,-0.1967,0.2511
T640,0,E,6.4,A,0.07,-0.2222,17/08/2022,1,98.0,0.39375,-0.3712,1.05,-0.0122,-0.1743,0.3455
T660,0,E,6.6,I,0.2,0.0,16/08/2022,1,40.0,0.3725,-0.7901,0.7995,-0.0058,-0.029,0.2788
T680,0,E,6.8,I,0.4,-0.6774,10/08/2022,1,400.0,0.44078,-0.6146,0.3227,-0.0024,-0.006,1.028
T700,0,E,7.0,I,0.45,-0.0816,17/08/2022,1,225.0,0.44703,-0.6676,0.3022,-0.002,-0.0044,0.9765
T720,0,E,7.2,I,1.87,,15/07/2022,1,5610.0,,,,,,
T740,0,E,7.4,I,,,,,,,,,,,
T760,0,E,7.6,I,,,,,,,,,,,
T780,0,E,7.8,I,2.09,0.0146,01/08/2022,1,3135.0,,,,,,
T800,0,E,8.0,I,,,,,,,,,,,
T820,0,E,8.2,I,,,,,,,,,,,
T840,0,E,8.4,I,,,,,,,,,,,
T860,0,E,8.6,I,,,,,,,,,,,
T880,0,E,8.8,I,,,,,,,,,,,
T900,0,E,9.0,I,2.52,-0.3226,10/08/2022,1,2520.0,,,,,,
T115,0,E,11.5,I,4.98,-0.033,10/08/2022,2,19422.0,,,,,,
