TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M340,0,E,33.3,O,0.05,-0.375,22/12/2022,1,50.0,,,,,,
M345,0,E,33.8,O,0.04,-0.3333,28/12/2022,2,8.0,0.26969,-0.0449,0.0359,-0.0064,-0.1597,0.9251
M350,0,E,34.3,O,0.1,-0.375,21/12/2022,2,18.0,0.25312,-0.101,0.0648,-0.0094,-0.0936,1.9066
M355,0,E,34.8,O,0.1,0.25,28/12/2022,1,100.0,0.25398,-0.089,0.0649,-0.0099,-0.0987,1.5733
M360,0,E,35.3,O,0.1,-0.2308,29/12/2022,1,10.0,0.2575,-0.0995,0.0735,-0.0117,-0.1175,1.6157
M365,0,E,35.8,O,0.16,-0.1579,29/12/2022,2,72.0,0.24055,-0.1348,0.0977,-0.0132,-0.0824,2.0011
M370,0,E,36.3,O,0.22,-0.2903,29/12/2022,7,1171.0,0.23656,-0.1903,0.1245,-0.0157,-0.0714,2.5056
M375,1,E,36.8,O,0.35,-0.0278,29/12/2022,3,1927.0,0.22727,-0.255,0.1532,-0.017,-0.0486,2.9613
M380,1,E,37.3,A,0.47,-0.06,29/12/2022,9,2353.0,0.22336,-0.3348,0.1768,-0.0179,-0.038,3.36
M385,1,E,37.8,A,0.64,-0.0448,29/12/2022,3,1905.0,0.21828,-0.4285,0.195,-0.0171,-0.0268,3.6198
M390,1,E,38.3,A,0.85,-0.1905,29/12/2022,1,340.0,0.21641,-0.5229,0.1995,-0.0152,-0.0179,3.675
M395,0,E,38.8,I,1.2,0.0345,29/12/2022,2,1568.0,0.20648,-0.6276,0.1986,-0.0104,-0.0087,3.4903
M40,0,E,39.3,I,1.28,-0.3816,23/12/2022,2,900.0,0.20801,-0.6476,0.1711,-0.007,-0.0055,3.8743
M405,0,E,39.8,I,2.12,-0.1092,27/12/2022,1,212.0,0.22273,-0.6296,0.1305,-0.0047,-0.0022,4.9072
M410,0,E,40.3,I,3.0,0.2876,15/12/2022,2,2933.0,0.23047,-0.7272,0.1158,-0.0013,-0.0004,4.1371
M415,0,E,40.8,I,2.77,0.3512,12/12/2022,1,3047.0,0.23379,-0.7749,0.1031,0.0014,0.0005,3.7344
M420,0,E,41.3,I,3.53,0.0144,27/12/2022,1,706.0,0.21152,-0.7022,0.1212,-0.0003,-0.0001,4.6845
M425,0,E,41.8,I,2.01,-0.2357,05/12/2022,1,804.0,0.21199,-0.7548,0.1097,0.0025,0.0012,4.2528
M430,0,E,42.3,I,2.27,-0.1202,07/12/2022,1,908.0,0.20602,-0.7461,0.1084,0.0032,0.0014,4.5948
M435,0,E,42.8,I,,,,,,,,,,,
M450,0,E,43.55,I,5.23,0.3655,12/12/2022,3,1556.0,,,,,,
M480,0,E,46.55,I,,,,,,,,,,,
