TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N175,0,E,16.52,O,0.02,-0.6667,01/02/2023,1,2.0,0.57,-0.0181,0.0202,-0.0052,-0.2623,0.1723
N180,0,E,17.02,O,,,,,,,,,,,
N185,0,E,17.52,O,0.03,-0.8235,23/01/2023,1,6.0,0.27008,-0.1975,0.1218,-0.0046,-0.1538,2.3468
N190,0,E,18.02,O,0.01,0.0,06/02/2023,1,1.0,0.28453,-0.0858,0.0915,-0.0049,-0.4869,0.9444
N182,0,E,18.27,O,0.02,,03/02/2023,1,2.0,,,,,,
N195,0,E,18.52,O,0.06,0.2,06/02/2023,4,28.0,0.38312,-0.0638,0.0794,-0.0091,-0.1517,0.5138
N187,0,E,18.77,O,0.09,-0.4,17/01/2023,1,108.0,0.22984,-0.1435,0.1637,-0.0052,-0.0576,1.3616
N200,0,E,19.02,O,0.05,-0.2857,02/02/2023,1,10.0,0.27141,-0.1082,0.1327,-0.0069,-0.1376,0.9585
N202,1,E,19.27,O,0.09,0.2857,06/02/2023,2,1836.0,0.32719,-0.1171,0.1543,-0.0126,-0.1395,0.7653
N205,0,E,19.52,O,0.11,0.5714,03/02/2023,1,55.0,0.30609,-0.15,0.1958,-0.0137,-0.1245,0.9073
N207,1,E,19.77,O,0.11,0.2222,06/02/2023,1,11.0,0.28187,-0.1865,0.2445,-0.0142,-0.1291,1.0444
N210,0,E,20.02,O,0.2,0.0,06/02/2023,2,959.0,0.27266,-0.2409,0.293,-0.0156,-0.078,1.2143
N201,1,E,20.27,A,0.2,-0.2,06/02/2023,3,545.0,0.24844,-0.3185,0.369,-0.0155,-0.0774,1.3894
N215,0,E,20.52,A,0.32,-0.2,06/02/2023,1,32.0,0.20016,-0.5436,0.4016,-0.0068,-0.0213,1.9563
N206,1,E,20.77,A,0.45,,01/02/2023,1,225.0,0.22453,-0.5317,0.4554,-0.0131,-0.0291,1.5467
N220,0,E,21.02,I,0.61,0.3261,06/02/2023,1,122.0,,,,,,
N212,0,E,21.27,I,,,,,,,,,,,
N225,0,E,21.52,I,1.43,,13/01/2023,1,2288.0,,,,,,
N217,0,E,21.77,I,,,,,,,,,,,
N230,0,E,22.02,I,,,,,,,,,,,
N222,0,E,22.27,I,,,,,,,,,,,
N235,0,E,22.52,I,2.15,-0.1887,30/01/2023,1,215.0,,,,,,
N240,0,E,23.02,I,,,,,,,,,,,
N245,0,E,23.52,I,,,,,,,,,,,
N250,0,E,24.02,I,,,,,,,,,,,
N255,0,E,24.52,I,,,,,,,,,,,
N260,0,E,25.02,I,,,,,,,,,,,
N265,0,E,25.52,I,,,,,,,,,,,
N270,0,E,26.02,I,,,,,,,,,,,
N272,0,E,26.27,I,,,,,,,,,,,
