TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X190,0,E,19.0,O,,,,,,,,,,,
X200,0,E,20.0,O,,,,,,,,,,,
X205,0,E,20.5,O,,,,,,,,,,,
X210,0,E,21.0,O,,,,,,,,,,,
X215,0,E,21.5,O,,,,,,,,,,,
X220,0,E,22.0,O,,,,,,,,,,,
X225,0,E,22.5,O,0.06,,16/11/2022,2,18.0,,,,,,
X230,0,E,23.0,O,,,,,,,,,,,
X235,0,E,23.5,O,,,,,,,,,,,
X240,0,E,24.0,O,0.01,-0.8333,15/12/2022,1,1.0,0.425,-0.0381,0.0854,-0.0196,-1.9553,0.1891
X245,0,E,24.5,O,0.15,-0.4643,28/11/2022,1,15.0,0.40844,-0.1033,0.0683,-0.0153,-0.1018,1.1576
X250,0,E,25.0,O,0.03,-0.6667,15/12/2022,1,210.0,0.34969,-0.1337,0.1301,-0.0204,-0.6785,1.0231
X255,0,E,25.5,A,0.04,-0.84,15/12/2022,2,1015.0,0.30578,-0.219,0.261,-0.0302,-0.7549,1.0928
X260,0,E,26.0,A,0.14,-0.4167,15/12/2022,6,5474.0,0.375,-0.5539,0.4579,-0.0773,-0.552,0.91
X265,0,E,26.5,I,0.35,-0.125,15/12/2022,8,15511.0,0.34156,-0.6731,0.3723,-0.0484,-0.1381,1.0234
X270,0,E,27.0,I,1.04,0.5522,15/12/2022,2,10476.0,0.33766,-0.6365,0.3327,-0.0433,-0.0417,1.2542
X275,0,E,27.5,I,1.35,-0.2059,15/12/2022,2,1550.0,0.29844,-0.7587,0.2554,-0.0202,-0.0149,1.2755
X280,0,E,28.0,I,1.85,0.1212,15/12/2022,4,1943.0,0.31234,-0.8252,0.1658,-0.0095,-0.0051,1.281
X285,0,E,28.5,I,2.35,0.1244,15/12/2022,1,470.0,0.30516,-0.7104,0.1966,-0.0157,-0.0067,1.9505
X290,0,E,29.0,I,2.19,-0.0875,13/12/2022,2,657.0,0.34383,-0.7499,0.1444,-0.0128,-0.0059,2.0349
X295,0,E,29.5,I,3.27,0.0936,15/12/2022,1,1635.0,0.34164,-0.7547,0.1371,-0.0116,-0.0035,2.1129
X300,0,E,30.0,I,1.19,-0.0703,09/11/2022,9,6138.0,0.34891,-0.8045,0.1177,-0.0082,-0.0069,1.8567
X305,0,E,30.5,I,2.01,0.3311,14/11/2022,5,4975.0,0.30219,-0.6842,0.1357,-0.0085,-0.0042,3.0846
X307,0,E,30.75,I,2.05,,14/11/2022,4,3895.0,,,,,,
X310,0,E,31.0,I,2.21,,14/11/2022,1,884.0,0.30117,-0.7454,0.1228,-0.0053,-0.0024,2.783
X315,0,E,31.5,I,,,,,,0.29797,-0.6763,0.1269,-0.0075,,3.4151
X320,0,E,32.0,I,,,,,,0.29852,-0.8077,0.0955,0.0004,,2.6206
X325,0,E,32.5,I,,,,,,,,,,,
X327,0,E,32.75,I,,,,,,,,,,,
X330,0,E,33.0,I,5.42,1.0224,18/11/2022,1,542.0,,,,,,
X335,0,E,33.5,I,,,,,,,,,,,
X340,0,E,34.0,I,,,,,,,,,,,
X350,0,E,35.0,I,,,,,,,,,,,
X360,0,E,36.0,I,,,,,,,,,,,
X370,0,E,37.0,I,,,,,,,,,,,
X380,0,E,38.0,I,,,,,,,,,,,
X390,0,E,39.0,I,,,,,,,,,,,
X400,0,E,40.0,I,,,,,,,,,,,
