TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N880,0,E,8.8,O,,,,,,,,,,,
N980,0,E,9.8,O,,,,,,,,,,,
N108,0,E,10.8,O,,,,,,,,,,,
N120,0,E,11.8,O,0.06,0.0,02/02/2023,1,180.0,,,,,,
N125,0,E,12.3,O,0.11,-0.1538,23/01/2023,2,635.0,0.46156,-0.226,0.2647,-0.0173,-0.1571,0.7398
N130,1,E,12.8,O,0.16,1.0,03/02/2023,2,28.0,0.40812,-0.4117,0.3905,-0.0185,-0.1154,0.9501
N135,1,E,13.3,A,0.29,1.9,03/02/2023,3,330.0,0.40406,-0.562,0.3958,-0.0175,-0.0604,0.9712
N140,1,E,13.8,I,0.53,0.7667,03/02/2023,2,788.0,0.38,-0.7532,0.337,-0.0106,-0.02,0.7778
N145,1,E,14.3,I,0.39,-0.371,02/02/2023,2,917.0,0.34,-0.9077,0.1974,-0.0006,-0.0015,0.4076
N150,0,E,14.8,I,0.96,1.2326,01/02/2023,61,7018.0,0.33594,-0.7762,0.2941,-0.0063,-0.0065,0.9051
N155,0,E,15.3,I,1.45,0.6667,03/02/2023,1,145.0,,,,,,
N160,0,E,15.8,I,0.97,-0.224,26/01/2023,1,97.0,,,,,,
N165,0,E,16.3,I,2.36,-0.056,03/02/2023,1,472.0,,,,,,
N170,0,E,16.8,I,2.8,0.0566,20/01/2023,14,431500.0,,,,,,
N175,0,E,17.3,I,,,,,,,,,,,
N180,0,E,17.8,I,3.23,-0.1781,30/01/2023,1,969.0,,,,,,
N185,0,E,18.3,I,3.73,-0.1618,30/01/2023,2,1459.0,,,,,,
N190,0,E,18.8,I,5.42,,17/01/2023,1,53658.0,,,,,,
N195,0,E,19.3,I,5.38,,20/01/2023,1,11836.0,,,,,,
N200,0,E,19.8,I,5.5,-0.11,23/01/2023,1,550.0,,,,,,
N213,0,E,21.3,I,7.55,0.0486,19/01/2023,1,37750.0,,,,,,
N220,0,E,21.8,I,7.0,-0.1026,31/01/2023,1,2100.0,,,,,,
N263,0,E,26.3,I,11.91,-0.0629,23/01/2023,1,267975.0,,,,,,
N293,0,E,29.3,I,14.52,-0.0055,27/01/2023,1,198924.0,,,,,,
N250,0,E,31.8,I,,,,,,,,,,,
N100,0,E,32.8,I,18.3,,15/12/2022,2,182997.0,,,,,,
