TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M400,0,E,3.82,O,0.01,0.0,17/01/2023,1,19.0,3.685,-0.0047,0.0012,-0.0094,-0.937,0.0409
M600,0,E,5.82,O,0.02,-0.3333,17/01/2023,5,71.0,2.5425,-0.0207,0.0123,-0.02,-1.0017,0.0794
M650,0,E,6.32,O,0.01,-0.5,18/01/2023,2,4.0,3.7,-0.0125,0.0078,-0.0332,-3.3241,0.036
M700,0,E,6.82,O,0.01,0.0,16:53:51,4,34.0,4.2,-0.0166,0.0135,-0.0632,-6.3167,0.0301
M750,0,E,7.32,O,0.02,-0.8,13/01/2023,1,2.0,2.455,-0.0157,0.0158,-0.0245,-1.2255,0.0401
M800,0,E,7.82,O,0.02,-0.5,16:54:19,2,138.0,3.05,-0.0176,0.0196,-0.0478,-2.3922,0.0315
M900,0,E,8.82,O,0.04,-0.6,17:52:13,22,1789.0,2.5875,-0.0486,0.0542,-0.0933,-2.3319,0.0723
M100,0,E,9.82,O,0.05,-0.7917,17:48:27,14,1747.0,2.33875,-0.1277,0.1235,-0.1758,-3.516,0.1511
M110,0,E,10.82,O,0.2,-0.3333,17:50:30,22,7495.0,1.6025,-0.2462,0.1871,-0.131,-0.6551,0.3314
M120,0,E,11.82,I,0.7,0.4,14:36:51,4,948.0,,,,,,
M130,0,E,12.82,I,1.8,0.3333,17:22:47,18,14405.0,1.63937,-0.4729,0.1745,-0.1475,-0.0819,0.5537
M138,0,E,13.82,I,,,,,,,,,,,
M158,0,E,15.82,I,4.3,-0.0444,18:15:00,16,8855.0,3.96125,-0.8649,0.0748,-0.3076,-0.0715,0.1593
M200,0,E,20.07,I,,,,,,,,,,,
M210,0,E,21.07,I,,,,,,,,,,,
M220,0,E,22.07,I,,,,,,,,,,,
M235,0,E,23.07,I,11.62,0.0078,15:46:32,2,22724.0,7.0,-0.9163,0.0306,-0.3736,-0.0322,0.1102
M250,0,E,25.07,I,,,,,,,,,,,
M270,0,E,27.07,I,,,,,,,,,,,
M290,0,E,29.07,I,,,,,,,,,,,
M310,0,E,31.07,I,,,,,,,,,,,
