TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M640,0,E,5.93,O,,,,,,,,,,,
M680,0,E,6.33,O,,,,,,,,,,,
M720,0,E,6.73,O,,,,,,,,,,,
M760,0,E,7.13,O,,,,,,,,,,,
M800,0,E,7.53,O,,,,,,,,,,,
M820,0,E,7.73,O,,,,,,,,,,,
M840,0,E,7.93,O,,,,,,,,,,,
M860,0,E,8.13,O,0.04,,19/12/2022,3,4248.0,,,,,,
M880,0,E,8.33,O,0.02,,19/12/2022,1,2.0,,,,,,
M900,0,E,8.53,O,,,,,,,,,,,
M920,0,E,8.73,O,,,,,,,,,,,
M940,0,E,8.93,O,,,,,,,,,,,
M960,0,E,9.13,O,,,,,,,,,,,
M980,0,E,9.33,O,0.04,0.0,29/11/2022,3,24.0,0.59938,-0.0374,0.0265,-0.0031,-0.0773,0.4188
M100,0,E,9.53,O,0.05,-0.7727,29/11/2022,1,5.0,0.59156,-0.0372,0.0263,-0.0031,-0.0618,0.4245
M105,0,E,10.03,O,0.03,,12/12/2022,1,300.0,,,,,,
M110,0,E,10.53,O,0.01,-0.75,23/12/2022,1,1.0,0.47844,-0.0413,0.0394,-0.003,-0.2982,0.4152
M115,0,E,11.03,O,0.05,-0.1667,22/12/2022,1,50.0,0.39281,-0.0777,0.1066,-0.0047,-0.0932,0.5052
M120,0,E,11.53,O,0.1,0.6667,23/12/2022,7,623.0,0.36594,-0.1463,0.1808,-0.0066,-0.0659,0.7946
M125,1,E,12.03,O,0.2,0.5385,23/12/2022,45,25729.0,0.35766,-0.2552,0.2588,-0.0086,-0.0431,1.1149
M130,1,E,12.53,A,0.36,0.6364,23/12/2022,36,50156.0,0.35031,-0.4026,0.3183,-0.0094,-0.0261,1.3431
M135,1,E,13.03,I,0.64,0.6842,23/12/2022,12,36507.0,0.34797,-0.5643,0.326,-0.0083,-0.0129,1.3666
M140,1,E,13.53,I,0.98,0.5313,23/12/2022,18,136282.0,0.35328,-0.7075,0.2803,-0.0057,-0.0058,1.1928
M145,0,E,14.03,I,1.37,0.5747,23/12/2022,5,681.0,0.34172,-0.6523,0.2821,-0.0063,-0.0046,1.4166
M150,0,E,14.53,I,,,,,,,,,,,
M155,0,E,15.03,I,,,,,,,,,,,
M160,0,E,15.53,I,2.07,,14/12/2022,2,2076.0,,,,,,
M165,0,E,16.03,I,2.5,,14/12/2022,1,10000.0,,,,,,
M170,0,E,16.53,I,2.96,,12/12/2022,3,5919.0,,,,,,
M175,0,E,17.03,I,,,,,,,,,,,
M185,0,E,18.03,I,,,,,,,,,,,
M195,0,E,19.03,I,6.26,0.155,23/12/2022,1,6886.0,,,,,,
M205,0,E,20.03,I,,,,,,,,,,,
