TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U297,0,E,29.23,O,0.07,-0.6111,15/07/2022,1,140.0,,,,,,
U302,0,E,29.73,O,0.08,-0.619,15/07/2022,1,160.0,,,,,,
U317,0,E,31.48,O,0.02,-0.9,12/09/2022,1,2.0,,,,,,
U322,0,E,31.73,O,0.09,-0.7632,08/08/2022,1,180.0,,,,,,
U32,0,E,31.98,O,0.17,,15/07/2022,1,340.0,,,,,,
U327,0,E,32.48,O,0.04,,12/08/2022,1,200.0,,,,,,
U332,0,E,32.73,O,2.0,,18/03/2022,1,300000.0,,,,,,
U33,0,E,32.98,O,0.22,,15/07/2022,1,440.0,,,,,,
U337,0,E,33.48,O,,,,,,,,,,,
U342,0,E,33.98,O,,,,,,,,,,,
U347,0,E,34.23,O,0.93,-0.535,17/06/2022,1,139500.0,,,,,,
U350,0,E,34.48,O,0.7,0.0,29/06/2022,1,70.0,,,,,,
U357,0,E,35.48,O,,,,,,,,,,,
U362,0,E,35.73,O,,,,,,,,,,,
U361,0,E,35.98,O,0.07,-0.65,22/08/2022,2,17.0,,,,,,
U367,0,E,36.23,O,,,,,,,,,,,
U366,0,E,36.48,O,,,,,,,,,,,
U372,0,E,36.98,O,1.0,,20/07/2022,2,1200.0,,,,,,
U377,0,E,37.48,O,0.19,-0.5128,22/08/2022,4,197.0,0.39687,-0.0853,0.0345,-0.0175,-0.0921,1.7791
U382,0,E,37.98,O,0.23,-0.4773,22/08/2022,5,664.0,0.38578,-0.1088,0.0426,-0.02,-0.087,2.1183
U387,0,E,38.48,O,0.1,-0.5652,08/09/2022,1,300.0,0.37969,-0.1324,0.0497,-0.0224,-0.224,2.4305
U392,0,E,38.73,O,0.34,0.0,05/09/2022,1,340.0,0.37734,-0.1436,0.0529,-0.0234,-0.0688,2.571
U391,0,E,38.98,O,0.08,-0.5789,08/09/2022,1,240.0,0.3743,-0.1585,0.0569,-0.0247,-0.3088,2.7433
U397,0,E,39.23,O,0.05,-0.5833,09/09/2022,12,282.0,0.37164,-0.1729,0.0607,-0.0257,-0.514,2.9022
U396,0,E,39.48,O,0.03,-0.7857,09/09/2022,1,6.0,0.38891,-0.0736,0.0411,-0.0219,-0.73,1.2174
U402,0,E,39.98,O,0.18,0.0,31/08/2022,1,180.0,0.36797,-0.0995,0.0548,-0.0255,-0.1417,1.5181
U407,0,E,40.23,O,0.05,-0.4444,12/09/2022,1,10.0,0.35875,-0.1353,0.0923,-0.0395,-0.79,1.4277
U40,0,E,40.48,O,0.09,-0.1818,09/09/2022,1,90.0,0.35773,-0.1282,0.0675,-0.0294,-0.3267,1.8175
U412,0,E,40.73,O,0.04,-0.8667,12/09/2022,10,1703.0,0.35852,-0.1823,0.1122,-0.0476,-1.19,1.7392
U41,0,E,40.98,O,0.16,-0.2381,08/09/2022,7,1031.0,0.34656,-0.1804,0.1147,-0.0458,-0.2862,1.7369
U411,0,E,41.23,O,0.32,0.0,06/09/2022,1,128.0,0.3468,-0.1568,0.1036,-0.0426,-0.1331,1.6046
U417,0,E,41.48,O,0.39,-0.22,08/09/2022,1,156.0,0.34219,-0.2116,0.1273,-0.0497,-0.1274,1.924
U416,0,E,41.73,O,0.1,-0.7917,12/09/2022,4,610.0,0.32875,-0.1071,0.1017,-0.0392,-0.392,1.0176
U422,0,E,41.98,O,0.12,-0.4545,12/09/2022,1,528.0,0.33391,-0.1409,0.1213,-0.048,-0.4,1.2332
U421,0,E,42.23,O,0.28,-0.5088,09/09/2022,1,56.0,0.31945,-0.1632,0.1398,-0.0503,-0.1796,1.3602
U427,0,E,42.48,O,0.23,-0.2333,12/09/2022,8,627.0,0.32305,-0.2207,0.1668,-0.0606,-0.2635,1.6334
U426,0,E,42.73,O,0.29,-0.4314,12/09/2022,2,389.0,0.31859,-0.2223,0.1689,-0.0602,-0.2076,1.6486
U432,0,E,42.98,A,0.29,-0.3696,12/09/2022,13,10569.0,0.30453,-0.2818,0.2009,-0.0641,-0.221,1.8639
U43,0,E,43.23,A,0.61,-0.4352,09/09/2022,1,244.0,0.31508,-0.3974,0.1994,-0.0648,-0.1062,2.3669
U435,0,E,43.48,A,0.65,-0.2353,09/09/2022,7,10962.0,0.29523,-0.3825,0.234,-0.0684,-0.1052,2.1072
U437,0,E,43.73,A,0.74,-0.3833,09/09/2022,5,16028.0,0.29578,-0.4546,0.2429,-0.0697,-0.0942,2.1867
U440,0,E,43.98,A,1.58,0.4495,06/09/2022,28,39670.0,0.33727,-0.6509,0.1538,-0.0475,-0.0301,2.6397
U442,0,E,44.23,A,1.12,-0.3708,05/09/2022,4,1968.0,0.32984,-0.5373,0.1546,-0.0503,-0.0449,3.0941
U445,0,E,44.48,A,2.0,0.3986,06/09/2022,4,2572.0,0.35094,-0.7135,0.136,-0.0431,-0.0215,2.4277
U447,0,E,44.73,I,1.67,-0.1971,29/08/2022,4,2692.0,0.32773,-0.5704,0.1207,-0.0346,-0.0207,3.8988
U449,0,E,44.98,I,1.89,-0.078,01/09/2022,1,756.0,0.34285,-0.5492,0.1076,-0.0344,-0.0182,4.25
U452,0,E,45.23,I,,,,,,,,,,,
U454,0,E,45.48,I,,,,,,,,,,,
U459,0,E,45.98,I,,,,,,,,,,,
U464,0,E,46.48,I,,,,,,,,,,,
U469,0,E,46.98,I,,,,,,,,,,,
U474,0,E,47.48,I,,,,,,,,,,,
U479,0,E,47.98,I,,,,,,,,,,,
U484,0,E,48.48,I,,,,,,,,,,,
U489,0,E,48.98,I,,,,,,,,,,,
U494,0,E,49.48,I,,,,,,,,,,,
U499,0,E,49.98,I,,,,,,,,,,,
U54,0,E,50.48,I,,,,,,,,,,,
U59,0,E,50.98,I,,,,,,,,,,,
U51,0,E,51.48,I,,,,,,,,,,,
