TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M660,0,E,66000.0,O,,,,,,,,,,,
M670,0,E,67000.0,O,,,,,,,,,,,
M629,0,E,68000.0,O,,,,,,,,,,,
M690,0,E,69000.0,O,,,,,,,,,,,
M700,0,E,70000.0,O,,,,,,,,,,,
M710,0,E,71000.0,O,,,,,,,,,,,
M720,0,E,72000.0,O,,,,,,,,,,,
M730,0,E,73000.0,O,,,,,,,,,,,
M740,0,E,74000.0,O,,,,,,,,,,,
M750,0,E,75000.0,O,,,,,,,,,,,
M760,0,E,76000.0,O,,,,,,,,,,,
M770,0,E,77000.0,O,,,,,,,,,,,
M780,0,E,78000.0,O,,,,,,,,,,,
M790,0,E,79000.0,O,,,,,,,,,,,
M800,0,E,80000.0,O,90.0,-0.6203,14/12/2022,1,1170.0,,,,,,
M810,0,E,81000.0,O,,,,,,,,,,,
M820,0,E,82000.0,O,,,,,,,,,,,
M830,0,E,83000.0,O,,,,,,,,,,,
M840,0,E,84000.0,O,,,,,,,,,,,
M850,0,E,85000.0,O,856.0,,22/08/2022,1,47936.0,,,,,,
M860,0,E,86000.0,O,85.0,0.0,15/12/2022,2,360.0,,,,,,
M870,0,E,87000.0,O,,,,,,,,,,,
M880,0,E,88000.0,O,201.0,,16/12/2022,2,401775.0,,,,,,
M890,0,E,89000.0,O,240.0,0.1429,13/12/2022,2,2760.0,,,,,,
M900,0,E,90000.0,O,249.0,0.5091,16/12/2022,4,1552592.0,,,,,,
M910,0,E,91000.0,O,284.0,-0.4108,16/12/2022,3,2547.0,,,,,,
M920,0,E,92000.0,O,350.0,0.1364,16/12/2022,5,16082.0,,,,,,
M930,0,E,93000.0,O,432.0,0.1967,16/12/2022,17,21594.0,,,,,,
M940,1,E,94000.0,O,550.0,0.2911,16/12/2022,73,706217.0,,,,,,
M950,1,E,95000.0,O,687.0,0.374,16/12/2022,53,2756740.0,,,,,,
M960,1,E,96000.0,O,813.0,0.1581,16/12/2022,21,94118.0,,,,,,
M970,1,E,97000.0,O,1013.0,0.1918,16/12/2022,68,804114.0,,,,,,
M980,1,E,98000.0,O,1080.0,0.2676,16/12/2022,7,179400.0,,,,,,
M990,1,E,99000.0,O,1430.0,0.3327,16/12/2022,203,3135370.0,,,,,,
M100,1,E,100000.0,O,1808.0,0.1725,16/12/2022,72,14074444.0,,,,,,
M101,1,E,101000.0,O,2080.0,0.1298,16/12/2022,56,11605778.0,,,,,,
M102,1,E,102000.0,A,2398.0,0.1025,16/12/2022,22,6365530.0,,,,,,
M3,1,E,103000.0,A,2850.0,0.2154,16/12/2022,29,2676859.0,,,,,,
M4,1,E,104000.0,A,3302.0,0.1586,16/12/2022,7,1340477.0,,,,,,
M5,1,E,105000.0,A,3181.0,0.0382,15/12/2022,26,1440248.0,,,,,,
M6,1,E,106000.0,I,4552.0,0.2356,16/12/2022,11,1583152.0,,,,,,
M7,1,E,107000.0,I,4835.0,0.1704,16/12/2022,23,117380.0,,,,,,
M8,0,E,108000.0,I,3725.0,-0.2364,15/12/2022,5,7765096.0,,,,,,
M9,0,E,109000.0,I,4900.0,0.1893,14/12/2022,3,2495600.0,,,,,,
M10,0,E,110000.0,I,5850.0,-0.0862,15/12/2022,2,29300.0,,,,,,
M11,0,E,111000.0,I,7000.0,0.3208,15/12/2022,1,7000.0,,,,,,
M12,0,E,112000.0,I,6600.0,0.0513,15/12/2022,1,19800.0,,,,,,
M13,0,E,113000.0,I,9950.0,0.2134,16/12/2022,2,19900.0,,,,,,
M14,0,E,114000.0,I,8100.0,0.4735,12/12/2022,1,64800.0,,,,,,
M15,0,E,115000.0,I,8680.0,0.4404,13/12/2022,2,221180.0,,,,,,
M16,0,E,116000.0,I,9300.0,-0.051,13/12/2022,7,939300.0,,,,,,
M17,0,E,117000.0,I,6836.0,0.0506,18/11/2022,2,20548.0,,,,,,
M18,0,E,118000.0,I,12100.0,0.7343,12/12/2022,1,24200.0,,,,,,
M19,1,E,119000.0,I,6807.0,0.3442,09/11/2022,7,1723960.0,,,,,,
M20,0,E,120000.0,I,7374.0,,09/11/2022,2,20838.0,,,,,,
M21,0,E,121000.0,I,,,,,,,,,,,
M22,0,E,122000.0,I,12865.0,,17/11/2022,3,385950.0,,,,,,
M123,0,E,123000.0,I,14000.0,,08/12/2022,1,168000.0,,,,,,
M124,0,E,124000.0,I,,,,,,,,,,,
M125,0,E,125000.0,I,16250.0,,09/12/2022,1,162500.0,,,,,,
M126,0,E,126000.0,I,16320.0,,17/11/2022,3,489600.0,,,,,,
M127,0,E,127000.0,I,17221.0,,17/11/2022,4,688840.0,,,,,,
M128,0,E,128000.0,I,,,,,,,,,,,
M129,0,E,129000.0,I,22500.0,0.257,12/12/2022,1,202500.0,,,,,,
M130,0,E,130000.0,I,,,,,,,,,,,
M131,0,E,131000.0,I,,,,,,,,,,,
M132,0,E,132000.0,I,,,,,,,,,,,
M133,0,E,133000.0,I,,,,,,,,,,,
M134,0,E,134000.0,I,,,,,,,,,,,
M135,0,E,135000.0,I,,,,,,,,,,,
M136,0,E,136000.0,I,,,,,,,,,,,
M137,0,E,137000.0,I,,,,,,,,,,,
M138,0,E,138000.0,I,,,,,,,,,,,
M139,0,E,139000.0,I,,,,,,,,,,,
M140,0,E,140000.0,I,,,,,,,,,,,
M141,0,E,141000.0,I,,,,,,,,,,,
M142,0,E,142000.0,I,,,,,,,,,,,
M143,0,E,143000.0,I,24060.0,0.1757,07/11/2022,1,3945840.0,,,,,,
M144,0,E,144000.0,I,,,,,,,,,,,
M145,0,E,145000.0,I,,,,,,,,,,,
M146,0,E,146000.0,I,,,,,,,,,,,
M147,0,E,147000.0,I,,,,,,,,,,,
M148,0,E,148000.0,I,,,,,,,,,,,
M149,0,E,149000.0,I,,,,,,,,,,,
M150,0,E,150000.0,I,,,,,,,,,,,
M151,0,E,151000.0,I,,,,,,,,,,,
M152,0,E,152000.0,I,,,,,,,,,,,
M153,0,E,153000.0,I,,,,,,,,,,,
M154,0,E,154000.0,I,,,,,,,,,,,
M155,0,E,155000.0,I,,,,,,,,,,,
M156,0,E,156000.0,I,,,,,,,,,,,
M157,0,E,157000.0,I,,,,,,,,,,,
M158,0,E,158000.0,I,,,,,,,,,,,
