TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U561,0,E,5.54,O,,,,,,,,,,,
U581,0,E,5.74,O,0.03,-0.7,09/08/2022,1,3.0,0.50813,-0.0211,0.0284,-0.001,-0.0333,0.1783
U601,0,E,5.94,O,0.05,-0.2857,25/08/2022,9,3098.0,0.45875,-0.0235,0.0348,-0.0009,-0.018,0.1924
U641,0,E,6.34,O,0.01,0.0,06/09/2022,1,1.0,0.69625,-0.0195,0.0243,-0.002,-0.2,0.1329
U681,0,E,6.74,O,0.01,0.0,30/08/2022,8,3224.0,,,,,,
U701,0,E,6.94,O,0.02,1.0,23/08/2022,28,2220.0,0.66875,-0.0246,0.0376,-0.0028,-0.14,0.132
U721,0,E,7.14,O,0.01,0.0,25/08/2022,3,50.0,0.61125,-0.0266,0.0441,-0.0027,-0.27,0.1407
U741,0,E,7.34,O,0.01,0.0,31/08/2022,1,10.0,0.56375,-0.0288,0.0509,-0.0027,-0.27,0.1505
U761,0,E,7.54,O,0.01,0.0,05/09/2022,1,10.0,0.46125,-0.0329,0.0662,-0.0022,-0.22,0.1769
U781,0,E,7.74,O,0.01,0.0,08/09/2022,2,6.0,0.43375,-0.0359,0.0775,-0.0023,-0.23,0.185
U801,0,E,7.94,O,0.01,0.0,06/09/2022,1,2.0,,,,,,
U821,0,E,8.14,O,0.01,0.0,08/09/2022,1,10.0,0.42375,-0.0474,0.1337,-0.0038,-0.38,0.1724
U831,0,E,8.24,O,0.01,-0.5,09/09/2022,1,2.0,0.3325,-0.0569,0.1901,-0.0031,-0.31,0.2068
U841,0,E,8.34,O,0.01,0.0,09/09/2022,1,1.0,0.415,-0.0503,0.1499,-0.0042,-0.42,0.1726
U861,0,E,8.54,O,0.01,0.0,09/09/2022,3,22.0,0.38375,-0.0614,0.2201,-0.0053,-0.53,0.1743
U881,0,E,8.74,O,0.01,-0.5,09/09/2022,4,11.0,0.305,-0.057,0.2857,-0.0043,-0.43,0.1502
U901,0,E,8.94,O,0.02,-0.3333,09/09/2022,20,642.0,0.27562,-0.1118,0.5246,-0.0063,-0.315,0.2503
U921,0,E,9.14,O,0.04,-0.3333,09/09/2022,40,7724.0,0.25125,-0.2495,0.9613,-0.0092,-0.23,0.4172
U941,0,E,9.34,A,0.1,-0.375,09/09/2022,43,16216.0,0.20531,-0.4714,1.4747,-0.0083,-0.083,0.5229
U963,0,E,9.44,A,0.15,-0.25,09/09/2022,16,1703.0,0.20437,-0.6171,1.4208,-0.007,-0.0467,0.5015
U105,0,E,9.54,I,0.2,-0.3103,09/09/2022,17,6734.0,0.20562,-0.721,1.2408,-0.0053,-0.0265,0.4426
U971,0,E,9.64,I,0.3,-0.1429,09/09/2022,3,210.0,0.22125,-0.7225,0.9074,-0.0039,-0.013,0.5596
U981,0,E,9.74,I,0.53,0.2045,09/09/2022,2,709.0,0.18563,-0.7571,0.7373,-0.0004,-0.0008,0.7153
U100,0,E,9.84,I,0.48,-0.1429,09/09/2022,14,17807.0,0.18922,-0.775,0.616,0.0004,0.0008,0.7715
U98,0,E,10.09,I,0.72,-0.122,09/09/2022,4,4467.0,0.24844,-0.8467,0.3725,0.0008,0.0011,0.6047
U104,0,E,10.59,I,1.23,-0.0315,09/09/2022,3,8430.0,0.48,-0.964,0.1253,0.0006,0.0005,0.1039
U109,0,E,10.84,I,1.49,0.0719,08/09/2022,5,32895.0,0.38906,-0.864,0.2093,-0.0005,-0.0003,0.5845
U110,0,E,11.09,I,1.75,-0.0541,09/09/2022,11,153770.0,,,,,,
U115,0,E,11.34,I,1.85,0.0278,18/08/2022,2,48800.0,,,,,,
U114,0,E,11.59,I,2.09,-0.0095,15/08/2022,2,19960.0,,,,,,
U120,0,E,11.84,I,2.49,0.0687,02/09/2022,2,499.0,,,,,,
U122,0,E,12.09,I,2.54,-0.0039,18/08/2022,1,2540.0,,,,,,
U125,0,E,12.59,I,3.22,-0.0272,09/09/2022,3,12618.0,,,,,,
U130,0,E,13.09,I,3.72,0.0054,09/09/2022,1,10416.0,,,,,,
U135,0,E,13.59,I,4.2,-0.0094,09/09/2022,1,10920.0,,,,,,
U140,0,E,14.09,I,4.55,-0.0733,18/08/2022,15,54513.0,0.79812,-0.9473,0.0504,0.0017,0.0004,0.2877
U145,0,E,14.59,I,5.21,0.0156,05/09/2022,3,78150.0,,,,,,
U150,0,E,15.09,I,5.72,-0.0623,30/08/2022,1,85800.0,,,,,,
U155,0,E,15.59,I,6.3,0.0161,06/09/2022,8,13860.0,,,,,,
U160,0,E,16.09,I,,,,,,,,,,,
U165,0,E,16.59,I,,,,,,,,,,,
U170,0,E,17.09,I,,,,,,,,,,,
U175,0,E,17.59,I,,,,,,,,,,,
U180,0,E,18.09,I,,,,,,,,,,,
U185,0,E,18.59,I,,,,,,,,,,,
U190,0,E,19.09,I,,,,,,,,,,,
U195,0,E,19.59,I,10.18,0.0241,23/08/2022,1,1018.0,,,,,,
