TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M124,0,E,11.8,O,0.01,0.0,16/12/2022,1,19.0,0.97125,-0.006,0.0024,-0.0024,-0.2423,0.124
M123,0,E,15.8,O,,,,,,,,,,,
M126,0,E,16.3,O,0.03,-0.25,17/01/2023,3,5800.0,,,,,,
M119,0,E,16.55,O,0.02,0.0,02/01/2023,1,10.0,,,,,,
M131,0,E,16.8,O,,,,,,,,,,,
M173,0,E,17.3,O,0.01,,28/12/2022,1,10.0,,,,,,
M148,0,E,17.55,O,0.04,,28/12/2022,4,6000.0,,,,,,
M141,0,E,17.8,O,0.02,,28/12/2022,2,3.0,,,,,,
M129,0,E,18.3,O,0.01,-0.5,11/01/2023,1,1.0,0.6025,-0.0154,0.0112,-0.0046,-0.4588,0.2233
M193,0,E,18.55,O,0.01,0.0,16/01/2023,1,50.0,0.58875,-0.0194,0.014,-0.0054,-0.5399,0.2696
M166,0,E,18.8,O,0.01,0.0,04/01/2023,5,55.0,0.55125,-0.0142,0.0124,-0.0042,-0.4165,0.1898
M185,0,E,19.3,O,0.01,0.0,18/01/2023,1,10.0,0.55125,-0.0145,0.013,-0.0045,-0.4506,0.1879
M176,0,E,19.8,O,0.01,0.0,18/01/2023,1,10.0,0.5075,-0.0155,0.0149,-0.0044,-0.4405,0.2003
M181,0,E,20.3,O,0.01,0.0,10/01/2023,6,35.0,0.565,-0.015,0.014,-0.0055,-0.5487,0.1817
M206,0,E,20.8,O,0.01,0.0,18/01/2023,1,10.0,0.65875,-0.0142,0.0126,-0.0072,-0.7209,0.1577
M203,0,E,21.3,O,0.02,1.0,18/01/2023,2,15.0,0.765,-0.0163,0.0162,-0.0125,-0.624,0.133
M230,0,E,21.8,O,0.01,0.0,18/01/2023,3,324.0,0.71875,-0.0199,0.0241,-0.0158,-1.5755,0.1339
M228,0,E,22.05,O,0.01,0.0,18/01/2023,3,502.0,0.585,-0.021,0.0269,-0.0116,-1.1551,0.1621
M235,0,E,22.3,O,0.01,0.0,18/01/2023,5,79.0,0.9525,-0.018,0.0196,-0.0246,-2.4595,0.1044
M240,0,E,22.8,O,0.01,0.0,18/01/2023,5,124.0,0.57,-0.0244,0.0359,-0.0149,-1.4901,0.1605
M158,0,E,23.05,O,0.03,2.0,18/01/2023,35,15028.0,0.7525,-0.0224,0.0303,-0.0232,-0.7721,0.1249
M245,0,E,23.3,O,0.01,-0.5,18/01/2023,40,20159.0,0.53625,-0.0255,0.0391,-0.0147,-1.4731,0.169
M216,0,E,23.55,O,0.02,0.0,18/01/2023,17,1752.0,0.6625,-0.0251,0.0377,-0.0225,-1.1227,0.1378
M250,0,E,23.8,O,0.02,-0.3333,18/01/2023,23,4512.0,0.65375,-0.0326,0.0473,-0.0275,-1.3771,0.1715
M223,0,E,24.05,O,0.01,-0.6667,18/01/2023,11,140.0,0.60375,-0.0347,0.0539,-0.0268,-2.6783,0.1808
