TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X190,0,E,190.0,O,0.57,-0.5328,23/11/2022,1,57.0,,,,,,
X200,0,E,200.0,O,4.5,,04/11/2022,2,145.3,,,,,,
X205,0,E,205.0,O,2.38,-0.32,16/11/2022,1,95.2,0.28716,-0.3863,0.019,-0.0861,-0.0362,26.8116
X210,0,E,210.0,O,3.0,-0.625,11/11/2022,1,600.0,0.26025,-0.2735,0.0168,-0.0721,-0.024,25.355
X215,0,E,215.0,O,9.53,0.711,04/11/2022,4,95.3,,,,,,
X220,0,E,220.0,O,4.76,,28/10/2022,2,11.26,,,,,,
X225,0,E,225.0,O,2.28,-0.7253,17/11/2022,1,2.28,,,,,,
X230,0,E,230.0,O,7.51,,14/11/2022,1,7.51,,,,,,
X235,0,E,235.0,A,,,,,,,,,,,
X240,0,E,240.0,A,,,,,,,,,,,
