TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X145,0,E,14.5,O,,,,,,,,,,,
X160,0,E,15.0,O,0.01,,06/12/2022,1,10.0,,,,,,
X165,0,E,15.5,O,0.01,,06/12/2022,1,10.0,,,,,,
X170,0,E,16.0,O,0.01,,01/12/2022,1,10.0,,,,,,
X175,0,E,16.5,O,0.02,1.0,07/12/2022,1,76.0,0.7325,-0.0205,0.0193,-0.0088,-0.4385,0.1723
X180,0,E,17.0,O,0.03,-0.25,07/12/2022,5,1596.0,0.72625,-0.0201,0.0187,-0.0088,-0.2939,0.1747
X185,0,E,17.5,O,0.02,-0.6,07/12/2022,15,2048.0,0.6425,-0.0189,0.0218,-0.0079,-0.3955,0.152
X190,0,E,18.0,O,0.04,-0.4286,07/12/2022,10,1824.0,0.6125,-0.0309,0.0346,-0.0113,-0.2831,0.2292
X195,0,E,18.5,O,0.04,-0.6,07/12/2022,23,5319.0,0.56563,-0.0444,0.0505,-0.014,-0.3502,0.3086
X200,0,E,19.0,O,0.06,-0.5714,07/12/2022,39,10954.0,0.53062,-0.0691,0.0762,-0.0185,-0.3084,0.4373
X205,0,E,19.5,O,0.09,-0.5909,07/12/2022,21,22023.0,0.50094,-0.1095,0.1138,-0.0244,-0.2711,0.6162
X210,0,E,20.0,O,0.14,-0.5758,07/12/2022,31,72203.0,0.47437,-0.1732,0.1642,-0.0312,-0.2227,0.8416
X215,1,E,20.5,O,0.24,-0.5294,07/12/2022,46,122030.0,0.44781,-0.2602,0.2204,-0.0367,-0.1528,1.067
X220,1,E,21.0,O,0.4,-0.4366,07/12/2022,241,524322.0,0.42703,-0.3829,0.2719,-0.04,-0.0999,1.2543
X225,1,E,21.5,A,0.56,-0.4667,07/12/2022,44,58817.0,0.41266,-0.5253,0.2936,-0.0386,-0.0689,1.3085
X230,0,E,22.0,I,0.78,-0.4222,07/12/2022,18,33624.0,0.40922,-0.6659,0.2706,-0.0325,-0.0417,1.1961
X222,0,E,22.25,I,1.57,0.4144,06/12/2022,20,222236.0,0.40984,-0.7279,0.2464,-0.0282,-0.018,1.0908
X235,0,E,22.5,I,1.24,-0.1206,07/12/2022,19,43266.0,0.43062,-0.6884,0.2143,-0.0277,-0.0224,1.3552
X237,0,E,22.75,I,1.63,-0.0121,07/12/2022,4,1021.0,0.44141,-0.7297,0.1955,-0.0257,-0.0157,1.2685
X240,0,E,23.0,I,1.68,-0.2364,07/12/2022,15,12738.0,0.43172,-0.781,0.1785,-0.0205,-0.0122,1.1319
X242,0,E,23.25,I,1.75,0.1076,07/12/2022,13,15943.0,0.43719,-0.8169,0.1583,-0.0172,-0.0098,1.0165
X245,0,E,23.5,I,2.17,0.3232,06/12/2022,18,799924.0,0.43453,-0.8526,0.1384,-0.0129,-0.0059,0.8831
X247,0,E,23.75,I,2.2,-0.0795,07/12/2022,7,158025.0,0.43469,-0.8818,0.1188,-0.009,-0.0041,0.7586
X250,0,E,24.0,I,2.6,-0.1186,07/12/2022,6,27085.0,0.44094,-0.9031,0.1015,-0.0062,-0.0024,0.6573
X252,0,E,24.25,I,2.83,-0.007,07/12/2022,4,11436.0,0.45625,-0.9154,0.0886,-0.0047,-0.0017,0.5945
X255,0,E,24.5,I,3.6,0.0,07/12/2022,1,4320.0,0.36602,-0.6597,0.1759,-0.0163,-0.0045,2.0863
X257,0,E,24.75,I,2.6,0.0,01/12/2022,2,1545.0,0.37492,-0.7001,0.1631,-0.0149,-0.0057,1.9761
X260,0,E,25.0,I,3.3,-0.1892,07/12/2022,5,4008.0,0.37266,-0.661,0.1642,-0.0161,-0.0049,2.1883
X262,0,E,25.25,I,2.8,0.2174,05/12/2022,1,8400.0,0.36906,-0.7166,0.1541,-0.013,-0.0047,2.0161
X265,0,E,25.5,I,4.0,-0.0971,07/12/2022,3,2405.0,0.35438,-0.9482,0.0616,0.0056,0.0014,0.5152
X267,0,E,25.75,I,4.8,0.5238,06/12/2022,3,3420.0,0.38484,-0.7518,0.1301,-0.0105,-0.0022,2.0008
X270,0,E,26.0,I,4.72,0.9667,06/12/2022,2,40120.0,0.40609,-0.8047,0.1042,-0.0066,-0.0014,1.8007
X272,0,E,26.25,I,5.5,0.5493,07/12/2022,1,22000.0,0.4175,-0.8185,0.0968,-0.006,-0.0011,1.7219
X275,0,E,26.5,I,5.5,0.1,07/12/2022,1,1100.0,0.37453,-0.8696,0.0868,-0.0002,-0.0,1.3823
X277,0,E,26.75,I,4.21,0.4033,30/11/2022,2,2105.0,0.36875,-0.8915,0.0774,0.0019,0.0005,1.2145
X280,0,E,27.0,I,3.59,0.1219,25/11/2022,7,20102.0,0.36719,-0.9082,0.0688,0.0036,0.001,1.0744
X282,0,E,27.25,I,4.28,0.0,29/11/2022,1,428.0,0.36172,-0.9254,0.0598,0.0055,0.0013,0.9198
X285,0,E,27.5,I,6.55,0.8451,06/12/2022,2,11730.0,0.40023,-0.7562,0.1029,-0.0095,-0.0015,2.3864
X287,0,E,27.75,I,5.15,0.7458,30/11/2022,1,48925.0,0.37293,-0.6922,0.1171,-0.0116,-0.0023,2.8325
X290,0,E,28.0,I,4.12,0.0483,24/11/2022,1,4120.0,0.37266,-0.72,0.1122,-0.0101,-0.0025,2.7102
X292,0,E,28.25,I,6.6,0.1,07/12/2022,12,20581.0,,,,,,
X295,0,E,28.5,I,,,,,,0.36141,-0.7361,0.1108,-0.0087,,2.6691
X297,0,E,28.75,I,6.35,0.3511,01/12/2022,1,63500.0,0.36496,-0.5379,0.0789,-0.0066,-0.001,5.4783
X300,0,E,29.0,I,5.0,0.1905,17/11/2022,1,2500.0,,,,,,
X302,0,E,29.25,I,7.41,0.0151,02/12/2022,1,741.0,,,,,,
X305,0,E,29.5,I,8.1,0.08,07/12/2022,1,810.0,,,,,,
X307,0,E,29.75,I,4.8,,16/11/2022,5,9542.0,,,,,,
X310,0,E,30.0,I,,,,,,,,,,,
X312,0,E,30.25,I,7.86,0.2885,01/12/2022,2,14135.0,,,,,,
X315,0,E,30.5,I,8.28,0.2798,01/12/2022,1,8280.0,,,,,,
X317,0,E,30.75,I,9.35,0.1761,07/12/2022,1,28050.0,,,,,,
X320,0,E,31.0,I,9.16,0.3256,30/11/2022,1,45800.0,,,,,,
X322,0,E,31.25,I,10.45,0.1875,06/12/2022,1,10450.0,,,,,,
X325,0,E,31.5,I,,,,,,,,,,,
X327,0,E,31.75,I,9.82,0.2244,05/12/2022,1,982.0,,,,,,
