TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X370,0,E,3.7,O,,,,,,,,,,,
X390,0,E,3.9,O,,,,,,,,,,,
X410,0,E,4.1,O,,,,,,,,,,,
X430,0,E,4.3,O,,,,,,,,,,,
X450,0,E,4.5,O,,,,,,,,,,,
X470,0,E,4.7,O,,,,,,,,,,,
X490,0,E,4.9,O,0.07,,21/11/2022,1,28.0,,,,,,
X520,1,E,5.2,O,0.12,0.0,25/11/2022,3,2420.0,0.44281,-0.2708,0.58,-0.0059,-0.0491,0.4269
X540,1,E,5.4,O,0.16,-0.2381,29/11/2022,4,336.0,0.4925,-0.4011,0.6078,-0.0075,-0.0467,0.4994
X560,1,E,5.6,A,0.27,-0.129,28/11/2022,2,752.0,0.47062,-0.5348,0.655,-0.0069,-0.0254,0.5124
X580,1,E,5.8,I,,,,,,0.555,-0.6196,0.5142,-0.0073,,0.5083
X600,0,E,6.0,I,,,,,,,,,,,
X620,0,E,6.2,I,0.58,,21/11/2022,2,233.0,,,,,,
X660,0,E,6.6,I,,,,,,,,,,,
X700,0,E,7.0,I,,,,,,,,,,,
X740,0,E,7.4,I,1.65,0.0,24/11/2022,2,3630.0,,,,,,
X780,0,E,7.8,I,,,,,,,,,,,
X820,0,E,8.2,I,2.4,,24/11/2022,1,2400.0,,,,,,
X860,0,E,8.6,I,2.86,,22/11/2022,1,3432.0,,,,,,
X900,0,E,9.0,I,3.44,0.075,28/11/2022,1,1376.0,,,,,,
X940,0,E,9.4,I,,,,,,,,,,,
X980,0,E,9.8,I,,,,,,,,,,,
