TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U105,0,E,10.14,O,,,,,,,,,,,
U115,0,E,11.14,O,0.02,,03/08/2022,2,10.0,,,,,,
U125,0,E,12.14,O,,,,,,,,,,,
U135,0,E,13.14,O,,,,,,,,,,,
U140,0,E,13.64,O,0.07,,28/07/2022,1,28.0,,,,,,
U150,0,E,14.64,O,0.02,-0.75,23/08/2022,1,900.0,0.64125,-0.0128,0.0104,-0.0034,-0.17,0.1644
U155,0,E,15.14,O,0.02,-0.5,16/08/2022,1,10.0,,,,,,
U160,0,E,15.64,O,0.03,-0.8,12/08/2022,1,30.0,0.35297,-0.1124,0.0738,-0.005,-0.1667,1.4001
U165,0,E,16.14,O,0.22,-0.1852,26/07/2022,2,1205.0,0.34781,-0.1514,0.0957,-0.0062,-0.0282,1.6542
U170,0,E,16.64,O,0.03,-0.85,17/08/2022,1,3.0,0.3393,-0.2028,0.1179,-0.007,-0.2333,1.9925
U175,0,E,17.14,O,0.08,-0.1111,08/08/2022,1,40.0,0.32203,-0.1664,0.1085,-0.0064,-0.08,1.7823
U180,0,E,17.64,O,0.08,0.0,18/08/2022,2,16.0,0.32563,-0.1731,0.1168,-0.0072,-0.09,1.7242
U185,0,E,18.14,O,0.06,0.2,25/08/2022,1,60.0,0.32031,-0.1142,0.0973,-0.0067,-0.1117,1.1959
U190,0,E,18.64,O,0.13,0.4444,25/08/2022,2,650.0,0.32172,-0.0887,0.0854,-0.0065,-0.05,0.9389
U195,1,E,19.14,O,0.2,0.25,25/08/2022,3,197.0,0.31984,-0.1747,0.1621,-0.0116,-0.058,1.2791
U200,1,E,19.64,O,0.34,0.3077,25/08/2022,19,7980.0,0.30586,-0.3049,0.2326,-0.0141,-0.0415,1.7242
U205,1,E,20.14,A,0.55,0.4103,25/08/2022,9,3284.0,0.30602,-0.4627,0.2652,-0.0145,-0.0264,1.9439
U210,1,E,20.64,I,0.8,0.3333,25/08/2022,14,11485.0,0.30828,-0.5894,0.2576,-0.0127,-0.0159,1.9042
U215,0,E,21.14,I,0.88,-0.0737,23/08/2022,1,880.0,0.27242,-0.6451,0.2516,-0.0076,-0.0086,2.0217
U220,0,E,21.64,I,1.78,-0.022,22/08/2022,2,612.0,,,,,,
U225,0,E,22.14,I,1.9,0.027,25/08/2022,1,570.0,,,,,,
U230,0,E,22.64,I,,,,,,,,,,,
U235,0,E,23.14,I,2.15,-0.0315,19/08/2022,1,215.0,,,,,,
U240,0,E,23.64,I,3.71,-0.0631,05/08/2022,2,2968.0,,,,,,
U245,0,E,24.14,I,4.25,-0.1584,29/07/2022,1,2125.0,,,,,,
U250,0,E,24.64,I,3.83,-0.1335,23/08/2022,1,383.0,,,,,,
U255,0,E,25.14,I,5.27,,03/08/2022,1,1581.0,,,,,,
U260,0,E,25.64,I,4.69,-0.1914,19/08/2022,1,5159.0,,,,,,
U270,0,E,26.64,I,,,,,,,,,,,
U280,0,E,27.64,I,7.52,0.0121,09/08/2022,1,18800.0,,,,,,
U290,0,E,28.64,I,,,,,,,,,,,
U300,0,E,29.64,I,8.58,-0.0172,18/08/2022,54,429488.0,,,,,,
