TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T400,0,E,4.0,O,,,,,,,,,,,
T450,0,E,4.5,O,,,,,,,,,,,
T470,0,E,4.7,O,,,,,,,,,,,
T510,0,E,5.1,O,0.11,-0.3889,28/07/2022,4,5641.0,0.55687,-0.252,0.4135,-0.0069,-0.0627,0.4423
T550,0,E,5.5,A,0.33,-0.2667,01/08/2022,1,594.0,0.51313,-0.4458,0.5931,-0.008,-0.0242,0.5133
T600,0,E,6.0,I,,,,,,0.53938,-0.6078,0.4492,-0.0061,,0.6095
T650,0,E,6.5,I,,,,,,,,,,,
T700,0,E,7.0,I,1.17,,13/07/2022,4,19237.0,,,,,,
T750,0,E,7.5,I,,,,,,,,,,,
T800,0,E,8.0,I,,,,,,,,,,,
T850,0,E,8.5,I,2.51,-0.1633,13/07/2022,2,18667.0,,,,,,
T950,0,E,9.5,I,,,,,,,,,,,
T100,0,E,10.0,I,4.09,,15/07/2022,1,12270.0,,,,,,
T105,0,E,10.5,I,4.56,,14/07/2022,1,20064.0,,,,,,
T112,0,E,11.25,I,3.55,0.2116,23/06/2022,1,3550.0,,,,,,
T122,0,E,12.25,I,6.7,0.675,12/07/2022,1,33500.0,,,,,,
