TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U142,0,E,14.24,O,,,,,,,,,,,
U147,0,E,14.74,O,0.03,0.0,22/07/2022,19,5700.0,0.62,-0.0134,0.0059,-0.0024,-0.08,0.326
U152,0,E,15.24,O,,,,,,,,,,,
U157,0,E,15.74,O,,,,,,0.5875,-0.0192,0.0079,-0.003,,0.4695
U159,0,E,15.99,O,,,,,,,,,,,
U162,0,E,16.24,O,,,,,,0.56437,-0.0239,0.0109,-0.0036,,0.5148
U164,0,E,16.49,O,,,,,,0.57812,-0.021,0.0094,-0.0035,,0.4696
U167,0,E,16.74,O,,,,,,0.56875,-0.0317,0.0136,-0.0046,,0.655
U169,0,E,16.99,O,,,,,,0.56531,-0.0357,0.0151,-0.005,,0.7233
U172,0,E,17.24,O,0.04,,28/07/2022,1,400.0,0.57844,-0.0183,0.008,-0.0033,-0.0825,0.4342
U174,0,E,17.49,O,,,,,,0.54312,-0.0431,0.0183,-0.0056,,0.8413
U177,0,E,17.74,O,,,,,,0.56656,-0.0318,0.0137,-0.005,,0.6582
U179,0,E,17.99,O,,,,,,0.55344,-0.0417,0.0172,-0.0058,,0.8352
U182,0,E,18.24,O,0.02,,11/08/2022,6,3400.0,0.64437,-0.0173,0.0072,-0.0043,-0.215,0.395
U184,0,E,18.49,O,,,,,,0.55187,-0.0373,0.0164,-0.0058,,0.7352
U190,0,E,18.74,O,0.02,-0.6,15/08/2022,1,2.0,0.5475,-0.0395,0.0172,-0.006,-0.3,0.7742
U189,0,E,18.99,O,,,,,,0.5525,-0.009,0.0052,-0.0022,,0.2079
U195,0,E,19.24,O,0.02,0.0,22/08/2022,1,566.0,0.55062,-0.0108,0.0073,-0.0029,-0.145,0.2011
U194,0,E,19.49,O,0.02,0.0,22/08/2022,1,566.0,0.61937,-0.017,0.0091,-0.0049,-0.245,0.3151
U197,0,E,19.74,O,0.06,-0.25,15/08/2022,1,60.0,0.59562,-0.0176,0.0098,-0.0048,-0.08,0.3249
U199,0,E,19.99,O,0.04,-0.7143,12/08/2022,1,4.0,0.58125,-0.0244,0.0139,-0.0062,-0.155,0.4066
U203,0,E,20.24,O,0.04,0.0,22/08/2022,3,236.0,0.56063,-0.0252,0.0148,-0.0061,-0.1525,0.4177
U204,0,E,20.49,O,0.09,-0.6667,04/08/2022,2,5454.0,0.56281,-0.0305,0.0173,-0.0072,-0.08,0.4907
