TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M99,0,E,1.0,O,,,,,,,,,,,
M110,0,E,1.1,O,,,,,,,,,,,
M119,0,E,1.2,O,,,,,,,,,,,
M130,0,E,1.3,O,0.01,,29/12/2022,1,1.0,,,,,,
M140,0,E,1.4,O,,,,,,,,,,,
M150,0,E,1.5,O,0.01,0.0,27/12/2022,2,100.0,1.09,-0.0397,0.1041,-0.0015,-0.1471,0.0647
M159,0,E,1.6,O,0.01,0.0,23/12/2022,1,100.0,1.115,-0.0389,0.0987,-0.0016,-0.1645,0.0644
M170,0,E,1.7,O,0.01,0.0,29/12/2022,1,5.0,1.0475,-0.047,0.1409,-0.0019,-0.1936,0.0652
M180,0,E,1.8,O,0.01,0.0,02/01/2023,1,200.0,,,,,,
M19,0,E,1.9,O,0.02,1.0,02/01/2023,4,423.0,0.9675,-0.0705,0.2304,-0.0027,-0.1358,0.0818
M200,0,E,2.0,O,0.02,0.0,02/01/2023,9,101.0,0.8475,-0.0788,0.2853,-0.0026,-0.1292,0.0894
M210,0,E,2.1,O,0.03,0.0,02/01/2023,14,1810.0,0.8075,-0.1158,0.3987,-0.0032,-0.1076,0.1181
M22,0,E,2.2,O,0.06,0.5,02/01/2023,80,37492.0,0.85875,-0.1772,0.4975,-0.0046,-0.0761,0.158
M23,0,E,2.3,O,0.07,0.1667,02/01/2023,45,35848.0,0.7825,-0.231,0.6422,-0.0048,-0.0684,0.1844
M240,1,E,2.4,O,0.1,0.4286,02/01/2023,75,185313.0,0.7825,-0.2995,0.7302,-0.0054,-0.0543,0.2113
M25,1,E,2.5,O,0.15,0.6667,02/01/2023,132,158738.0,0.80125,-0.3815,0.7823,-0.006,-0.0401,0.2318
M260,1,E,2.6,A,0.19,0.4615,02/01/2023,134,218084.0,0.78375,-0.4634,0.8335,-0.006,-0.0316,0.2416
