TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M579,0,E,4.88,O,0.01,0.0,29/12/2022,1,10.0,0.95,-0.0186,0.0226,-0.0025,-0.2464,0.0968
M679,0,E,5.88,O,0.01,0.0,11/01/2023,1,5.0,0.765,-0.0166,0.0259,-0.0021,-0.2106,0.0858
M700,0,E,6.08,O,0.01,0.0,10/01/2023,1,20.0,0.71375,-0.0256,0.0411,-0.0028,-0.2765,0.1215
M720,0,E,6.28,O,0.01,0.0,11/01/2023,1,1.0,0.87,-0.0347,0.0562,-0.0057,-0.5657,0.1205
M740,0,E,6.48,O,0.02,1.0,11/01/2023,2,7.0,0.78375,-0.0361,0.0602,-0.005,-0.2519,0.1331
M760,0,E,6.68,O,0.01,0.0,11/01/2023,6,170.0,0.8225,-0.0313,0.0603,-0.0057,-0.5712,0.0998
M779,0,E,6.88,O,0.01,0.0,11/01/2023,2,3.0,0.77125,-0.033,0.0665,-0.0057,-0.5651,0.1055
M789,0,E,6.98,O,0.04,0.0,04/01/2023,5,566.0,0.6225,-0.0499,0.112,-0.0057,-0.1421,0.1522
M799,0,E,7.08,O,0.01,-0.5,11/01/2023,9,286.0,,,,,,
M819,0,E,7.28,O,0.01,0.0,11/01/2023,3,45.0,0.715,-0.0373,0.084,-0.0064,-0.6384,0.1103
M839,0,E,7.48,O,0.03,-0.25,11/01/2023,4,68.0,0.55,-0.0758,0.2004,-0.0081,-0.2703,0.1848
M859,0,E,7.68,O,0.05,0.25,11/01/2023,2,25.0,0.59875,-0.0677,0.1618,-0.0085,-0.1695,0.1766
M879,0,E,7.88,O,0.05,0.0,11/01/2023,22,6285.0,0.55062,-0.0968,0.2307,-0.0101,-0.2024,0.2311
M899,1,E,8.08,O,0.08,-0.1111,11/01/2023,22,2368.0,0.5325,-0.1436,0.3146,-0.0129,-0.1608,0.3061
M919,1,E,8.28,O,0.13,-0.0714,11/01/2023,4,2059.0,0.49312,-0.2056,0.427,-0.0148,-0.1137,0.3848
M939,1,E,8.48,A,0.2,-0.0909,11/01/2023,24,26529.0,0.4725,-0.2884,0.5333,-0.0168,-0.0838,0.4625
M959,1,E,8.68,A,0.28,-0.125,11/01/2023,16,5875.0,0.46406,-0.4046,0.6163,-0.0183,-0.0652,0.5249
M979,0,E,8.88,I,0.39,0.1471,11/01/2023,6,6519.0,0.46625,-0.5303,0.6298,-0.0182,-0.0468,0.5389
M999,0,E,9.08,I,0.68,0.36,11/01/2023,2,2114.0,0.46875,-0.7441,0.3496,-0.0067,-0.0099,0.6317
M104,0,E,9.58,I,0.95,-0.0306,11/01/2023,7,7209.0,,,,,,
M109,0,E,10.08,I,1.42,-0.1341,10/01/2023,2,2429.0,0.42437,-0.6787,0.2162,-0.0031,-0.0022,1.3985
M112,0,E,10.33,I,1.97,0.0368,02/01/2023,3,7046.0,0.42234,-0.563,0.2083,-0.0043,-0.0022,1.7639
M114,0,E,10.58,I,2.05,0.0789,11/01/2023,2,2270.0,0.67937,-0.9488,0.061,0.0027,0.0013,0.2672
M119,0,E,11.08,I,2.45,-0.0577,11/01/2023,4,8330.0,0.41828,-0.6064,0.1945,-0.0038,-0.0015,1.819
M124,0,E,11.58,I,2.95,-0.0101,11/01/2023,3,1190.0,0.42625,-0.6643,0.1789,-0.0031,-0.001,1.7431
M129,0,E,12.08,I,3.85,-0.0228,10/01/2023,1,770.0,,,,,,
M134,0,E,12.58,I,4.0,-0.1111,10/01/2023,1,6400.0,1.36,-0.8598,0.0685,-0.0083,-0.0021,0.5328
M139,0,E,13.08,I,6.15,-0.0889,15/12/2022,7,23795.0,,,,,,
M150,0,E,13.33,I,5.0,-0.269,06/01/2023,1,50500.0,,,,,,
M144,0,E,13.58,I,5.17,-0.2341,06/01/2023,3,5170.0,,,,,,
M149,0,E,14.08,I,5.52,-0.0921,11/01/2023,2,419520.0,,,,,,
M154,0,E,14.58,I,7.75,-0.042,15/12/2022,1,5425.0,,,,,,
M159,0,E,15.08,I,6.86,-0.1685,10/01/2023,1,41160.0,,,,,,
M164,0,E,15.58,I,7.03,-0.0738,29/12/2022,3,77332.0,,,,,,
M169,0,E,16.08,I,9.25,-0.0415,15/12/2022,2,14735.0,,,,,,
M174,0,E,16.58,I,9.66,,15/12/2022,1,8694.0,,,,,,
M179,0,E,17.08,I,9.8,,20/12/2022,1,8820.0,,,,,,
M184,0,E,17.58,I,9.02,-0.0066,11/01/2023,12,829840.0,,,,,,
M195,0,E,17.83,I,9.5,-0.126,05/01/2023,1,3800.0,,,,,,
M189,0,E,18.08,I,9.72,0.001,09/01/2023,3,14579.0,,,,,,
M214,0,E,20.58,I,13.65,0.4368,15/12/2022,9,263315.0,,,,,,
M509,0,E,23.58,I,15.0,-0.0132,11/01/2023,1,150000.0,,,,,,
