TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X520,0,E,5.2,O,0.05,4.0,11/11/2022,2,50.0,,,,,,
X620,0,E,6.2,O,0.06,2.0,21/11/2022,3,17.0,0.86187,-0.0572,0.0559,-0.0059,-0.0982,0.273
X740,0,E,7.2,O,0.15,0.25,23/11/2022,10,10369.0,0.67625,-0.171,0.1743,-0.01,-0.0669,0.5476
X790,0,E,7.9,O,0.36,0.1613,23/11/2022,4,772.0,0.62437,-0.3263,0.2675,-0.0126,-0.0351,0.7781
X810,1,E,8.1,O,0.43,0.1316,23/11/2022,6,2251.0,0.61375,-0.3798,0.287,-0.0129,-0.03,0.8227
X840,1,E,8.2,A,0.43,0.075,23/11/2022,3,1562.0,0.6075,-0.4091,0.296,-0.0129,-0.03,0.8396
X830,0,E,8.3,A,0.38,-0.283,22/11/2022,3,309.0,0.60875,-0.4362,0.299,-0.013,-0.0343,0.8521
X860,1,E,8.4,A,0.49,-0.1091,18/11/2022,5,14268.0,0.59656,-0.4699,0.3086,-0.0127,-0.0259,0.8596
X850,0,E,8.5,I,0.46,-0.0417,22/11/2022,2,5620.0,0.58578,-0.5046,0.3155,-0.0122,-0.0266,0.861
X870,1,E,8.7,I,0.67,0.0152,23/11/2022,2,362.0,0.56375,-0.6087,0.3202,-0.0104,-0.0156,0.8169
X900,0,E,8.8,I,0.75,0.1029,23/11/2022,1,225.0,0.57844,-0.5966,0.3101,-0.0111,-0.0148,0.8357
X890,0,E,8.9,I,0.83,0.0375,23/11/2022,2,334.0,0.59047,-0.5803,0.2938,-0.0114,-0.0137,0.8806
X910,0,E,9.1,I,0.81,0.0385,21/11/2022,6,8301.0,0.55797,-0.5711,0.2959,-0.0106,-0.0131,0.9335
X930,0,E,9.3,I,0.88,-0.0638,18/11/2022,3,1883.0,0.59906,-0.6125,0.2516,-0.0098,-0.0112,0.9732
X950,0,E,9.5,I,1.07,0.0288,22/11/2022,1,321.0,0.55719,-0.746,0.2553,-0.0071,-0.0066,0.7219
X970,0,E,9.7,I,1.19,-0.0325,21/11/2022,2,6626.0,0.60906,-0.6466,0.2217,-0.0087,-0.0073,1.0232
X980,0,E,9.9,I,1.72,0.2028,23/11/2022,1,860.0,0.53031,-0.7691,0.2255,-0.005,-0.0029,0.7741
X102,0,E,10.05,I,1.5,0.2821,22/11/2022,1,750.0,0.64125,-0.5546,0.2035,-0.0113,-0.0076,1.1971
X107,0,E,10.55,I,1.98,-0.01,17/11/2022,10,26150.0,0.61344,-0.5628,0.1988,-0.0108,-0.0055,1.2729
X110,0,E,11.05,I,1.95,-0.2778,18/11/2022,1,780.0,0.6125,-0.6516,0.1869,-0.0093,-0.0047,1.1947
X115,0,E,11.55,I,3.28,0.6735,17/11/2022,1,82000.0,0.57531,-0.7504,0.1688,-0.0057,-0.0017,1.0381
X120,0,E,12.05,I,3.1,,10/11/2022,4,1254.0,0.62,-0.7042,0.1563,-0.0077,-0.0025,1.2313
X125,0,E,12.55,I,4.32,,17/11/2022,1,64800.0,,,,,,
X130,0,E,13.05,I,,,,,,,,,,,
X135,0,E,13.55,I,,,,,,,,,,,
X140,0,E,14.05,I,4.85,,11/11/2022,1,485.0,,,,,,
X145,0,E,14.55,I,5.4,,14/11/2022,1,3240.0,,,,,,
X150,0,E,15.05,I,,,,,,,,,,,
X155,0,E,15.55,I,,,,,,,,,,,
X160,0,E,16.05,I,6.65,0.0472,14/11/2022,1,6650.0,,,,,,
X165,0,E,16.55,I,,,,,,,,,,,
X170,0,E,17.05,I,7.85,0.0798,16/11/2022,1,785.0,,,,,,
X175,0,E,17.55,I,,,,,,,,,,,
X180,0,E,18.05,I,,,,,,,,,,,
X185,0,E,18.55,I,,,,,,,,,,,
X190,0,E,19.05,I,,,,,,,,,,,
X195,0,E,19.55,I,,,,,,,,,,,
