TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X121,0,E,12.13,A,,,,,,,,,,,
X123,0,E,12.38,A,0.27,-0.069,13/12/2022,2,2927.0,0.42016,-0.2265,0.2503,-0.0134,-0.0495,0.8619
X126,0,E,12.63,I,,,,,,,,,,,
X128,0,E,12.88,I,,,,,,,,,,,
X131,0,E,13.13,I,0.22,,02/12/2022,1,220.0,,,,,,
X133,0,E,13.38,I,0.5,,29/11/2022,1,100.0,,,,,,
X136,0,E,13.63,I,0.42,,02/12/2022,1,84.0,,,,,,
X138,0,E,13.88,I,,,,,,,,,,,
X141,0,E,14.13,I,,,,,,,,,,,
X156,0,E,15.63,I,,,,,,,,,,,
X161,0,E,16.13,I,2.5,0.1905,17/11/2022,2,25200.0,,,,,,
X207,0,E,20.38,I,7.64,-0.0116,08/12/2022,2,7645.0,,,,,,
