TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M115,0,E,11.5,O,,,,,,,,,,,
M125,0,E,12.5,O,,,,,,,,,,,
M135,0,E,13.5,O,0.06,-0.7,23/12/2022,2,809.0,,,,,,
M142,0,E,14.25,O,0.43,0.0,16/12/2022,1,258.0,,,,,,
M145,0,E,14.5,O,0.14,-0.5333,23/12/2022,2,27.0,0.32453,-0.1845,0.1931,-0.008,-0.0574,1.133
M150,0,E,15.0,O,0.17,-0.5526,23/12/2022,5,819.0,,,,,,
M152,0,E,15.25,A,,,,,,,,,,,
M155,0,E,15.5,A,0.43,-0.3857,23/12/2022,1,860.0,0.31734,-0.3718,0.1982,-0.0063,-0.0146,2.2736
M160,0,E,16.0,I,1.79,,14/12/2022,1,4475.0,,,,,,
M165,0,E,16.5,I,2.05,0.1782,15/12/2022,1,4100.0,,,,,,
M170,0,E,17.0,I,,,,,,,,,,,
M175,0,E,17.5,I,,,,,,,,,,,
M185,0,E,18.5,I,,,,,,,,,,,
M190,0,E,19.0,I,,,,,,,,,,,
M195,0,E,19.5,I,,,,,,,,,,,
M200,0,E,20.0,I,,,,,,,,,,,
M205,0,E,20.5,I,,,,,,,,,,,
M210,0,E,21.0,I,,,,,,,,,,,
M215,0,E,21.5,I,,,,,,,,,,,
M225,0,E,22.5,I,,,,,,,,,,,
