TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N657,0,E,6.57,O,0.01,-0.5,16/01/2023,1,55.0,0.93,-0.0108,0.0077,-0.0019,-0.1928,0.1123
N697,0,E,6.97,O,0.01,0.0,19/01/2023,1,55.0,0.76969,-0.0623,0.0436,-0.0048,-0.484,0.4485
N737,0,E,7.37,O,0.02,0.0,13/01/2023,1,500.0,0.8125,-0.0152,0.0112,-0.0022,-0.1105,0.1602
N777,0,E,7.77,O,0.01,-0.5,31/01/2023,1,1.0,0.8625,-0.0133,0.0114,-0.0026,-0.2593,0.1186
N817,0,E,8.17,O,0.02,-0.3333,24/01/2023,2,10.0,0.8375,-0.0215,0.0179,-0.0037,-0.1875,0.1774
N837,0,E,8.37,O,0.03,-0.7,24/01/2023,1,30.0,0.81281,-0.069,0.0395,-0.0069,-0.2312,0.5499
N877,0,E,8.77,O,0.01,0.0,31/01/2023,2,50.0,0.80125,-0.0195,0.0182,-0.0037,-0.3722,0.1546
N897,0,E,8.97,O,0.02,0.0,31/01/2023,1,2.0,0.76,-0.0163,0.0168,-0.0031,-0.1568,0.1287
N917,0,E,9.17,O,0.02,-0.3333,27/01/2023,1,300.0,0.75125,-0.0213,0.0215,-0.0039,-0.1942,0.1615
N937,0,E,9.37,O,0.01,-0.5,31/01/2023,4,20.0,,,,,,
N957,0,E,9.57,O,0.02,0.0,31/01/2023,1,20.0,0.74187,-0.0898,0.0552,-0.0088,-0.4416,0.6417
N977,0,E,9.77,O,0.05,0.6667,27/01/2023,2,300.0,0.69937,-0.0422,0.0412,-0.0062,-0.1249,0.2816
N100,0,E,9.97,O,0.05,0.0,30/01/2023,1,15.0,0.68437,-0.0426,0.0417,-0.0062,-0.1246,0.2874
N101,0,E,10.12,O,0.04,-0.3333,31/01/2023,1,4.0,0.63187,-0.08,0.068,-0.0079,-0.1987,0.5138
N106,0,E,10.62,O,0.07,0.0,31/01/2023,4,2295.0,0.8575,-0.0368,0.0282,-0.0085,-0.1218,0.2681
N108,0,E,10.87,O,0.06,-0.25,31/01/2023,14,513.0,0.79875,-0.0371,0.032,-0.0082,-0.1371,0.2566
N111,0,E,11.12,O,0.09,-0.1,31/01/2023,2,230.0,0.70625,-0.0889,0.071,-0.0123,-0.1369,0.5167
N113,0,E,11.37,O,,,,,,,,,,,
N116,0,E,11.62,O,0.06,-0.4,31/01/2023,12,4560.0,0.80781,-0.0763,0.053,-0.0143,-0.2377,0.4805
