TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
O660,0,E,6.6,O,,,,,,,,,,,
O700,0,E,7.0,O,,,,,,,,,,,
O740,0,E,7.4,O,,,,,,,,,,,
O780,0,E,7.8,O,,,,,,,,,,,
O800,0,E,8.0,O,,,,,,,,,,,
O820,0,E,8.2,O,,,,,,,,,,,
O840,0,E,8.4,O,,,,,,,,,,,
O860,0,E,8.6,O,,,,,,,,,,,
O880,0,E,8.8,O,,,,,,,,,,,
O900,0,E,9.0,O,,,,,,,,,,,
O920,0,E,9.2,O,,,,,,,,,,,
O940,0,E,9.4,O,,,,,,,,,,,
O980,0,E,9.8,O,,,,,,,,,,,
O100,0,E,10.0,O,0.04,-0.75,17/02/2023,1,16.0,0.36016,-0.2015,0.1987,-0.0047,-0.1186,1.1051
O102,0,E,10.25,O,,,,,,,,,,,
O105,0,E,10.5,O,0.1,-0.3333,09/02/2023,1,100.0,0.3875,-0.1479,0.162,-0.0056,-0.0558,0.8498
O107,0,E,10.75,O,0.1,,09/02/2023,1,160.0,,,,,,
O110,0,E,11.0,O,,,,,,,,,,,
O112,0,E,11.25,O,0.05,-0.8148,16/02/2023,8,1810.0,0.34953,-0.3639,0.2812,-0.0065,-0.1297,1.4344
O115,0,E,11.5,O,0.52,,03/02/2023,1,520.0,0.34641,-0.4365,0.2977,-0.0063,-0.0122,1.5046
O117,0,E,11.75,O,0.47,,08/02/2023,2,3015.0,,,,,,
O120,0,E,12.0,O,0.25,0.1905,17/02/2023,1,500.0,0.44344,-0.2145,0.1846,-0.0105,-0.042,1.0401
O122,0,E,12.25,O,0.25,-0.1667,17/02/2023,1,50.0,0.39,-0.3329,0.2688,-0.0105,-0.0419,1.2598
O125,0,E,12.5,O,0.35,0.0938,17/02/2023,1,385.0,0.44375,-0.3113,0.2287,-0.0128,-0.0365,1.2308
O127,0,E,12.75,O,,,,,,,,,,,
O130,0,E,13.0,A,0.56,,16/02/2023,2,6714.0,,,,,,
O132,0,E,13.25,A,0.7,-0.2784,17/02/2023,1,700.0,,,,,,
O137,0,E,13.75,I,,,,,,,,,,,
O140,0,E,14.0,I,,,,,,,,,,,
O145,0,E,14.5,I,,,,,,,,,,,
O150,0,E,15.0,I,,,,,,,,,,,
O152,0,E,15.25,I,,,,,,,,,,,
O157,0,E,15.75,I,,,,,,,,,,,
