TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U880,0,E,8.8,O,0.02,1.0,15/07/2022,1,10.0,,,,,,
U920,0,E,9.2,O,0.01,-0.5,28/07/2022,1,105.0,,,,,,
U960,0,E,9.6,O,,,,,,,,,,,
U100,0,E,10.0,O,0.03,,09/08/2022,1,45.0,,,,,,
U110,0,E,11.0,O,,,,,,,,,,,
U115,0,E,11.5,O,,,,,,,,,,,
U120,0,E,12.0,O,0.02,,08/08/2022,1,2.0,,,,,,
U125,0,E,12.5,O,0.04,,09/08/2022,3,75.0,,,,,,
U130,0,E,13.0,O,0.23,,26/07/2022,7,25045.0,0.48719,-0.0925,0.0572,-0.006,-0.0261,0.9865
U135,0,E,13.5,O,0.02,-0.5,19/08/2022,1,20.0,0.47484,-0.105,0.0676,-0.0069,-0.345,1.0293
U140,0,E,14.0,O,0.04,0.0,22/08/2022,1,20.0,0.48281,-0.0858,0.0574,-0.0068,-0.17,0.8858
U145,0,E,14.5,O,0.03,-0.6667,17/08/2022,2,11.0,0.45609,-0.1598,0.0955,-0.0091,-0.3033,1.3569
U150,0,E,15.0,O,0.03,-0.25,19/08/2022,5,1086.0,0.50109,-0.0887,0.0563,-0.0082,-0.2733,0.915
U155,0,E,15.5,O,0.15,0.1538,19/08/2022,1,75.0,0.49781,-0.0887,0.0562,-0.0086,-0.0573,0.9221
U160,0,E,16.0,O,0.16,-0.2,16/08/2022,2,512.0,0.49359,-0.0944,0.0682,-0.0105,-0.0656,0.8396
U165,0,E,16.5,O,0.15,0.3636,22/08/2022,3,448.0,0.47062,-0.1194,0.0754,-0.0107,-0.0713,1.1202
U170,0,E,17.0,O,0.23,0.2105,22/08/2022,2,266.0,0.46,-0.1685,0.1089,-0.0143,-0.0622,1.2644
U175,0,E,17.5,O,0.32,0.4545,19/08/2022,1,320.0,0.45031,-0.2292,0.1339,-0.0165,-0.0516,1.5234
U180,1,E,18.0,O,0.47,0.0217,22/08/2022,5,3619.0,0.44375,-0.3086,0.1581,-0.0184,-0.0391,1.7673
U185,1,E,18.5,A,0.64,-0.0154,22/08/2022,15,56287.0,0.44016,-0.3918,0.1738,-0.0192,-0.03,1.9293
U190,1,E,19.0,A,0.88,0.6604,19/08/2022,17,36359.0,0.4368,-0.4802,0.1816,-0.0189,-0.0215,2.0015
U195,1,E,19.5,I,1.21,0.0431,22/08/2022,5,9952.0,0.43109,-0.5729,0.1813,-0.0171,-0.0141,1.9689
U200,0,E,20.0,I,1.45,0.0069,22/08/2022,1,1450.0,0.44141,-0.6208,0.1658,-0.0158,-0.0109,1.9779
U205,0,E,20.5,I,1.75,0.2411,19/08/2022,1,2275.0,0.42578,-0.6049,0.1646,-0.0153,-0.0087,2.1154
U210,0,E,21.0,I,,,,,,,,,,,
U215,0,E,21.5,I,3.1,0.0065,16/08/2022,1,310.0,,,,,,
U220,0,E,22.0,I,2.24,,17/08/2022,2,3571.0,,,,,,
U225,0,E,22.5,I,2.73,-0.2681,17/08/2022,1,273.0,,,,,,
U230,0,E,23.0,I,4.05,,16/08/2022,2,11745.0,,,,,,
U245,0,E,24.5,I,4.75,0.0795,18/08/2022,2,9275.0,,,,,,
U255,0,E,25.5,I,5.73,-0.0773,18/08/2022,1,12606.0,,,,,,
U262,0,E,26.25,I,7.2,0.0184,22/08/2022,7,41762.0,,,,,,
U265,0,E,26.5,I,6.6,-0.0859,18/08/2022,1,15180.0,,,,,,
U270,0,E,27.0,I,8.78,-0.0394,11/08/2022,1,29852.0,,,,,,
