TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
O200,0,E,3.51,O,0.01,0.0,14/02/2023,2,8.0,1.7275,-0.0022,0.0004,-0.0012,-0.1195,0.0727
O651,0,E,6.51,O,,,,,,,,,,,
O119,0,E,8.06,O,0.01,0.0,14/02/2023,1,1.0,1.35,-0.0032,0.0007,-0.0018,-0.1836,0.0953
O121,0,E,8.36,O,0.01,0.0,26/01/2023,1,10.0,,,,,,
O123,0,E,8.56,O,0.01,0.0,09/02/2023,1,17.0,1.345,-0.003,0.0006,-0.0019,-0.1856,0.0966
O137,0,E,8.76,O,0.01,,25/01/2023,1,1.0,,,,,,
O138,0,E,9.06,O,0.01,0.0,03/02/2023,1,100.0,,,,,,
O140,0,E,9.26,O,0.01,,25/01/2023,1,1.0,,,,,,
O145,0,E,9.56,O,0.01,,25/01/2023,1,1.0,1.1375,-0.0038,0.001,-0.0018,-0.1766,0.1126
O152,0,E,9.76,O,,,,,,1.12,-0.0039,0.0011,-0.0018,,0.1129
O132,0,E,10.01,O,0.01,0.0,14/02/2023,5,10.0,1.09625,-0.004,0.0011,-0.0018,-0.1799,0.1157
O175,0,E,10.26,O,0.01,0.0,13/02/2023,1,10.0,1.0675,-0.0042,0.0012,-0.0018,-0.1792,0.1185
O105,0,E,10.51,O,0.01,0.0,14/02/2023,2,2.0,1.0425,-0.0043,0.0013,-0.0018,-0.179,0.1213
O154,0,E,10.76,O,0.01,0.0,02/02/2023,2,100.0,1.0175,-0.0045,0.0014,-0.0018,-0.182,0.1227
O181,0,E,11.01,O,0.01,-0.5,06/02/2023,2,51.0,,,,,,
O92,0,E,11.26,O,0.01,0.0,02/02/2023,3,2001.0,0.99875,-0.005,0.0017,-0.0021,-0.2054,0.1237
O280,0,E,11.51,O,0.01,0.0,16/02/2023,1,2.0,1.0875,-0.0045,0.0014,-0.0023,-0.2264,0.1161
O117,0,E,11.76,O,0.01,-0.5,02/02/2023,6,11.0,0.95375,-0.0053,0.0019,-0.002,-0.2043,0.1291
O120,0,E,12.01,O,0.01,0.0,07/02/2023,2,201.0,0.93375,-0.0064,0.0021,-0.0023,-0.2272,0.1677
O122,0,E,12.26,O,0.01,,07/02/2023,5,5.0,0.9725,-0.0054,0.0019,-0.0023,-0.2278,0.1262
O157,0,E,12.51,O,0.02,0.0,03/02/2023,2,10.0,0.95125,-0.0055,0.002,-0.0023,-0.1135,0.1287
O127,0,E,12.76,O,0.01,0.0,09/02/2023,1,1.0,,,,,,
O130,0,E,13.01,O,0.02,,03/02/2023,2,300.0,0.935,-0.0056,0.0021,-0.0024,-0.118,0.1309
O13,0,E,13.26,O,0.01,0.0,13/02/2023,3,415.0,1.00375,-0.0054,0.002,-0.0027,-0.271,0.1226
O330,0,E,13.41,O,0.01,0.0,14/02/2023,2,21.0,0.9825,-0.0056,0.0021,-0.0027,-0.2692,0.1245
O136,0,E,13.66,O,0.03,0.0,03/02/2023,1,6.0,0.9925,-0.0054,0.0019,-0.0027,-0.091,0.125
O139,0,E,13.91,O,0.01,-0.6667,15/02/2023,2,37.0,0.845,-0.0067,0.0029,-0.0025,-0.2499,0.1415
O141,0,E,14.16,O,0.01,0.0,16/02/2023,3,3.0,0.82125,-0.0068,0.0031,-0.0025,-0.2472,0.1441
O307,0,E,14.26,O,0.01,0.0,14/02/2023,3,43.0,0.93625,-0.0057,0.0022,-0.0027,-0.2701,0.1313
O310,0,E,14.51,O,0.01,0.0,14/02/2023,6,673.0,0.94375,-0.0077,0.0029,-0.0035,-0.3538,0.1629
O147,0,E,14.76,O,0.01,0.0,16/02/2023,5,5.0,0.93125,-0.0062,0.0026,-0.0031,-0.3074,0.1295
O150,0,E,15.01,O,0.01,-0.6667,14/02/2023,5,162.0,0.86125,-0.0065,0.0027,-0.0028,-0.2769,0.14
O288,0,E,15.26,O,0.01,0.0,16/02/2023,10,627.0,0.8775,-0.0066,0.0029,-0.003,-0.3039,0.1361
O319,0,E,15.51,O,0.01,0.0,17/02/2023,6,205.0,0.81875,-0.0049,0.0024,-0.0022,-0.2178,0.1047
O15,0,E,15.76,O,0.01,0.0,17/02/2023,1,120.0,0.83625,-0.007,0.0032,-0.003,-0.3022,0.1423
O160,0,E,16.01,O,0.01,-0.5,16/02/2023,3,285.0,0.81625,-0.0071,0.0033,-0.003,-0.3017,0.1457
O161,0,E,16.26,O,0.01,0.0,17/02/2023,5,1126.0,,,,,,
O165,0,E,16.51,O,0.01,-0.5,17/02/2023,9,1057.0,0.78125,-0.0077,0.0038,-0.0031,-0.314,0.1502
O166,0,E,16.76,O,0.01,-0.5,17/02/2023,8,301.0,,,,,,
O170,0,E,17.01,O,0.01,0.0,17/02/2023,2,1050.0,0.735,-0.0081,0.0043,-0.0031,-0.3087,0.1573
O172,0,E,17.26,O,0.02,0.0,16/02/2023,5,863.0,0.71375,-0.0084,0.0045,-0.0031,-0.1536,0.1614
O207,0,E,17.51,O,0.02,0.0,17/02/2023,1,2.0,0.6925,-0.0086,0.0048,-0.003,-0.1524,0.1653
O276,0,E,17.76,O,0.02,0.0,17/02/2023,4,71.0,,,,,,
O180,0,E,18.01,O,0.02,0.0,17/02/2023,10,699.0,0.68187,-0.0113,0.0061,-0.0038,-0.1912,0.2112
O104,0,E,18.26,O,0.03,0.5,17/02/2023,8,1205.0,0.66125,-0.0117,0.0065,-0.0038,-0.127,0.2173
O99,0,E,18.51,O,0.03,0.0,17/02/2023,3,1205.0,0.63937,-0.012,0.0069,-0.0038,-0.1254,0.2222
O109,0,E,18.76,O,0.02,-0.3333,17/02/2023,4,1902.0,0.63563,-0.0149,0.0083,-0.0045,-0.2233,0.2659
O129,0,E,19.01,O,0.03,-0.25,17/02/2023,2,90.0,,,,,,
O387,0,E,19.16,O,0.02,-0.3333,17/02/2023,4,50.0,,,,,,
O133,0,E,19.26,O,0.03,0.0,17/02/2023,1,60.0,0.61562,-0.0179,0.0101,-0.0051,-0.169,0.3126
O193,0,E,19.41,O,0.03,0.0,17/02/2023,6,206.0,0.59875,-0.0184,0.0107,-0.005,-0.168,0.32
O110,0,E,19.51,O,0.03,0.0,17/02/2023,6,4670.0,0.60875,-0.0208,0.0116,-0.0057,-0.1895,0.3551
O19,0,E,19.66,O,0.03,0.0,17/02/2023,11,1160.0,0.59594,-0.0212,0.012,-0.0056,-0.1882,0.3607
O167,0,E,19.76,O,0.04,0.0,17/02/2023,7,233.0,0.60062,-0.0236,0.0131,-0.0062,-0.156,0.3958
