TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X150,0,E,15.0,O,,,,,,,,,,,
X152,0,E,15.25,O,,,,,,,,,,,
X155,0,E,15.5,O,,,,,,,,,,,
X157,0,E,15.75,O,,,,,,,,,,,
X160,0,E,16.0,O,0.01,0.0,21/11/2022,1,44.0,,,,,,
X162,0,E,16.25,O,,,,,,,,,,,
X165,0,E,16.5,O,,,,,,,,,,,
X167,0,E,16.75,O,,,,,,,,,,,
X170,0,E,17.0,O,,,,,,,,,,,
X172,0,E,17.25,O,,,,,,,,,,,
X175,0,E,17.5,O,,,,,,,,,,,
X177,0,E,17.75,O,,,,,,,,,,,
X180,0,E,18.0,O,,,,,,,,,,,
X182,0,E,18.25,O,,,,,,,,,,,
X185,0,E,18.5,O,,,,,,,,,,,
X187,0,E,18.75,O,,,,,,,,,,,
X190,0,E,19.0,O,0.28,-0.5692,27/09/2022,10,1464.0,,,,,,
X192,0,E,19.25,O,,,,,,,,,,,
X195,0,E,19.5,O,0.8,-0.2,25/05/2022,1,80.0,,,,,,
X197,0,E,19.75,O,,,,,,0.65562,-0.0257,0.0071,-0.0055,,0.766
X200,0,E,20.0,O,0.03,0.5,21/11/2022,2,15.0,,,,,,
X202,0,E,20.25,O,,,,,,,,,,,
X205,0,E,20.5,O,,,,,,,,,,,
X207,0,E,20.75,O,,,,,,,,,,,
X210,0,E,21.0,O,0.18,-0.9053,21/10/2022,2,843.0,,,,,,
X212,0,E,21.25,O,,,,,,0.71531,-0.0245,0.0065,-0.007,,0.7138
X215,0,E,21.5,O,2.5,0.4286,28/06/2022,2,500.0,0.70687,-0.026,0.0069,-0.0073,-0.0029,0.7491
X217,0,E,21.75,O,,,,,,0.70641,-0.029,0.0074,-0.0079,,0.8372
X220,0,E,22.0,O,0.07,-0.125,24/11/2022,1,70.0,,,,,,
X222,0,E,22.25,O,0.1,,26/10/2022,1,10.0,,,,,,
X225,0,E,22.5,O,0.1,-0.9615,26/10/2022,1,10.0,0.67125,-0.0322,0.0087,-0.0082,-0.0819,0.8963
X227,0,E,22.75,O,,,,,,,,,,,
X230,0,E,23.0,O,0.13,-0.35,26/10/2022,1,650.0,0.62359,-0.0357,0.0101,-0.008,-0.0615,0.9783
X232,0,E,23.25,O,,,,,,,,,,,
X235,0,E,23.5,O,0.75,0.3889,27/09/2022,1,7500.0,0.6325,-0.0392,0.0108,-0.009,-0.012,1.0517
X237,0,E,23.75,O,2.11,,17/08/2022,2,429.0,0.60938,-0.0393,0.0108,-0.0084,-0.004,1.0908
X240,0,E,24.0,O,0.1,0.6667,04/11/2022,2,110.0,0.63063,-0.0174,0.0053,-0.0053,-0.0525,0.5537
X242,0,E,24.25,O,,,,,,0.61187,-0.0471,0.0127,-0.0099,,1.2447
X245,0,E,24.5,O,0.11,-0.5,17/11/2022,2,1353.0,,,,,,
X247,0,E,24.75,O,0.24,-0.7692,24/10/2022,2,246.0,,,,,,
X250,0,E,25.0,O,0.09,-0.25,25/11/2022,1,45.0,,,,,,
X255,0,E,25.5,O,,,,,,,,,,,
X26,0,E,26.0,O,0.11,-0.7179,22/11/2022,2,570.0,0.53234,-0.0765,0.0211,-0.0117,-0.1064,1.8397
X265,0,E,26.5,O,0.31,,21/10/2022,2,992.0,,,,,,
X270,0,E,27.0,O,0.11,-0.1538,28/11/2022,1,110.0,,,,,,
X275,0,E,27.5,O,0.1,-0.0909,28/11/2022,2,50.0,0.62844,-0.0528,0.0203,-0.0179,-0.1795,0.9075
X280,0,E,28.0,O,0.13,5.5,28/11/2022,3,351.0,0.61297,-0.0495,0.0203,-0.0174,-0.134,0.8415
X285,0,E,28.5,O,0.15,0.0714,28/11/2022,1,450.0,0.59578,-0.0585,0.0238,-0.0193,-0.1284,0.961
X290,0,E,29.0,O,0.11,-0.3889,29/11/2022,2,242.0,0.58547,-0.0527,0.0228,-0.0184,-0.1671,0.8643
X295,0,E,29.5,O,0.13,-0.381,29/11/2022,3,233.0,0.56922,-0.0644,0.0275,-0.0208,-0.1601,1.0108
X300,0,E,30.0,O,0.16,-0.3333,29/11/2022,19,1451.0,0.55906,-0.0774,0.0323,-0.0235,-0.1468,1.1657
X302,0,E,30.25,O,0.19,-0.2692,24/11/2022,10,4941.0,0.54109,-0.0817,0.0347,-0.0236,-0.1241,1.2136
X305,0,E,30.5,O,0.2,-0.3103,24/11/2022,8,2440.0,0.54047,-0.0917,0.0379,-0.0256,-0.1282,1.3233
X307,0,E,30.75,O,0.21,-0.475,29/11/2022,2,105.0,0.53219,-0.0987,0.0406,-0.0266,-0.1267,1.3987
X310,0,E,31.0,O,0.26,-0.2778,29/11/2022,4,452.0,0.52547,-0.1096,0.0444,-0.0282,-0.1085,1.5072
X312,0,E,31.25,O,0.41,-0.0465,28/11/2022,1,164.0,0.51852,-0.1204,0.0481,-0.0297,-0.0723,1.6111
X315,0,E,31.5,O,0.28,-0.4909,29/11/2022,2,301.0,0.5082,-0.132,0.0524,-0.0308,-0.1102,1.7164
X320,0,E,32.0,O,0.38,-0.24,29/11/2022,13,2521.0,0.5007,-0.1593,0.0603,-0.0343,-0.0902,1.9488
X322,0,E,32.25,O,0.4,-0.2593,29/11/2022,2,1087.0,0.49812,-0.1703,0.0632,-0.0356,-0.0889,2.0393
