TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X109,0,E,10.98,O,,,,,,,,,,,
X114,0,E,11.48,O,,,,,,,,,,,
X119,0,E,11.98,O,,,,,,,,,,,
X124,0,E,12.48,O,,,,,,,,,,,
X129,0,E,12.98,O,,,,,,,,,,,
X134,0,E,13.48,O,,,,,,,,,,,
X139,0,E,13.98,O,,,,,,,,,,,
X144,0,E,14.48,O,0.03,-0.25,08/12/2022,1,3.0,,,,,,
X149,0,E,14.98,O,0.03,-0.25,23/11/2022,1,18.0,,,,,,
X155,0,E,15.48,O,0.02,-0.8667,08/12/2022,1,56.0,0.49375,-0.0362,0.0204,-0.0038,-0.1924,0.6259
X159,0,E,15.98,O,0.03,0.0,06/12/2022,1,30.0,0.50031,-0.0989,0.064,-0.0102,-0.3394,0.9463
X164,0,E,16.48,O,0.11,1.2,08/12/2022,16,3139.0,0.42875,-0.1527,0.2034,-0.0213,-0.1937,0.6386
X169,1,E,16.98,O,0.17,0.8889,08/12/2022,45,34369.0,0.44562,-0.1803,0.2125,-0.0252,-0.1484,0.7288
X174,1,E,17.48,A,0.59,6.375,08/12/2022,9,2783.0,0.40031,-0.3979,0.3535,-0.0311,-0.0527,1.0519
X179,1,E,17.98,I,0.69,2.6316,08/12/2022,25,28797.0,0.39,-0.646,0.3533,-0.0261,-0.0378,1.0037
X182,0,E,18.23,I,0.87,2.625,08/12/2022,33,59840.0,0.39797,-0.7211,0.3127,-0.0227,-0.0261,0.907
X184,1,E,18.48,I,1.0,2.4483,08/12/2022,31,88778.0,0.40531,-0.7845,0.2673,-0.0186,-0.0186,0.79
X189,0,E,18.98,I,1.3,1.5,08/12/2022,21,111729.0,0.43125,-0.8723,0.1794,-0.0111,-0.0086,0.5641
X194,0,E,19.48,I,1.95,1.0745,08/12/2022,36,1102450.0,0.48719,-0.9094,0.124,-0.0081,-0.0042,0.4409
X199,0,E,19.98,I,2.1,0.4583,08/12/2022,1,630.0,0.36922,-0.7875,0.2217,-0.0123,-0.0059,1.0289
X204,0,E,20.48,I,2.37,0.7955,08/12/2022,1,237.0,0.37984,-0.6318,0.222,-0.0173,-0.0073,1.6851
X209,0,E,20.98,I,1.82,0.0643,01/12/2022,1,728.0,0.39672,-0.5903,0.162,-0.0131,-0.0072,2.3503
X214,0,E,21.48,I,3.68,0.2603,08/12/2022,1,1840.0,0.39586,-0.6649,0.1522,-0.0108,-0.0029,2.2031
X219,0,E,21.98,I,2.55,-0.3108,18/11/2022,1,2550.0,0.37187,-0.6174,0.1463,-0.0093,-0.0037,2.6754
X224,0,E,22.48,I,2.01,0.1167,09/11/2022,3,7068.0,0.35813,-0.5054,0.1473,-0.0113,-0.0056,3.0156
X229,0,E,22.98,I,2.04,,04/11/2022,1,2448.0,0.37687,-0.7738,0.1154,-0.0035,-0.0017,2.0796
X234,0,E,23.48,I,1.66,-0.4575,03/11/2022,2,11952.0,0.3582,-0.6121,0.1401,-0.0092,-0.0055,2.925
X239,0,E,23.98,I,2.05,,03/11/2022,1,2460.0,0.34617,-0.7028,0.1319,-0.0056,-0.0027,2.6258
X245,0,E,24.48,I,6.21,0.5146,08/12/2022,14,1452915.0,,,,,,
X250,0,E,24.98,I,3.07,-0.3604,01/11/2022,1,24560.0,0.39141,-0.7912,0.0718,0.0023,0.0007,2.935
X254,0,E,25.48,I,,,,,,,,,,,
X264,0,E,26.48,I,,,,,,,,,,,
X274,0,E,27.48,I,,,,,,,,,,,
X284,0,E,28.48,I,,,,,,,,,,,
X294,0,E,29.48,I,,,,,,,,,,,
X304,0,E,30.48,I,,,,,,,,,,,
X314,0,E,31.48,I,,,,,,,,,,,
