TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M426,0,E,42.31,O,0.05,0.0,06/01/2023,2,50.0,,,,,,
M446,0,E,44.31,O,0.48,-0.2131,19/12/2022,1,144.0,,,,,,
M466,0,E,46.31,O,0.13,0.0,10/01/2023,4,117.0,0.44906,-0.068,0.0201,-0.0217,-0.1669,1.9103
M486,0,E,48.31,O,0.16,-0.7778,10/01/2023,1,160.0,0.45242,-0.245,0.0652,-0.0617,-0.3857,3.3518
M495,0,E,49.31,O,0.65,-0.1667,09/01/2023,1,130.0,0.4407,-0.3281,0.0772,-0.0672,-0.1034,3.8384
M490,0,E,49.81,O,0.41,-0.4058,10/01/2023,1,205.0,0.43996,-0.3668,0.0805,-0.0692,-0.1687,4.0014
M506,0,E,50.31,O,0.43,-0.5114,10/01/2023,7,2413.0,0.43273,-0.2997,0.0773,-0.0691,-0.1607,3.611
M516,1,E,51.31,O,0.6,-0.5522,10/01/2023,9,9536.0,0.3975,-0.309,0.0942,-0.073,-0.1217,3.3139
M526,1,E,52.31,O,1.02,-0.4365,10/01/2023,18,21757.0,0.40609,-0.4017,0.1011,-0.0803,-0.0787,3.6448
M536,1,E,53.31,A,1.4,-0.5541,10/01/2023,6,6503.0,0.40562,-0.4502,0.1025,-0.0816,-0.0583,3.7676
M546,1,E,54.31,A,2.1,-0.1667,10/01/2023,2,1142.0,0.42992,-0.4737,0.1025,-0.0956,-0.0455,3.5973
M556,0,E,55.31,I,2.22,-0.0348,10/01/2023,7,1897.0,0.39156,-0.6558,0.0988,-0.0653,-0.0294,3.5039
M566,0,E,56.31,I,4.21,0.3494,27/12/2022,11,18348.0,0.44172,-0.7896,0.0542,-0.0299,-0.0071,3.4753
M576,0,E,57.31,I,3.5,-0.3,10/01/2023,1,350.0,0.43898,-0.8367,0.0466,-0.0199,-0.0057,2.9704
M581,0,E,57.81,I,6.8,0.7,05/01/2023,1,1360.0,0.43045,-0.5358,0.0472,-0.0354,-0.0052,7.7742
M586,0,E,58.31,I,7.3,0.3394,05/01/2023,1,1460.0,0.42848,-0.5585,0.0471,-0.0339,-0.0047,7.7222
M596,0,E,59.31,I,5.65,-0.3152,10/01/2023,3,2443.0,0.2707,-0.9197,0.037,0.0149,0.0026,2.2217
M606,0,E,60.31,I,9.25,0.5948,05/01/2023,1,925.0,0.2,-0.9868,0.0114,0.0298,0.0032,0.5049
M616,0,E,61.31,I,7.9,-0.2864,20/12/2022,5,39690.0,0.41486,-0.5529,0.0431,-0.0301,-0.0038,8.7435
M626,0,E,62.31,I,10.05,0.6341,06/01/2023,2,50250.0,0.4124,-0.594,0.0425,-0.0272,-0.0027,8.5751
M636,0,E,63.31,I,10.6,-0.1789,09/01/2023,2,2130.0,0.39496,-0.7408,0.0401,-0.0128,-0.0012,6.614
M646,0,E,64.31,I,10.9,0.2749,21/12/2022,2,54800.0,0.42559,-0.5688,0.0374,-0.0272,-0.0025,9.692
M651,0,E,64.81,I,14.21,-0.0104,15/12/2022,2,30131.0,0.42406,-0.5867,0.0372,-0.0258,-0.0018,9.6053
M660,0,E,65.31,I,12.95,-0.0783,09/01/2023,6,129800.0,0.43822,-0.5902,0.0344,-0.0246,-0.0019,10.0143
M661,0,E,65.81,I,,,,,,,,,,,
M666,0,E,66.31,I,,,,,,,,,,,
M675,0,E,66.81,I,9.94,-0.3351,23/12/2022,2,10970.0,,,,,,
M676,0,E,67.31,I,,,,,,,,,,,
M690,0,E,68.31,I,,,,,,,,,,,
M696,0,E,69.31,I,,,,,,,,,,,
M706,0,E,70.31,I,17.9,-0.1517,19/12/2022,3,5370.0,,,,,,
M716,0,E,71.31,I,19.3,-0.0676,19/12/2022,3,5820.0,,,,,,
M726,0,E,72.31,I,,,,,,,,,,,
M736,0,E,73.31,I,,,,,,,,,,,
M746,0,E,74.31,I,,,,,,,,,,,
M756,0,E,75.31,I,,,,,,,,,,,
M766,0,E,76.31,I,,,,,,,,,,,
M776,0,E,77.31,I,,,,,,,,,,,
M786,0,E,78.31,I,,,,,,,,,,,
M796,0,E,79.31,I,,,,,,,,,,,
M816,0,E,81.31,I,,,,,,,,,,,
M836,0,E,83.31,I,,,,,,,,,,,
