TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M185,0,E,18.53,O,0.03,,28/12/2022,3,417.0,,,,,,
M195,0,E,19.53,O,,,,,,,,,,,
M205,0,E,20.53,O,,,,,,,,,,,
M215,0,E,21.53,O,0.02,-0.3333,16/12/2022,1,104.0,,,,,,
M220,0,E,22.03,O,,,,,,,,,,,
M225,0,E,22.53,O,,,,,,,,,,,
M230,0,E,23.03,O,0.02,-0.75,26/12/2022,1,100.0,0.30594,-0.0843,0.0622,-0.0065,-0.3228,1.2582
M235,0,E,23.53,O,0.02,-0.8824,04/01/2023,1,14.0,,,,,,
M240,0,E,24.03,O,0.06,5.0,06/01/2023,2,13.0,0.31039,-0.1983,0.1112,-0.011,-0.1838,2.2484
M245,0,E,24.53,O,0.01,-0.8333,09/01/2023,2,16.0,0.30242,-0.2587,0.1326,-0.012,-1.1957,2.6109
M250,0,E,25.03,O,0.01,0.0,10/01/2023,2,3.0,0.3025,-0.0393,0.0394,-0.0051,-0.5098,0.6055
M255,0,E,25.53,O,0.01,0.0,10/01/2023,2,2.0,0.35,-0.0207,0.026,-0.005,-0.4981,0.2734
M260,0,E,26.03,O,0.04,0.3333,10/01/2023,7,76.0,0.31594,-0.0651,0.0674,-0.0098,-0.2456,0.7568
M265,0,E,26.53,O,0.07,-0.4167,06/01/2023,2,35.0,0.27672,-0.1478,0.1174,-0.0118,-0.1691,1.642
M270,0,E,27.03,O,0.03,-0.7,10/01/2023,38,371.0,0.28109,-0.2473,0.1843,-0.0187,-0.6219,1.9269
M275,0,E,27.53,O,0.12,-0.4,10/01/2023,3,144.0,0.30969,-0.1556,0.1331,-0.0189,-0.1574,1.3843
M280,0,E,28.03,O,0.12,-0.4783,10/01/2023,13,2089.0,0.30414,-0.2352,0.1746,-0.0232,-0.1934,1.7806
M285,0,E,28.53,O,0.39,-0.3276,06/01/2023,19,4507.0,0.29797,-0.3061,0.2025,-0.0253,-0.0649,2.0401
M290,0,E,29.03,O,0.42,-0.125,10/01/2023,10,21386.0,0.35016,-0.2265,0.1596,-0.0316,-0.0753,1.6215
M295,1,E,29.53,O,0.43,-0.4557,10/01/2023,85,50334.0,0.34586,-0.3169,0.1912,-0.036,-0.0837,1.9176
M300,1,E,30.03,A,0.6,-0.5,10/01/2023,2,120.0,,,,,,
M305,1,E,30.53,A,2.36,-0.4636,04/01/2023,1,5428.0,,,,,,
M330,1,E,31.03,A,1.17,-0.3842,10/01/2023,24,57805.0,0.37109,-0.5952,0.1932,-0.0381,-0.0326,2.0949
M315,0,E,31.53,I,,,,,,,,,,,
M320,0,E,32.03,I,,,,,,,,,,,
M325,0,E,32.53,I,,,,,,,,,,,
M33,0,E,33.03,I,,,,,,,,,,,
M335,0,E,33.53,I,5.1,-0.0377,23/12/2022,1,10200.0,,,,,,
M340,0,E,34.03,I,4.66,-0.2021,09/01/2023,1,4660.0,,,,,,
M345,0,E,34.53,I,,,,,,,,,,,
M350,0,E,35.03,I,,,,,,,,,,,
M355,0,E,35.53,I,,,,,,,,,,,
M360,0,E,36.03,I,,,,,,,,,,,
M370,0,E,37.03,I,,,,,,,,,,,
M380,0,E,38.03,I,,,,,,,,,,,
M390,0,E,39.03,I,11.7,,12/12/2022,1,11700.0,,,,,,
M400,0,E,40.03,I,11.9,,01/12/2022,1,11900.0,,,,,,
