TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M115,0,E,10.71,O,,,,,,,,,,,
M125,0,E,11.71,O,,,,,,,,,,,
M135,0,E,12.71,O,,,,,,,,,,,
M145,0,E,13.71,O,,,,,,,,,,,
M155,0,E,14.71,O,0.15,0.1538,21/12/2022,1,15.0,,,,,,
M165,0,E,15.71,O,0.05,-0.375,04/01/2023,2,25.0,0.30812,-0.0786,0.1075,-0.0059,-0.1174,0.6498
M170,0,E,16.21,O,0.09,-0.3077,09/01/2023,3,62.0,0.36,-0.1641,0.2114,-0.0145,-0.161,0.8042
M175,0,E,16.71,O,0.17,-0.2609,09/01/2023,7,1103.0,0.25766,-0.4453,0.4854,-0.0137,-0.0803,1.2487
M180,0,E,17.21,A,0.4,-0.2,09/01/2023,1,40.0,,,,,,
M190,0,E,17.71,I,0.73,-0.0267,09/01/2023,1,730.0,0.29273,-0.3145,0.16,-0.0063,-0.0087,2.6901
M195,0,E,18.71,I,1.49,-0.3918,09/01/2023,2,447.0,,,,,,
M205,0,E,19.71,I,1.83,,07/12/2022,1,183.0,,,,,,
M210,0,E,20.21,I,,,,,,,,,,,
M215,0,E,20.71,I,,,,,,,,,,,
M220,0,E,21.21,I,,,,,,,,,,,
M225,0,E,21.71,I,,,,,,,,,,,
M230,0,E,22.21,I,,,,,,,,,,,
M235,0,E,22.71,I,,,,,,,,,,,
M240,0,E,23.21,I,,,,,,,,,,,
M245,0,E,23.71,I,,,,,,,,,,,
M250,0,E,24.21,I,,,,,,,,,,,
