TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
V342,0,E,34.2,O,0.18,-0.55,28/09/2022,4,253654.0,,,,,,
V352,0,E,35.2,O,0.4,,27/09/2022,1,200.0,,,,,,
V362,0,E,36.2,O,0.55,0.1,27/09/2022,1,275.0,,,,,,
V372,0,E,37.2,O,0.45,0.2162,26/09/2022,1,45.0,,,,,,
V377,0,E,37.7,O,0.75,,26/09/2022,4,3045.0,,,,,,
V382,0,E,38.2,O,0.8,0.0667,27/09/2022,1,1600.0,,,,,,
V387,0,E,38.7,O,0.88,-0.0222,28/09/2022,1,17688.0,,,,,,
V392,0,E,39.2,O,,,,,,,,,,,
V397,0,E,39.7,O,1.17,1.0893,26/09/2022,5,1287.0,,,,,,
V402,0,E,40.2,O,0.95,-0.3116,28/09/2022,1,285.0,,,,,,
V407,0,E,40.7,O,1.23,-0.2971,28/09/2022,4,2073.0,,,,,,
V412,0,E,41.2,O,1.2,-0.337,28/09/2022,1,120.0,,,,,,
V417,0,E,41.7,O,1.7,0.0759,27/09/2022,6,1889.0,,,,,,
V422,0,E,42.2,O,1.22,-0.3711,28/09/2022,6,888.0,,,,,,
V427,0,E,42.7,O,1.8,-0.2913,28/09/2022,2,2700.0,0.70492,-0.3312,0.0427,-0.0763,-0.0424,4.3715
V432,0,E,43.2,O,1.6,-0.36,28/09/2022,3,2234845.0,0.66422,-0.415,0.0516,-0.0753,-0.0471,4.431
V437,0,E,43.7,O,2.07,-0.2607,28/09/2022,1,207.0,0.65594,-0.4426,0.053,-0.0745,-0.036,4.4848
V442,1,E,44.2,O,2.08,-0.318,28/09/2022,1,208.0,0.65305,-0.4674,0.0536,-0.074,-0.0356,4.5202
V447,0,E,44.7,O,3.4,0.2782,27/09/2022,3,1810.0,0.58234,-0.3229,0.0465,-0.06,-0.0176,4.757
V452,1,E,45.2,A,2.96,-0.2211,28/09/2022,1,888.0,0.56926,-0.311,0.0439,-0.0555,-0.0188,4.9939
V457,1,E,45.7,A,2.53,-0.3144,28/09/2022,2,568.0,0.66922,-0.4671,0.0521,-0.0817,-0.0323,4.5372
V462,1,E,46.2,A,2.6,-0.0076,22/09/2022,1,1300.0,0.61055,-0.4905,0.0539,-0.0681,-0.0262,4.8307
V467,0,E,46.7,A,4.59,0.5666,26/09/2022,4,76832.0,0.60195,-0.5179,0.0547,-0.066,-0.0144,4.8272
V472,0,E,47.2,I,4.0,0.2308,26/09/2022,4,88734.0,0.59273,-0.5459,0.0552,-0.0635,-0.0159,4.8
V475,0,E,47.7,I,3.42,0.0459,23/09/2022,3,37371.0,0.59207,-0.5168,0.053,-0.0639,-0.0187,5.0641
V482,0,E,48.2,I,3.32,0.0779,20/09/2022,1,33200.0,0.58941,-0.5423,0.053,-0.0624,-0.0188,5.0412
V487,0,E,48.7,I,3.65,-0.0689,20/09/2022,1,730.0,0.58812,-0.5683,0.0526,-0.0607,-0.0166,4.9941
V492,0,E,49.2,I,4.82,0.8976,23/09/2022,1,482.0,0.59234,-0.5898,0.0516,-0.0598,-0.0124,4.9438
V497,0,E,49.7,I,5.1,0.5361,16/09/2022,4,118040.0,0.59371,-0.5732,0.0488,-0.0579,-0.0114,5.3112
V502,0,E,50.2,I,5.0,-0.2857,28/09/2022,1,1000.0,0.54902,-0.6473,0.0479,-0.0409,-0.0082,5.2509
V507,0,E,50.7,I,4.89,0.5928,20/09/2022,3,1440.0,0.55531,-0.6644,0.0464,-0.0399,-0.0082,5.1582
V512,0,E,51.2,I,6.28,0.5661,16/09/2022,4,144581.0,0.54937,-0.6894,0.0455,-0.0365,-0.0058,4.9919
V517,0,E,51.7,I,3.52,,13/09/2022,2,704.0,0.55871,-0.5407,0.0457,-0.0519,-0.0147,6.165
V527,0,E,52.7,I,5.74,0.7826,15/09/2022,2,108900.0,0.56102,-0.5826,0.0448,-0.0496,-0.0086,6.0654
V537,0,E,53.7,I,6.8,0.7303,16/09/2022,1,680.0,0.56457,-0.6237,0.0433,-0.0466,-0.0069,5.8947
V547,0,E,54.7,I,,,,,,0.54014,-0.5368,0.0423,-0.0487,,6.9028
V552,0,E,55.2,I,,,,,,,,,,,
V557,0,E,55.7,I,,,,,,,,,,,
V567,0,E,56.7,I,,,,,,,,,,,
V577,0,E,57.7,I,,,,,,,,,,,
V597,0,E,59.7,I,,,,,,,,,,,
V607,0,E,60.7,I,,,,,,,,,,,
V617,0,E,61.7,I,12.4,,29/08/2022,1,49600.0,,,,,,
V627,0,E,62.7,I,,,,,,,,,,,
V637,0,E,63.7,I,,,,,,,,,,,
V647,0,E,64.7,I,,,,,,,,,,,
V657,0,E,65.7,I,,,,,,,,,,,
V882,0,E,88.2,I,,,,,,,,,,,
