TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
T850,0,E,85.0,O,,,,,,,,,,,
T860,0,E,86.0,O,,,,,,,,,,,
T870,0,E,87.0,O,1.08,,07/07/2022,2,541632.0,,,,,,
T880,0,E,88.0,O,,,,,,,,,,,
T890,0,E,89.0,O,,,,,,,,,,,
T900,0,E,90.0,O,,,,,,,,,,,
T910,0,E,91.0,O,,,,,,,,,,,
T920,0,E,92.0,O,,,,,,,,,,,
T930,0,E,93.0,O,,,,,,,,,,,
T940,0,E,94.0,O,,,,,,,,,,,
T950,0,E,95.0,O,0.12,-0.9741,16/08/2022,1,60000.0,,,,,,
T960,0,E,96.0,O,,,,,,,,,,,
T970,0,E,97.0,O,0.16,-0.6522,16/08/2022,2,3021.0,,,,,,
T980,0,E,98.0,O,,,,,,,,,,,
T990,0,E,99.0,O,,,,,,,,,,,
T100,0,E,100.0,O,,,,,,,,,,,
T101,0,E,101.0,O,7.7,2.85,14/06/2022,1,770000.0,,,,,,
T102,0,E,102.0,O,,,,,,,,,,,
T103,0,E,103.0,O,0.25,-0.9785,15/08/2022,2,1063.18,,,,,,
T104,0,E,104.0,O,,,,,,,,,,,
T105,0,E,105.0,O,,,,,,,,,,,
T106,0,E,106.0,O,,,,,,,,,,,
T107,0,E,107.0,O,,,,,,,,,,,
T108,0,E,108.0,A,15.35,0.1955,26/07/2022,2,5374250.0,,,,,,
T109,0,E,109.0,A,,,,,,,,,,,
T110,0,E,110.0,A,,,,,,,,,,,
T111,0,E,111.0,A,,,,,,,,,,,
T112,0,E,112.0,I,,,,,,,,,,,
T113,0,E,113.0,I,,,,,,,,,,,
T114,0,E,114.0,I,,,,,,,,,,,
T115,0,E,115.0,I,,,,,,,,,,,
T116,0,E,116.0,I,,,,,,,,,,,
T117,0,E,117.0,I,,,,,,,,,,,
T118,0,E,118.0,I,,,,,,,,,,,
T119,0,E,119.0,I,,,,,,,,,,,
T120,0,E,120.0,I,,,,,,,,,,,
T123,0,E,123.0,I,,,,,,,,,,,
