TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
U375,0,E,37.5,O,0.06,0.2,22/08/2022,1,6.0,0.515,-0.0203,0.0065,-0.0079,-0.1317,0.7256
U385,0,E,38.5,O,0.07,-0.2222,17/08/2022,4,145.0,0.5275,-0.0259,0.0078,-0.0103,-0.1471,0.8792
U395,0,E,39.5,O,0.08,-0.2,22/08/2022,1,16.0,0.47906,-0.0364,0.0128,-0.0128,-0.16,1.0417
U410,0,E,41.0,O,0.1,0.25,22/08/2022,2,1032.0,0.43078,-0.0491,0.0181,-0.0145,-0.145,1.3252
U425,0,E,42.5,O,0.19,0.3571,22/08/2022,2,207.0,0.4,-0.0757,0.0273,-0.0185,-0.0974,1.8589
U430,0,E,43.0,O,0.23,0.5333,22/08/2022,3,91.0,0.395,-0.092,0.0321,-0.021,-0.0913,2.1484
U435,0,E,43.5,O,0.26,0.5294,22/08/2022,3,380.0,0.38852,-0.1064,0.0363,-0.0228,-0.0877,2.3926
U440,0,E,44.0,O,0.31,0.4091,22/08/2022,7,1209.0,0.38062,-0.1228,0.041,-0.0246,-0.0794,2.6502
U445,0,E,44.5,O,0.39,0.4444,22/08/2022,1,390.0,0.37211,-0.1442,0.0469,-0.0265,-0.0679,2.9576
U450,0,E,45.0,O,0.43,0.5357,22/08/2022,5,3373.0,0.36895,-0.1663,0.0519,-0.0287,-0.0667,3.2531
U455,0,E,45.5,O,0.48,0.4118,22/08/2022,4,3267.0,0.36094,-0.1929,0.0582,-0.0304,-0.0633,3.5689
U460,0,E,46.0,O,0.6,0.3953,22/08/2022,2,242.0,0.35383,-0.2214,0.0645,-0.0318,-0.053,3.8731
U465,0,E,46.5,O,0.73,0.46,22/08/2022,8,3587.0,0.34645,-0.2538,0.071,-0.033,-0.0452,4.1731
U470,0,E,47.0,O,0.85,0.6667,22/08/2022,1,85.0,0.34555,-0.2887,0.0758,-0.0346,-0.0407,4.4539
U475,0,E,47.5,O,0.97,0.3857,22/08/2022,21,13968.0,0.33969,-0.3276,0.0815,-0.0352,-0.0363,4.7076
U480,0,E,48.0,A,1.17,0.3605,22/08/2022,20,24339.0,0.33422,-0.3705,0.0867,-0.0352,-0.0301,4.9226
U485,0,E,48.5,A,1.31,0.3505,22/08/2022,7,6418.0,0.32996,-0.4145,0.0906,-0.0348,-0.0266,5.0789
U490,1,E,49.0,A,1.47,0.2895,22/08/2022,8,2891.0,0.32727,-0.4602,0.0931,-0.0339,-0.0231,5.173
U495,1,E,49.5,A,1.78,0.2899,22/08/2022,8,10987.0,0.3241,-0.5069,0.0944,-0.0323,-0.0181,5.1981
U500,1,E,50.0,I,2.1,0.3291,22/08/2022,6,11356.0,0.32238,-0.5525,0.0941,-0.0303,-0.0144,5.1548
U505,0,E,50.5,I,2.4,0.3408,22/08/2022,13,12881.0,0.32148,-0.5963,0.0924,-0.0279,-0.0116,5.0499
U510,1,E,51.0,I,2.62,0.2843,22/08/2022,15,26706.0,0.31605,-0.6455,0.0903,-0.0239,-0.0091,4.8491
U520,0,E,52.0,I,2.56,0.148,19/08/2022,10,16656.0,0.30633,-0.6273,0.0902,-0.0233,-0.0091,5.1854
U530,0,E,53.0,I,4.0,0.2158,22/08/2022,2,8350.0,0.35453,-0.5983,0.0491,-0.0114,-0.0029,8.5921
U535,0,E,53.5,I,3.0,-0.3258,18/08/2022,35,105000.0,,,,,,
U540,0,E,54.0,I,3.28,-0.182,18/08/2022,4,53006.0,,,,,,
U550,0,E,55.0,I,4.75,0.1875,19/08/2022,1,475.0,,,,,,
U560,0,E,56.0,I,5.4,0.0843,19/08/2022,1,540.0,,,,,,
U570,0,E,57.0,I,5.83,-0.0746,18/08/2022,3,25037.0,,,,,,
U600,0,E,60.0,I,10.39,0.1232,22/08/2022,1,1039.0,,,,,,
U610,0,E,61.0,I,11.0,,22/08/2022,1,33000.0,,,,,,
U630,0,E,63.0,I,,,,,,,,,,,
U650,0,E,65.0,I,13.98,-0.0183,17/08/2022,2,272610.0,,,,,,
U670,0,E,67.0,I,,,,,,,,,,,
