TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N274,0,E,26.06,O,,,,,,,,,,,
N284,0,E,27.06,O,0.01,0.0,08/02/2023,1,5.0,,,,,,
N294,0,E,28.06,O,0.01,0.0,08/02/2023,1,5.0,0.56875,-0.0093,0.0054,-0.0046,-0.4589,0.2019
N299,0,E,28.56,O,0.01,0.0,24/01/2023,3,12.0,0.40062,-0.0144,0.0096,-0.0036,-0.3566,0.3464
N304,0,E,29.06,O,0.03,-0.5,23/01/2023,3,14.0,,,,,,
N295,0,E,29.56,O,,,,,,,,,,,
N314,0,E,30.06,O,0.01,-0.5,13/02/2023,1,2.0,0.23984,-0.1353,0.0753,-0.0072,-0.7202,2.617
N305,0,E,30.56,O,,,,,,,,,,,
N324,0,E,31.06,O,0.01,0.0,13/02/2023,1,3.0,0.40187,-0.0166,0.0127,-0.0052,-0.5249,0.3342
N326,0,E,31.31,O,,,,,,,,,,,
N330,0,E,31.56,O,0.02,1.0,14/02/2023,2,7.0,,,,,,
N331,0,E,31.81,O,,,,,,,,,,,
N334,0,E,32.06,O,0.01,-0.5,14/02/2023,2,3.0,0.47625,-0.0187,0.0211,-0.012,-1.2035,0.2085
N336,0,E,32.31,O,0.09,,18/01/2023,1,315.0,,,,,,
N340,0,E,32.56,O,0.02,1.0,15/02/2023,1,6.0,0.30187,-0.0405,0.0365,-0.0078,-0.3912,0.6874
N341,0,E,32.81,O,,,,,,0.22148,-0.2016,0.1133,-0.009,,3.1545
N344,0,E,33.06,O,0.01,0.0,15/02/2023,2,2.0,0.47125,-0.026,0.0401,-0.0222,-2.2158,0.1925
N346,0,E,33.31,O,0.06,5.0,25/01/2023,1,30.0,0.21305,-0.1634,0.1072,-0.0086,-0.1432,2.664
N349,0,E,33.56,O,0.02,0.0,15/02/2023,5,8.0,0.23656,-0.058,0.0652,-0.0082,-0.411,0.8727
N351,0,E,33.81,O,0.03,2.0,14/02/2023,5,71.0,0.26094,-0.0435,0.0419,-0.0069,-0.2298,0.7768
N354,0,E,34.06,O,0.02,-0.3333,15/02/2023,4,25.0,0.26063,-0.053,0.0817,-0.0132,-0.661,0.5478
N356,0,E,34.31,O,0.02,1.0,15/02/2023,1,10.0,0.33375,-0.0449,0.0883,-0.0244,-1.2218,0.3036
N359,0,E,34.56,O,0.03,-0.6667,15/02/2023,4,102.0,0.25844,-0.0958,0.1293,-0.0204,-0.6813,0.8652
N361,0,E,34.81,O,0.02,-0.7143,15/02/2023,2,39.0,0.23203,-0.1192,0.1689,-0.0211,-1.0538,1.011
N364,0,E,35.06,O,0.07,0.75,15/02/2023,5,412.0,0.22562,-0.1494,0.2026,-0.0237,-0.3386,1.1832
N366,0,E,35.31,A,0.07,-0.3,15/02/2023,6,336.0,0.22859,-0.1553,0.3254,-0.0406,-0.5806,0.7651
N369,0,E,35.56,A,0.12,-0.25,15/02/2023,3,170.0,0.20641,-0.2789,0.509,-0.0499,-0.416,1.0746
N371,0,E,35.81,A,0.18,-0.3571,15/02/2023,8,455.0,0.21594,-0.3187,0.5142,-0.0556,-0.309,1.1479
N374,0,E,36.06,A,0.32,-0.0303,15/02/2023,9,2548.0,0.21719,-0.4566,0.5679,-0.0601,-0.1878,1.2751
N376,0,E,36.31,A,0.35,-0.0541,15/02/2023,3,613.0,0.1982,-0.5304,0.3945,-0.0294,-0.084,2.0239
N379,0,E,36.56,A,0.63,-0.087,15/02/2023,3,1827.0,0.20234,-0.5989,0.2975,-0.0192,-0.0305,2.4833
N381,0,E,36.81,I,0.9,0.6071,15/02/2023,1,90.0,0.20445,-0.7133,0.2338,-0.0103,-0.0114,2.4246
N384,0,E,37.06,I,1.25,0.3889,14/02/2023,1,2250.0,0.19375,-0.6502,0.242,-0.0102,-0.0082,2.9245
N386,0,E,37.31,I,1.31,0.2718,09/02/2023,1,655.0,0.19289,-0.708,0.2254,-0.0072,-0.0055,2.7121
N389,0,E,37.56,I,1.48,0.0496,15/02/2023,2,3698.0,,,,,,
N394,0,E,38.06,I,1.63,-0.2658,13/02/2023,1,652.0,,,,,,
N399,0,E,38.56,I,2.08,-0.2,13/02/2023,1,20800.0,,,,,,
N404,0,E,39.06,I,3.2,0.1852,15/02/2023,2,13500.0,,,,,,
N409,0,E,39.56,I,3.7,0.2982,15/02/2023,1,3700.0,,,,,,
N414,0,E,40.06,I,,,,,,,,,,,
N419,0,E,40.56,I,,,,,,,,,,,
N424,0,E,41.06,I,,,,,,,,,,,
N450,0,E,41.31,I,1.8,0.0,22/09/2022,1,360.0,,,,,,
N434,0,E,42.06,I,,,,,,,,,,,
N444,0,E,43.06,I,,,,,,,,,,,
N454,0,E,44.06,I,,,,,,,,,,,
N464,0,E,45.06,I,,,,,,,,,,,
N479,0,E,46.56,I,,,,,,,,,,,
