TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N610,0,E,5.94,O,0.02,-0.3333,06/02/2023,9,3990.0,,,,,,
N760,0,E,7.44,O,0.02,-0.3333,06/02/2023,5,2540.0,,,,,,
N800,0,E,7.84,O,0.03,0.0,02/02/2023,6,1093.0,0.975,-0.0201,0.0255,-0.0057,-0.1892,0.0953
N840,0,E,8.24,O,0.02,-0.3333,06/02/2023,7,1996.0,,,,,,
N880,0,E,8.64,O,0.04,,06/02/2023,16,4650.0,,,,,,
N920,0,E,9.04,O,0.02,,06/02/2023,4,2090.0,,,,,,
N960,0,E,9.44,O,,,,,,,,,,,
N100,0,E,9.84,O,,,,,,,,,,,
N105,1,E,10.34,O,,,,,,0.28813,-0.1234,0.4234,-0.0074,,0.3413
N110,1,E,10.84,A,0.08,1.0,03/02/2023,1,24.0,0.29719,-0.4865,0.8043,-0.0135,-0.1687,0.6651
N115,1,E,11.34,I,0.4,0.2903,07/02/2023,3,6120.0,0.31062,-0.8125,0.519,-0.0065,-0.0164,0.4494
N120,1,E,11.84,I,0.83,0.1857,07/02/2023,1,498.0,0.3975,-0.9192,0.2259,-0.0023,-0.0028,0.2498
N125,0,E,12.34,I,0.66,-0.1852,09/01/2023,1,13200.0,0.30391,-0.6821,0.3217,-0.0032,-0.0048,1.3006
N130,0,E,12.84,I,1.34,0.1261,02/02/2023,2,2678.0,0.30562,-0.7332,0.254,-0.0012,-0.0009,1.3915
N135,0,E,13.34,I,,,,,,0.31875,-0.776,0.2147,-0.0003,,1.3077
N140,0,E,13.84,I,,,,,,,,,,,
N145,0,E,14.34,I,,,,,,,,,,,
N150,0,E,14.84,I,,,,,,,,,,,
N155,0,E,15.34,I,,,,,,,,,,,
N160,0,E,15.84,I,,,,,,,,,,,
N165,0,E,16.34,I,,,,,,,,,,,
N170,0,E,16.84,I,,,,,,,,,,,
N180,0,E,17.84,I,,,,,,,,,,,
N190,0,E,18.84,I,,,,,,,,,,,
N200,0,E,19.84,I,,,,,,,,,,,
N210,0,E,20.84,I,,,,,,,,,,,
N220,0,E,21.84,I,,,,,,,,,,,
N230,0,E,22.84,I,,,,,,,,,,,
N240,0,E,23.84,I,,,,,,,,,,,
N250,0,E,24.84,I,,,,,,,,,,,
