TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N240,0,E,23.82,O,0.25,-0.5833,16/01/2023,1,25.0,,,,,,
N245,0,E,24.32,O,1.0,0.2048,04/01/2023,1,500.0,0.4957,-0.3149,0.0785,-0.0202,-0.0202,3.2428
N250,0,E,24.82,O,1.04,,04/01/2023,1,520.0,0.49672,-0.2703,0.071,-0.0205,-0.0197,3.1028
N255,0,E,25.32,O,0.41,-0.705,10/01/2023,1,41.0,0.4909,-0.2908,0.0738,-0.0209,-0.0509,3.2423
N260,0,E,25.82,O,0.25,0.0,18/01/2023,1,125.0,0.47406,-0.3294,0.0821,-0.0212,-0.0847,3.3639
N265,0,E,26.32,O,0.65,-0.4037,12/01/2023,1,975.0,0.47039,-0.3049,0.0791,-0.0216,-0.0332,3.2967
N270,0,E,26.82,O,0.5,0.0,20/01/2023,3,1190.0,0.46078,-0.3341,0.085,-0.0222,-0.0444,3.3821
N275,0,E,27.32,O,0.48,-0.25,20/01/2023,1,48.0,0.45117,-0.2535,0.0803,-0.0234,-0.0487,2.8297
N280,0,E,27.82,O,0.78,0.1143,20/01/2023,2,1510.0,0.44695,-0.2539,0.0816,-0.0241,-0.0309,2.8152
N285,1,E,28.32,O,0.74,-0.2292,18/01/2023,3,1399.0,0.44625,-0.2997,0.0908,-0.0264,-0.0357,2.9806
N290,1,E,28.82,A,1.27,-0.2209,17/01/2023,7,10160.0,0.43789,-0.3447,0.098,-0.0269,-0.0211,3.1609
N295,1,E,29.32,A,1.34,0.1964,20/01/2023,21,8629.0,0.43273,-0.3954,0.1037,-0.027,-0.0202,3.3054
N300,0,E,29.82,I,,,,,,0.42891,-0.4483,0.1075,-0.0267,,3.395
N305,0,E,30.32,I,,,,,,,,,,,
N310,0,E,30.82,I,,,,,,,,,,,
N315,0,E,31.32,I,,,,,,,,,,,
N320,0,E,31.82,I,,,,,,,,,,,
N330,0,E,32.82,I,,,,,,,,,,,
N340,0,E,33.82,I,,,,,,,,,,,
N345,0,E,34.32,I,,,,,,,,,,,
N350,0,E,34.82,I,,,,,,,,,,,
N360,0,E,35.82,I,,,,,,,,,,,
N365,0,E,36.32,I,,,,,,,,,,,
N370,0,E,36.82,I,,,,,,,,,,,
N380,0,E,37.82,I,,,,,,,,,,,
N385,0,E,38.32,I,,,,,,,,,,,
N390,0,E,38.82,I,,,,,,,,,,,
N400,0,E,39.82,I,,,,,,,,,,,
N410,0,E,40.82,I,,,,,,,,,,,
N420,0,E,41.82,I,,,,,,,,,,,
