TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M180,0,E,17.1,O,,,,,,,,,,,
M182,0,E,17.35,O,0.07,,22/12/2022,2,260000.0,,,,,,
M190,0,E,18.1,O,,,,,,,,,,,
M200,0,E,19.1,O,0.2,,15/12/2022,1,20.0,,,,,,
M210,0,E,20.1,O,0.06,2.0,05/01/2023,1,6.0,0.2675,-0.0253,0.0386,-0.0025,-0.0416,0.3373
M220,0,E,21.1,O,0.07,-0.3,10/01/2023,1,70.0,0.24016,-0.1734,0.2326,-0.0107,-0.1528,1.1757
M225,0,E,21.6,O,0.13,-0.1875,10/01/2023,6,649.0,0.24156,-0.243,0.3285,-0.0156,-0.1202,1.2347
M230,0,E,22.1,A,0.24,-0.2,10/01/2023,4,387.0,0.19922,-0.419,0.4969,-0.014,-0.0583,1.5419
M232,0,E,22.35,A,0.3,0.1538,03/01/2023,1,120.0,,,,,,
M235,0,E,22.6,A,0.55,-0.3125,10/01/2023,1,1100.0,,,,,,
M237,0,E,22.85,I,0.45,-0.4767,26/12/2022,3,147.0,0.23438,-0.4546,0.2677,-0.0102,-0.0226,2.5042
M240,0,E,23.1,I,0.6,-0.697,02/01/2023,1,60.0,,,,,,
M242,0,E,23.35,I,1.47,,22/12/2022,2,2950000.0,,,,,,
M245,0,E,23.6,I,,,,,,,,,,,
M250,0,E,24.1,I,,,,,,,,,,,
M255,0,E,24.6,I,,,,,,,,,,,
M260,0,E,25.1,I,,,,,,,,,,,
M270,0,E,26.1,I,,,,,,,,,,,
M28,0,E,27.1,I,,,,,,,,,,,
M29,0,E,28.1,I,,,,,,,,,,,
