TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
M170,0,E,16.81,O,,,,,,,,,,,
M175,0,E,17.31,O,,,,,,,,,,,
M180,0,E,17.81,O,0.15,-0.7692,27/07/2022,1,15.0,,,,,,
M253,0,E,25.31,O,,,,,,,,,,,
M258,0,E,25.81,A,,,,,,,,,,,
M263,0,E,26.31,A,1.15,,16/12/2022,2,220.0,,,,,,
M268,0,E,26.81,I,1.4,,15/12/2022,1,5600.0,,,,,,
M273,0,E,27.31,I,1.8,,16/12/2022,1,360.0,,,,,,
M278,0,E,27.81,I,,,,,,,,,,,
M283,0,E,28.31,I,,,,,,,,,,,
M288,0,E,28.81,I,,,,,,,,,,,
M293,0,E,29.31,I,,,,,,,,,,,
M298,0,E,29.81,I,,,,,,,,,,,
