TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
X790,0,E,7.9,O,0.01,-0.6667,06/12/2022,4,269.0,,,,,,
X810,0,E,8.1,O,0.03,0.5,28/11/2022,4,521.0,,,,,,
X830,0,E,8.3,O,0.03,0.5,28/11/2022,7,776.0,,,,,,
X850,0,E,8.5,O,0.03,2.0,26/10/2022,2,209.0,,,,,,
X870,0,E,8.7,O,0.03,2.0,28/11/2022,5,626.0,,,,,,
X890,0,E,8.9,O,0.03,0.5,28/11/2022,7,370.0,,,,,,
X910,0,E,9.1,O,,,,,,,,,,,
X930,0,E,9.3,O,,,,,,,,,,,
X950,0,E,9.5,O,,,,,,,,,,,
X970,0,E,9.7,O,,,,,,,,,,,
X990,0,E,9.9,O,,,,,,,,,,,
X101,0,E,10.15,O,,,,,,,,,,,
X106,0,E,10.65,O,0.07,-0.3636,21/11/2022,6,323.0,0.51453,-0.1763,0.1102,-0.0074,-0.1055,1.1832
X111,0,E,11.15,O,0.21,0.9091,17/11/2022,2,840.0,0.49516,-0.1487,0.0907,-0.0064,-0.0305,1.1966
X116,0,E,11.65,O,0.03,-0.5,01/12/2022,2,282.0,0.52484,-0.2055,0.142,-0.0114,-0.379,1.0862
X121,0,E,12.15,O,0.06,0.2,07/12/2022,1,24.0,0.5175,-0.1986,0.1723,-0.0146,-0.2429,0.872
X124,0,E,12.4,O,0.13,-0.5,29/11/2022,1,650.0,0.54906,-0.2704,0.3011,-0.0283,-0.2176,0.6623
X126,0,E,12.65,O,0.16,0.0667,07/12/2022,1,16.0,0.54,-0.3483,0.3418,-0.0307,-0.1919,0.7405
X129,1,E,12.9,O,0.26,0.5294,06/12/2022,21,28016.0,0.52609,-0.4376,0.374,-0.0313,-0.1204,0.7892
X131,0,E,13.15,O,0.25,0.5625,05/12/2022,1,25.0,0.53094,-0.5292,0.374,-0.0313,-0.125,0.7972
X134,1,E,13.4,A,0.48,0.2,06/12/2022,4,16290.0,0.52281,-0.6214,0.3631,-0.0285,-0.0593,0.7621
X140,0,E,13.65,A,0.56,-0.0968,07/12/2022,1,560.0,0.51812,-0.7117,0.3292,-0.024,-0.0429,0.6832
X139,1,E,13.9,I,0.64,-0.1111,07/12/2022,7,6430.0,0.525,-0.7763,0.2842,-0.0202,-0.0315,0.599
X141,0,E,14.15,I,0.94,0.5161,06/12/2022,2,1782.0,0.46297,-0.6819,0.2389,-0.0122,-0.013,1.1506
X144,0,E,14.4,I,1.0,0.4706,05/12/2022,25,37513.0,0.48438,-0.7195,0.272,-0.0173,-0.0173,0.8615
X150,0,E,14.65,I,1.99,0.99,17/11/2022,1,398.0,0.42391,-0.4848,0.1932,-0.0099,-0.005,1.9406
X152,0,E,14.9,I,,,,,,,,,,,
X151,0,E,15.15,I,1.24,0.0333,10/11/2022,2,34720.0,,,,,,
X157,0,E,15.4,I,1.83,-0.0804,29/11/2022,1,1647.0,,,,,,
X156,0,E,15.65,I,,,,,,,,,,,
X162,0,E,15.9,I,1.8,-0.1429,24/11/2022,6,2210.0,,,,,,
X161,0,E,16.15,I,,,,,,,,,,,
X167,0,E,16.4,I,,,,,,,,,,,
X170,0,E,16.65,I,,,,,,,,,,,
X171,0,E,17.15,I,,,,,,,,,,,
X176,0,E,17.65,I,,,,,,,,,,,
X179,0,E,17.9,I,3.6,,17/08/2022,1,35640.0,,,,,,
X181,0,E,18.15,I,,,,,,,,,,,
X186,0,E,18.65,I,,,,,,,,,,,
X191,0,E,19.15,I,,,,,,,,,,,
X196,0,E,19.65,I,6.05,-0.0226,07/12/2022,2,6655.0,,,,,,
X201,0,E,20.15,I,6.73,,16/11/2022,4,67240.0,,,,,,
X206,0,E,20.65,I,7.15,,18/11/2022,5,35750.0,,,,,,
X211,0,E,21.15,I,,,,,,,,,,,
X216,0,E,21.65,I,8.18,,16/11/2022,5,155330.0,,,,,,
