TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
V740,0,E,7.4,O,0.04,0.0,16/09/2022,1,24.0,0.88,-0.0254,0.0159,-0.0036,-0.09,0.2508
V780,0,E,7.8,O,0.07,0.75,16/09/2022,3,318.0,,,,,,
V840,0,E,8.4,O,0.04,-0.5556,19/09/2022,1,100.0,0.75062,-0.0514,0.0358,-0.0054,-0.135,0.414
V920,0,E,9.2,O,0.09,-0.5714,19/09/2022,14,8769.0,0.68406,-0.1234,0.0832,-0.0091,-0.1011,0.7314
V940,0,E,9.4,O,0.15,-0.4,19/09/2022,2,400.0,0.65781,-0.1805,0.1184,-0.011,-0.0733,0.8875
V960,0,E,9.6,O,0.15,-0.5313,19/09/2022,3,119.0,0.67625,-0.1297,0.0884,-0.01,-0.0667,0.746
V980,0,E,9.8,O,0.22,-0.3889,19/09/2022,5,1950.0,0.66047,-0.2457,0.1417,-0.0129,-0.0586,1.0591
V100,0,E,10.0,O,0.2,-0.5238,19/09/2022,15,11876.0,0.65109,-0.2761,0.1526,-0.0134,-0.067,1.1246
V105,0,E,10.5,O,0.27,-0.5645,19/09/2022,25,29731.0,0.70281,-0.1895,0.1044,-0.0139,-0.0515,1.0002
V110,1,E,11.0,O,0.4,-0.5402,19/09/2022,51,53913.0,0.69203,-0.2497,0.1241,-0.0158,-0.0395,1.1743
V115,1,E,11.5,O,0.58,-0.4821,19/09/2022,52,50090.0,0.68023,-0.3103,0.1395,-0.017,-0.0293,1.3126
V120,1,E,12.0,O,0.74,-0.4932,19/09/2022,37,35007.0,0.62359,-0.6403,0.1791,-0.0117,-0.0158,1.2524
V125,1,E,12.5,A,0.92,-0.4889,19/09/2022,14,81290.0,0.61984,-0.6179,0.1712,-0.0124,-0.0135,1.3707
V130,0,E,13.0,I,1.82,-0.1078,19/09/2022,3,5887.0,0.64031,-0.6067,0.155,-0.0129,-0.0071,1.4904
V135,0,E,13.5,I,1.48,-0.4519,19/09/2022,10,17726.0,0.64453,-0.6881,0.1452,-0.0111,-0.0075,1.3374
V140,0,E,14.0,I,2.35,-0.2395,19/09/2022,4,2545.0,0.65273,-0.5606,0.1232,-0.0121,-0.0051,1.9341
V145,0,E,14.5,I,2.86,0.1,14/09/2022,2,4546.0,0.69328,-0.5339,0.1026,-0.0121,-0.0042,2.2206
V150,0,E,15.0,I,2.93,-0.2675,19/09/2022,3,1180.0,0.68211,-0.6357,0.1044,-0.0098,-0.0033,1.9814
V155,0,E,15.5,I,4.59,0.2079,16/09/2022,2,27540.0,0.69461,-0.54,0.0953,-0.0126,-0.0027,2.381
V160,0,E,16.0,I,4.35,0.0357,15/09/2022,1,2610.0,0.69094,-0.5832,0.0942,-0.0117,-0.0027,2.3409
V165,0,E,16.5,I,3.8,-0.0952,12/09/2022,1,19000.0,,,,,,
V170,0,E,17.0,I,,,,,,,,,,,
V175,0,E,17.5,I,,,,,,,,,,,
V180,0,E,18.0,I,5.2,1.1138,18/08/2022,2,72280.0,,,,,,
V185,0,E,18.5,I,6.22,,13/09/2022,1,1244.0,,,,,,
V190,0,E,19.0,I,,,,,,,,,,,
V200,0,E,20.0,I,8.05,-0.0301,19/09/2022,2,9650.0,,,,,,
V210,0,E,21.0,I,9.76,0.0563,16/09/2022,2,25376.0,,,,,,
V220,0,E,22.0,I,,,,,,,,,,,
V225,0,E,22.5,I,,,,,,,,,,,
V230,0,E,23.0,I,,,,,,,,,,,
V240,0,E,24.0,I,,,,,,,,,,,
V242,0,E,24.25,I,,,,,,,,,,,
V270,0,E,28.0,I,15.4,-0.0482,19/09/2022,2,9440.0,,,,,,
V342,0,E,34.25,I,18.44,-0.0274,16/08/2022,1,1017888.0,,,,,,
